task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND139,-1,0,slide,MEND139,0.8788370232061884,2.6895588236482477,3.351578174762174,0.02579887970125367,0.09536409709255801,3749,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND139,-1,1,slide,MEND139,0.8783035476126968,2.374274536386525,3.01930425042496,0.025244065084022407,0.09645238730328087,3749,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND139,-1,2,slide,MEND139,0.856703120832222,2.21467270706374,2.950991557830636,0.036601760469458525,0.10669511869831956,3749,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND140,-1,0,slide,MEND140,0.9793385012919897,2.835480231532187,2.934360538008099,0.01979328165374677,0.0008682170542635659,1935,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND140,-1,1,slide,MEND140,0.9458397932816537,2.292151176109171,2.5514110010037836,0.05061498708010336,0.003545219638242894,1935,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND140,-1,2,slide,MEND140,0.9449922480620155,2.3370836791187743,2.5970749367485575,0.05051162790697674,0.004496124031007752,1935,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND141,-1,0,slide,MEND141,0.9687290969899665,2.701214263473152,2.8681738224768667,0.03027870680044593,0.0009921962095875139,1794,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND141,-1,1,slide,MEND141,0.956577480490524,2.165495457273817,2.3919015903804137,0.04149386845039019,0.0019286510590858417,1794,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND141,-1,2,slide,MEND141,0.9645261984392419,2.3251107751527824,2.504384717896562,0.034559643255295425,0.0009141583054626533,1794,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND142,-1,0,slide,MEND142,0.9881481481481481,2.812533308677524,2.859541813617524,0.009182515849182515,0.0026693360026693357,2997,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND142,-1,1,slide,MEND142,0.9622288955622289,2.6444918743980605,2.8305426495576103,0.025745745745745747,0.012025358692025359,2997,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND142,-1,2,slide,MEND142,0.9907707707707708,2.835832484995929,2.8723540190650403,0.007173840507173841,0.0020553887220553886,2997,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND143,-1,0,slide,MEND143,0.9866457023060796,2.456036023819446,2.4985463273197226,0.012515723270440251,0.0008385744234800838,3816,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND143,-1,1,slide,MEND143,0.992416142557652,2.6274366174781356,2.649906341889425,0.007117400419287212,0.00046645702306079664,3816,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND143,-1,2,slide,MEND143,0.9948532494758909,2.8684694906021515,2.882443210132966,0.0048165618448637315,0.0003301886792452831,3816,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND144,-1,0,slide,MEND144,0.991060382916053,2.820040910341439,2.850990404076523,0.00780559646539028,0.001134020618556701,4074,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND144,-1,1,slide,MEND144,0.9864850270004909,2.299375212245051,2.3411071262278678,0.012410407461953854,0.0011045655375552283,4074,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND144,-1,2,slide,MEND144,0.9673588610702012,1.9222577370359746,2.0530487913379245,0.028929798723613155,0.0037113402061855674,4074,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND145,-1,0,slide,MEND145,0.954654442877292,2.2098452382899385,2.4503697315664836,0.04410437235543019,0.001241184767277856,1418,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND145,-1,1,slide,MEND145,0.976953455571227,2.8029647956075125,2.9244423475294132,0.022693935119887165,0.0003526093088857546,1418,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND145,-1,2,slide,MEND145,0.9701128349788435,2.5910069695455347,2.7515365577862907,0.029379407616361073,0.0005077574047954866,1418,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND146,-1,0,slide,MEND146,0.9818737270875764,2.34279556920051,2.4354712312009217,0.015621181262729125,0.002505091649694501,1964,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND146,-1,1,slide,MEND146,0.9677291242362526,2.0422962407110936,2.210407035326252,0.026629327902240325,0.005641547861507128,1964,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND146,-1,2,slide,MEND146,0.9922912423625254,2.8678389301452243,2.9096035734111427,0.006985743380855397,0.0007230142566191446,1964,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND147,-1,0,slide,MEND147,0.9878715203426124,2.8750423433697505,2.922829533025525,0.009284796573875802,0.002843683083511777,2335,50
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND147,-1,1,slide,MEND147,0.9733875802997859,2.7439344032496216,2.860514089195269,0.01933190578158458,0.00728051391862955,2335,50
