task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND139,slide,3,0.8367013425802435,0.013397107409196111,0.10955422072181617
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND140,slide,3,0.9377743324720069,0.025228096885664967,0.32150080666177594
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND141,slide,3,0.9474619100706058,0.012331870273083335,0.23024032273885464
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND142,slide,3,0.9739072405739072,0.020903918813965208,0.23191940207014278
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND143,slide,3,0.9879122990915444,0.004895810379109344,0.20413896937790207
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND144,slide,3,0.9806872852233677,0.015281587120918374,0.40150981458933727
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND145,slide,3,0.9559849553361542,0.01665864507106506,0.31363642836494193
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND146,slide,3,0.9679531568228107,0.01692219255279657,0.4033546951142859
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND147,slide,3,0.9759029264810849,0.010400171746860204,0.13745036843117356
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND148,slide,3,0.9793508879363135,0.010500156028783942,0.3851936660775824
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND149,slide,3,0.9785449306681073,0.017871546061898787,0.566513553780781
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND150,slide,3,0.9164667808871121,0.021498270316485615,0.2440754398366505
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND151,slide,3,0.9425717948717948,0.03321186457755643,0.2356223337153719
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND152,slide,3,0.9439498161367078,0.03540660741557805,0.3154476383971903
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND153,slide,3,0.9335018315018315,0.04259806778458386,0.47419857584127284
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND154,slide,3,0.8554459064327485,0.02165091275050846,0.10123102703139078
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND156,slide,3,0.6844381917088725,0.06306471399871108,0.21987278500617066
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND157,slide,3,0.8299059561128527,0.04546282402181842,0.20752668243253616
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND158,slide,3,0.7763605002156102,0.06519161694795543,0.2672771454343051
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND159,slide,3,0.6940145228215768,0.0857191325355168,0.2893692448652969
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND160,slide,3,0.8690871945738334,0.02690943261143197,0.1305038120057903
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND161,slide,3,0.7076444444444444,0.025583474429670912,0.10830189169727251
PRAD,shipped,resnet50,slide_out_cal_other_donor,abs,MEND162,slide,3,0.9429334355436311,0.012386335220757504,0.20554247629922476
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND139,slide,3,0.8074170890015114,0.07142037862239214,0.3330435722514067
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND140,slide,3,0.8443548664944013,0.07703213371473087,0.41663083176071053
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND141,slide,3,0.8107915273132664,0.024392212819028484,0.14354091427369547
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND142,slide,3,0.9297853408964519,0.06635291744629361,0.5226058441331078
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND143,slide,3,0.9142051013277429,0.012019233704330978,0.07799010653222523
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND144,slide,3,0.909437080674194,0.02337699551271573,0.15515795447776715
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND145,slide,3,0.8855712270803949,0.0626266644856735,0.4399839339242043
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND146,slide,3,0.8831228784792939,0.024758860289157723,0.13908733790171127
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND147,slide,3,0.9037687366167023,0.051519542322829674,0.3859847116788208
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND148,slide,3,0.9377097366809553,0.01039407981453875,0.09745150464354517
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND149,slide,3,0.9377417612101567,0.04197422787731742,0.4692299423488938
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND150,slide,3,0.8940833809251857,0.040963157527604564,0.29708275456851885
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND151,slide,3,0.9067153846153847,0.016887984594635343,0.09198889563809844
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND152,slide,3,0.8685204412719014,0.03586721464284629,0.17769610397154842
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND153,slide,3,0.8447106227106227,0.10390503147079973,0.6986551186332441
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND154,slide,3,0.9614912280701754,0.013248000040058387,0.22889179000538937
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND156,slide,3,0.807968486212718,0.0035967319355618556,0.059676282050364404
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND157,slide,3,0.9516760710553814,0.009167302701219585,0.1130056265188681
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND158,slide,3,0.8535058214747736,0.031006192386380086,0.2295864893339498
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND159,slide,3,0.960164246196404,0.009338371861177667,0.6131573366628276
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND160,slide,3,0.9526697720029418,0.0053337281821726245,0.17357517398134556
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND161,slide,3,0.8237429429429429,0.016033010883128623,0.09075797684745272
PRAD,shipped,resnet50,slide_out_cal_other_donor,scaled,MEND162,slide,3,0.9252638303309059,0.00624116909417888,0.008277131025567592
