task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND139,slide,3,0.8712812305503691,0.01262783082195686,0.24165876404620137
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND140,slide,3,0.9567235142118863,0.019589737458673817,0.30155831822693685
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND141,slide,3,0.963277591973244,0.006171281023221909,0.27505318362818315
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND142,slide,3,0.9803826048270493,0.015776165801895337,0.10439668298991482
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND143,slide,3,0.9913050314465409,0.004215078120521076,0.2071941014103161
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND144,slide,3,0.9816347569955818,0.012573160851303023,0.4508002117628712
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND145,slide,3,0.9672402444757875,0.011423673836807278,0.30055537334388094
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND146,slide,3,0.9806313645621181,0.012328098401446299,0.4178299313861341
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND147,slide,3,0.9836716630977872,0.008955974554870634,0.10426124084013191
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND148,slide,3,0.9797387221882016,0.007622175767647103,0.41040157681542105
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND149,slide,3,0.9822474338195569,0.013398463773835889,0.5416554552055388
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND150,slide,3,0.9377117837426233,0.015219587553626672,0.23556363002587472
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND151,slide,3,0.9558025641025641,0.030763819075377594,0.2911912707162216
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND152,slide,3,0.9469543586415746,0.03839934430311576,0.41889238988341254
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND153,slide,3,0.9587728937728938,0.02616635662863058,0.4043974948164083
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND154,slide,3,0.8329873294346979,0.024646311325258474,0.11841411425693925
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND156,slide,3,0.6886062652410428,0.04393935037870922,0.18513625613684587
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND157,slide,3,0.8039310344827587,0.04827008107714464,0.20613593616639345
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND158,slide,3,0.7520353600689953,0.05870593639105206,0.25746809161331463
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND159,slide,3,0.6114211618257261,0.09288580963671238,0.3151155130018695
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND160,slide,3,0.8225692571708753,0.029442065384940458,0.10068017482289783
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND161,slide,3,0.6545249249249249,0.02824922242747484,0.12530303664140224
PRAD,shipped,uni_v2,slide_out_cal_other_donor,abs,MEND162,slide,3,0.9501929219368851,0.012698520961413986,0.21173989195562476
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND139,slide,3,0.8307726504845737,0.07122539561458169,0.34131304923063677
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND140,slide,3,0.9035314384151594,0.04598457201517222,0.3137358652104054
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND141,slide,3,0.8830732069862505,0.05179712291624903,0.3069625702740988
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND142,slide,3,0.9504526748971194,0.04975921386266642,0.47304930806724677
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND143,slide,3,0.938277428371768,0.016886286825918116,0.20179553688217905
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND144,slide,3,0.897983963344788,0.022646842702830433,0.12124603711149455
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND145,slide,3,0.9014950634696756,0.048730288066987204,0.37986970470972115
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND146,slide,3,0.9439205702647658,0.007353188367729793,0.09539179492150686
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND147,slide,3,0.940802284082798,0.04723929660244106,0.801138236919083
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND148,slide,3,0.9223841600326598,0.013256382547557842,0.09042972889257299
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND149,slide,3,0.9351521699981992,0.0371486543312725,0.3726777409673912
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND150,slide,3,0.9262783171521036,0.014830795095476452,0.18105013411663481
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND151,slide,3,0.9531025641025641,0.004753879345996434,0.09130441311442271
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND152,slide,3,0.8869067704953494,0.02911114507270841,0.1651600625186584
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND153,slide,3,0.8491208791208792,0.09961123501052087,0.6204354049266035
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND154,slide,3,0.8940180311890837,0.013797082955435924,0.08255276386589148
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND156,slide,3,0.8117370099418495,0.013626123141501962,0.13293828401358518
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND157,slide,3,0.9267063740856845,0.0037528857465568546,0.05153033669687589
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND158,slide,3,0.8135467874083657,0.01589017147896096,0.1034147571844925
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND159,slide,3,0.9602506915629322,0.023080508606029747,0.6375330201841224
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND160,slide,3,0.9571251123641416,0.0036689822851907685,0.07360779056712281
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND161,slide,3,0.730375975975976,0.019349023073092678,0.07447167832139491
PRAD,shipped,uni_v2,slide_out_cal_other_donor,scaled,MEND162,slide,3,0.9338367190494443,0.007255332574236632,0.09169025327055773
