encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal,superseded_label_set
hoptimus0,PRAD,shipped,slide_out,MEND139,-1,0,0.001,0.0006222895298409858,5.334755934915977e-05,0.411088340426785,0.4704643517320098,-0.1411244429561332,2.240656005037703,5.053996279323863,False
hoptimus0,PRAD,shipped,slide_out,MEND139,-1,1,0.001,0.00013806433798149937,0.0,0.39146865349323634,0.5024748718127241,-0.08281096899194174,2.414844728381399,6.168819216121262,False
hoptimus0,PRAD,shipped,slide_out,MEND139,-1,2,0.001,0.0003866486990774334,1.6004267804747933e-05,0.43920962783286444,0.4983949278986445,-0.14024501160624103,2.1194947370616077,4.810922650960939,False
hoptimus0,PRAD,shipped,slide_out,MEND140,-1,0,0.001,0.0009904272955773036,0.00011369509043927648,0.42877268316601136,0.3858882247933876,-0.1541606940241666,2.1631508563281936,5.3024900532871015,False
hoptimus0,PRAD,shipped,slide_out,MEND140,-1,1,0.001,0.0007019272886552782,1.03359173126615e-05,0.39625880025428495,0.4037048448861197,-0.34845516936132215,2.2545962203819556,5.5381878306795,False
hoptimus0,PRAD,shipped,slide_out,MEND140,-1,2,0.001,0.000279768947038764,4.1343669250646e-05,0.37125339732859497,0.4001544895216758,-0.15702286076134664,2.091837181662415,4.577283869470871,False
hoptimus0,PRAD,shipped,slide_out,MEND141,-1,0,0.001,0.000207749766573296,0.0007357859531772575,0.4293387591943152,0.34744978858318454,-0.19672140220133738,1.952745820351452,4.0324726282453796,False
hoptimus0,PRAD,shipped,slide_out,MEND141,-1,1,0.001,0.0019692110327132776,0.00026755852842809364,0.42639105670567656,0.35070165886871985,-0.15343407899761752,2.8001375819587917,6.83213806999471,False
hoptimus0,PRAD,shipped,slide_out,MEND141,-1,2,0.001,0.0006299491785840917,0.0006465997770345596,0.42455369252610853,0.3418813828610814,-0.3268466743576216,2.0260581995074265,4.535634337986662,False
hoptimus0,PRAD,shipped,slide_out,MEND142,-1,0,0.001,0.0017448453608247423,4.004004004004004e-05,0.3622639237571724,0.43826888855942503,-0.3364825554722545,2.6373001064107275,6.209116697545014,False
hoptimus0,PRAD,shipped,slide_out,MEND142,-1,1,0.001,0.0008335500650195058,1.334668001334668e-05,0.41063337106895664,0.43484240471590846,-0.3685558539186463,2.0515801719486437,4.620960983529335,False
hoptimus0,PRAD,shipped,slide_out,MEND142,-1,2,0.001,0.0006991096721974909,2.669336002669336e-05,0.46000190152545806,0.42311243403279286,-0.17471176361938545,2.091766302423658,3.9704783977688645,False
hoptimus0,PRAD,shipped,slide_out,MEND143,-1,0,0.001,0.00017904965949957916,6.813417190775681e-05,0.3894681346103669,0.35455701264555484,-0.14883462597695996,2.063782426578659,4.451099263645587,False
hoptimus0,PRAD,shipped,slide_out,MEND143,-1,1,0.001,0.0002429100625493411,5.241090146750524e-06,0.4023032084386534,0.3793338014614027,-0.24848420094808454,1.9367606028675717,4.303233679925575,False
hoptimus0,PRAD,shipped,slide_out,MEND143,-1,2,0.001,0.00021537162162162162,8.90985324947589e-05,0.40416127726136625,0.3360306683967418,-0.13457613880078512,2.4167642803031173,5.854607506610863,False
hoptimus0,PRAD,shipped,slide_out,MEND144,-1,0,0.001,0.001386103151862464,3.9273441335297004e-05,0.4405259711719379,0.3255477897566167,-0.16747488319581966,2.2197614541549973,5.630216079758338,False
hoptimus0,PRAD,shipped,slide_out,MEND144,-1,1,0.001,0.0003928365106874639,4.418262150220913e-05,0.403598731450705,0.33466240587699575,-0.17412642227513075,2.105185554055342,4.621045132226071,False
hoptimus0,PRAD,shipped,slide_out,MEND144,-1,2,0.001,0.00022875628213274795,0.00020127638684339715,0.46943180076508617,0.31036630669006027,-0.18002941880097167,1.9095461253975594,3.63601002818627,False
hoptimus0,PRAD,shipped,slide_out,MEND145,-1,0,0.001,0.0009669320708700954,5.641748942172073e-05,0.3804874588291518,0.3472243318536719,-0.17091091036134098,2.5062942660341636,5.612389707134234,False
hoptimus0,PRAD,shipped,slide_out,MEND145,-1,1,0.001,0.0009312481557981706,0.0001692524682651622,0.3996978613614466,0.33711159478223746,-0.17928993713945623,2.550117783155118,5.833373650530251,False
hoptimus0,PRAD,shipped,slide_out,MEND145,-1,2,0.001,0.0001392957824332541,0.00046544428772919607,0.4381775041118766,0.3393987804232716,-0.09673566576609982,1.9311092554870415,4.140808198374603,False
hoptimus0,PRAD,shipped,slide_out,MEND146,-1,0,0.001,0.00021682615188893192,0.0002443991853360489,0.42809773656437977,0.3078279962639401,-0.1282411819279332,2.1647577968982663,5.263235542016317,False
