encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND139,-1,0,0.001,0.0006125290023201856,2.6673779674579886e-05,0.45721013042393704,0.4824100581537279,-0.14416156525564294,1.8959939289360974,4.758079062631839
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND139,-1,1,0.001,0.0018908716540837337,0.0001653774339823953,0.4209946989583272,0.47107482816143853,-0.17019710413407407,2.5987432253168574,7.088463832508967
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND139,-1,2,0.001,4.1271151465125874e-05,6.401707121899173e-05,0.5179035366743965,0.4779395588047951,-0.03782484370517575,1.7650122248452393,3.387493141909182
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND140,-1,0,0.001,1.4827995255041518e-05,2.0671834625323e-05,0.4986264704061462,0.41436478084072614,-0.03586214202496202,2.53716563682979,6.565968051475502
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND140,-1,1,0.001,3.0374620317246033e-05,5.167958656330749e-05,0.5046840485703437,0.41087106390834743,-0.02196041547928762,1.9772961268104077,3.8289991770334146
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND140,-1,2,0.001,0.0017741935483870969,2.0671834625323e-05,0.419268037039102,0.4030446906219037,-0.199459839144065,2.5778825311992954,6.857573141986417
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND141,-1,0,0.001,0.0004030655691172296,0.00036789297658862874,0.5833091193877369,0.34759969189608414,-0.09500107099666655,1.8231669822363599,3.8213870042496416
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND141,-1,1,0.001,0.0002259721203228173,0.00010033444816053512,0.49193943368783877,0.34199784136138417,-0.1192425327603206,1.884912261204123,4.303799645222958
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND141,-1,2,0.001,0.0011873713109128345,0.00010033444816053512,0.4202853689262478,0.34685922715113343,-0.168123632946429,2.5393680921552595,6.366552688200013
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND142,-1,0,0.001,0.0007974721637074932,0.0,0.4660205038541674,0.43887881905671855,-0.14422859254015247,2.823785815937492,6.535812322533004
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND142,-1,1,0.001,0.0007269914926527456,6.67334000667334e-06,0.46185193469665387,0.4262809785581309,-0.16346611597341654,1.8719030376021222,4.672012490346123
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND142,-1,2,0.001,3.558718861209964e-05,0.0,0.4921266752414988,0.43212477557299644,-0.03982126578454598,2.597565641143321,6.696773752499396
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND143,-1,0,0.001,8.646665793266082e-05,3.668763102725367e-05,0.5004605434642313,0.3631993596845359,-0.06066425601852682,2.1512738083217067,6.17256932974923
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND143,-1,1,0.001,0.0026454316848281644,5.765199161425576e-05,0.48140930678301197,0.3671888824446045,-0.1656609904751159,2.529528465331859,5.523622114254199
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND143,-1,2,0.001,0.00013990461049284578,6.813417190775681e-05,0.5016216582859827,0.3621864008906118,-0.09785144528797579,2.6314080805401723,6.8320187799235566
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND144,-1,0,0.001,0.0018217463429347006,0.00012272950417280314,0.5429650731255604,0.3143010585424857,-0.14231551661605107,2.27376678834791,5.260198834976216
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND144,-1,1,0.001,3.0374620317246033e-05,0.00012272950417280314,0.5111913876815934,0.31328257008544,-0.035335683721524735,1.969869948471245,3.797843255825877
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND144,-1,2,0.001,0.0010586124401913875,0.00014236622484045165,0.41471989961269873,0.318709420213757,-0.24720911823692238,1.8819734211990078,4.816475543143698
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND145,-1,0,0.001,3.8519741367450816e-05,0.00029619181946403386,0.5223867425454685,0.3411262274310081,-0.046186933611169434,1.7597432915289049,3.439915114547381
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND145,-1,1,0.001,0.0005627445079747216,2.8208744710860367e-05,0.46609551859296805,0.33108619133955175,-0.11599821225379137,2.821933134305526,6.479669253357083
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND145,-1,2,0.001,0.0004608145383741684,8.46262341325811e-05,0.41103517574528214,0.33082872199928,-0.23246149045484887,2.6777477520627917,6.645360724353668
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND146,-1,0,0.001,0.001276595744680851,1.0183299389002036e-05,0.4231206847380431,0.31978113035745526,-0.17114885959885368,2.5327985262120345,6.297330842708538
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND146,-1,1,0.001,0.001196281354148395,9.164969450101833e-05,0.35750659445247124,0.32011662659312695,-0.1657816344227968,2.3548362272586454,5.986999978116402
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND146,-1,2,0.001,0.00015262321144674085,7.128309572301426e-05,0.503257196284673,0.3190953868218436,-0.1261017852446365,2.6396739870083903,6.617164179574481
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND147,-1,0,0.001,0.00010492845786963435,0.0006167023554603854,0.5000312948391223,0.4283036768142312,-0.10574551505623103,2.6218002625897436,6.45578128995439
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND147,-1,1,0.001,0.0004763349514563107,0.0011306209850107066,0.5518363580982775,0.4207139172570148,-0.11158490664836723,1.9317980690584058,4.302923386444072
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND147,-1,2,0.001,0.006739248775176919,0.0015588865096359743,0.38997674594129084,0.42393004981083415,-0.17472380778753827,3.815902974372214,14.746990991074275
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND148,-1,0,0.001,0.0024409902130109384,0.0021922841396203306,0.5169687791117141,0.2933290441975974,-0.22719845453037146,2.1567045056248926,6.818657969181752
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND148,-1,1,0.001,0.00030502392344497605,0.0018493570116350276,0.426621249149983,0.2856735045526675,-0.08584718872409913,1.7911998027988303,4.374337644009233
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND148,-1,2,0.001,0.00023452319365407828,0.0012737293325168402,0.41608533993807095,0.30839130630926126,-0.15180401653509468,1.9438661158603778,4.659539689138014
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND149,-1,0,0.001,0.0003374979717669966,0.00021609940572663426,0.40555238803555205,0.3357855789665725,-0.18422505662613908,2.729713900393007,6.788590897450287
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND149,-1,1,0.001,0.00038738077769625824,0.00011885467314964884,0.4945556599685096,0.34615761909158804,-0.1143945994516889,1.8777340908309124,4.5160532859507345
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND149,-1,2,0.001,0.0013051034918628536,6.482982171799028e-05,0.4827859325230184,0.345895098204051,-0.13555620232304944,3.2140504774897196,6.969874789882724
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND150,-1,0,0.001,0.0007222389407162202,0.0001941747572815534,0.4666065564901313,0.4315177629188274,-0.14487161273852545,2.7874932611023198,6.505740695186713
hoptimus0,PRAD,shipped,slide_out_cal_other_donor,MEND150,-1,1,0.001,0.001445372422021476,0.0006624785836664764,0.4154625394208049,0.4242552266471863,-0.1361365242790899,2.8400005125722787,6.178090261382632
