encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal
resnet50,CCRCC,shipped,patient,0,-1,0,0.001,1.2838147638697845e-05,0.00010342387458494367,0.45622827195313775,0.39816859475367183,-0.041136778934109886,2.799393028343715,5.2370641958578545
resnet50,CCRCC,shipped,patient,0,-1,1,0.001,0.0007922180352291649,0.00040280877469925423,0.39947477124309994,0.4042545044221157,-0.3831982789977244,3.2925461243132226,7.402217718783855
resnet50,CCRCC,shipped,patient,0,-1,2,0.001,0.00026696217196393494,0.0004430896521691797,0.39783653368074323,0.3788272782476685,-0.403501041408838,3.234049413783256,6.930558258298642
resnet50,CCRCC,shipped,patient,1,-1,0,0.001,0.0006462078035949146,0.0,0.41048215692721246,0.5287009399511944,-0.18867975728476816,2.229286081500418,5.313290369193887
resnet50,CCRCC,shipped,patient,1,-1,1,0.001,0.00021645292461682829,0.00018267620642411326,0.3912328565837869,0.5221694186382839,-0.24103856259637024,2.823083916186909,5.9253883830744005
resnet50,CCRCC,shipped,patient,1,-1,2,0.001,0.00030829817158931083,9.133810321205662e-06,0.40696716151216583,0.5707152714907542,-0.21668287418695148,2.486571690335514,5.224262571344511
resnet50,CCRCC,shipped,patient,2,-1,0,0.001,0.00026881995195993254,5.206396429899591e-05,0.38222795144506894,0.4373989947980478,-0.2039828713225501,2.3026195773952183,5.056706101121339
resnet50,CCRCC,shipped,patient,2,-1,1,0.001,0.0005463293496818252,4.4626255113425064e-05,0.4128962741135074,0.4216461188954631,-0.2545958013521291,2.4812192765161436,5.83841360362047
resnet50,CCRCC,shipped,patient,2,-1,2,0.001,0.0015380017930072716,0.0005392339159538862,0.3805507056250189,0.39292356485140867,-0.3410900057696585,4.023190845461325,8.170541371385166
resnet50,CCRCC,shipped,patient,3,-1,0,0.001,0.0005219161154321436,8.986239820275204e-05,0.3950359286771067,0.45391313472846895,-0.18935716015350912,2.766915982686385,6.2269179225848825
resnet50,CCRCC,shipped,patient,3,-1,1,0.001,0.00028229960848959407,0.00017972479640550407,0.39263759172461454,0.4772459454521853,-0.26750159522978306,2.5279605153022287,5.337154703878196
resnet50,CCRCC,shipped,patient,3,-1,2,0.001,0.00020229265003371543,0.00010671159786576804,0.4144954281655482,0.4796112354147219,-0.18437688480210196,2.145691402052296,4.4805189618881505
resnet50,CCRCC,shipped,patient,4,-1,0,0.001,0.0005878769418215048,0.0006156767019256848,0.42405975565462395,0.41091786078632897,-0.22617094239338253,3.150297717189799,6.564196791852228
resnet50,CCRCC,shipped,patient,4,-1,1,0.001,5.283281195689955e-05,9.764035801464605e-05,0.40720546557411047,0.39742822325658744,-0.09667464341832521,2.5153827819118204,5.066152912187415
resnet50,CCRCC,shipped,patient,4,-1,2,0.001,2.2253455141719373e-05,0.00013832384052074858,0.4163134592570877,0.39439852696370675,-0.07699309543188237,2.5739533688278247,5.338358605114908
resnet50,CCRCC,shipped,patient,5,-1,0,0.001,7.17626705965272e-05,0.000775789600096073,0.45680321117186684,0.39438758522131623,-0.10264388566673749,2.2977572134389375,4.865418934478366
resnet50,CCRCC,shipped,patient,5,-1,1,0.001,5.6953013763645e-06,0.00024498618950402303,0.4740619397153202,0.3980703750766623,-0.01805693448537815,2.258464142542296,4.172203886693829
resnet50,CCRCC,shipped,patient,5,-1,2,0.001,0.00018137013307047806,0.0004995796805572235,0.47645074737555565,0.39326182512244734,-0.28886431686747144,3.0174099796570863,6.2254678791673665
resnet50,CCRCC,shipped,donor,INT1,-1,0,0.001,7.509613209681068e-05,0.0,0.4019670055664354,0.5593813657122622,-0.18875120658358874,2.1254902619466463,4.593728597220847
resnet50,CCRCC,shipped,donor,INT1,-1,1,0.001,6.476798864342117e-05,0.0,0.4040793671309035,0.42940467858445286,-0.29749043412404147,2.8988724425464505,5.791163332887679
resnet50,CCRCC,shipped,donor,INT1,-1,2,0.001,0.00016992644123852427,0.0,0.4239936610633006,0.5702852966354501,-0.1584505233389904,2.398360288851519,5.062190279838021
resnet50,CCRCC,shipped,donor,INT10,-1,0,0.001,0.00030263601754132333,0.00037317196167423097,0.4102547247327243,0.4576298934377534,-0.20189855299091336,2.681199531409358,6.087513610683774
