encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal
resnet50,PRAD,shipped,slide_out,MEND139,-1,0,0.001,0.0017443381290011702,0.00013870365430781542,0.45266496780433646,0.5622779548943626,-0.5094579523498074,2.082284769032849,5.808676643248607
resnet50,PRAD,shipped,slide_out,MEND139,-1,1,0.001,0.0010769018362556952,1.6004267804747933e-05,0.39710118711406484,0.5506793957699416,-0.21687768766655974,2.6228304586915554,6.372033196928503
resnet50,PRAD,shipped,slide_out,MEND139,-1,2,0.001,0.00037628278221208663,5.334755934915978e-06,0.4668355935768698,0.5707158244296959,-0.17581266663157014,1.9815577438857124,4.239543881311294
resnet50,PRAD,shipped,slide_out,MEND140,-1,0,0.001,0.002071768543772394,0.00021705426356589147,0.4549181020175647,0.3998585939172078,-0.27703571814370886,2.1208575494090836,6.259618566730416
resnet50,PRAD,shipped,slide_out,MEND140,-1,1,0.001,0.0017268944371441085,0.000351421188630491,0.4149810022137682,0.4034497047426375,-0.37198167198419463,2.2059747402204866,5.767506772494939
resnet50,PRAD,shipped,slide_out,MEND140,-1,2,0.001,0.0004829842021017468,0.00042377260981912146,0.3758329643789926,0.37685297700760184,-0.22282583519611676,2.238666439225116,5.2345755634870805
resnet50,PRAD,shipped,slide_out,MEND141,-1,0,0.001,0.0005088702147525676,0.0002787068004459309,0.4436268983763051,0.3476623902257595,-0.1565647488602021,2.0085774302973567,4.6732413054346855
resnet50,PRAD,shipped,slide_out,MEND141,-1,1,0.001,0.0022129570237331623,0.0003567447045707915,0.48133433478714016,0.3407898399185214,-0.7196506206271257,2.390230216592588,5.662183423296332
resnet50,PRAD,shipped,slide_out,MEND141,-1,2,0.001,0.0015577354922585982,0.0006688963210702341,0.44491017804643723,0.33721064556328595,-0.9305519053787998,1.9141819381497924,4.640443816268417
resnet50,PRAD,shipped,slide_out,MEND142,-1,0,0.001,0.002106958762886598,2.669336002669336e-05,0.3960733362581201,0.42084200518004966,-0.6350319338964976,2.476387669834099,6.133545123193829
resnet50,PRAD,shipped,slide_out,MEND142,-1,1,0.001,0.0015097529258777634,0.00011344678011344678,0.41883892017421287,0.40456441535250487,-0.3365613639284971,2.1190162390412675,5.460027543410948
resnet50,PRAD,shipped,slide_out,MEND142,-1,2,0.001,0.00113112100364225,6.67334000667334e-06,0.48756555518836303,0.4327989860001664,-0.39660761055973526,1.7912931968366554,4.133563185312125
resnet50,PRAD,shipped,slide_out,MEND143,-1,0,0.001,0.0006473333843446323,0.0017138364779874214,0.3944164134185727,0.3203934771607674,-0.210283478834425,2.2517568755154604,5.615976423569706
resnet50,PRAD,shipped,slide_out,MEND143,-1,1,0.001,0.0013104997874536953,0.000649895178197065,0.4098433308108831,0.3530443474997617,-0.5886667948926256,1.9314042120182708,4.67461958573139
resnet50,PRAD,shipped,slide_out,MEND143,-1,2,0.001,0.0007333896396396396,0.0005922431865828092,0.43228393944129995,0.32677770174233745,-0.32599744008089593,2.3754896723018044,5.450523946327713
resnet50,PRAD,shipped,slide_out,MEND144,-1,0,0.001,0.0023662846227316143,6.872852233676975e-05,0.464984174360792,0.35707184782699736,-0.7623305878899744,2.2045446366604406,6.111180230134674
resnet50,PRAD,shipped,slide_out,MEND144,-1,1,0.001,0.0004711470569356185,9.327442317133039e-05,0.4307539874501865,0.3601040385326867,-0.4617552659960681,1.9891131487892466,4.413059055177835
resnet50,PRAD,shipped,slide_out,MEND144,-1,2,0.001,0.0009196464675639767,0.00010800196367206677,0.4605019787374873,0.35925649679761806,-0.23117230774153774,1.999381098104968,4.479711848789149
resnet50,PRAD,shipped,slide_out,MEND145,-1,0,0.001,0.0014174019080410302,0.0001833568406205924,0.41531605845121244,0.35723901264824176,-0.6898135148048754,2.3932905292970093,5.485997030838061
resnet50,PRAD,shipped,slide_out,MEND145,-1,1,0.001,0.0006680436706993214,0.00038081805359661494,0.4295499268465616,0.37445931658380815,-0.3175271466475099,2.3276541600264187,5.218034590717705
resnet50,PRAD,shipped,slide_out,MEND145,-1,2,0.001,0.0007992924658670057,0.0006770098730606489,0.44803749243350227,0.33097284928980375,-0.18260735411649187,1.8889034427483058,4.641092857957679
resnet50,PRAD,shipped,slide_out,MEND146,-1,0,0.001,0.0010454118037502074,0.0003665987780040733,0.44284543526947473,0.32062088047263637,-0.3674968119628789,2.268965483794415,5.551331415236924
resnet50,PRAD,shipped,slide_out,MEND146,-1,1,0.001,0.0013271914012951466,0.0006415478615071283,0.405728150004232,0.3520237935113124,-0.9457779874065065,2.0646641318032772,5.104378622529536
resnet50,PRAD,shipped,slide_out,MEND146,-1,2,0.001,0.0019212775247957083,0.001130346232179226,0.4418006808939332,0.32328730325293775,-0.3939361212752259,1.9841835245091837,4.9115856144612104
resnet50,PRAD,shipped,slide_out,MEND147,-1,0,0.001,0.0006929904415111515,0.00024839400428265527,0.5061463203573584,0.41948840881858807,-0.615741454108273,1.9318454087524877,4.216649854753057
resnet50,PRAD,shipped,slide_out,MEND147,-1,1,0.001,0.0002416761746706773,0.0001284796573875803,0.5037995300950129,0.4209625490107394,-0.14813807972272097,2.2015783884536035,4.355989089834889
resnet50,PRAD,shipped,slide_out,MEND147,-1,2,0.001,0.002124160820698499,0.00034261241970021415,0.415602457495291,0.39916986663124643,-0.7434277885178493,2.2400252662168443,6.09186253485682
resnet50,PRAD,shipped,slide_out,MEND148,-1,0,0.001,0.001364020032637443,0.0029638701775872626,0.49708754110804043,0.2937151609235332,-0.2879905268906807,2.0386872712998283,4.494284689105438
resnet50,PRAD,shipped,slide_out,MEND148,-1,1,0.001,0.0012149532710280374,0.0006736068585425597,0.4071324584496483,0.35544590441430557,-0.20802422185368474,2.175375584075002,5.681290739030519
resnet50,PRAD,shipped,slide_out,MEND148,-1,2,0.001,0.0009760108338169859,0.00023270055113288425,0.46647831877079243,0.33351836204879326,-0.21866186991303294,2.244997051895141,4.987713661568088
resnet50,PRAD,shipped,slide_out,MEND149,-1,0,0.001,0.002432183582406686,5.4024851431658565e-05,0.35716919419049886,0.4233157788638127,-0.6559428891298678,2.444113403016963,7.204783811815714
resnet50,PRAD,shipped,slide_out,MEND149,-1,1,0.001,0.00039050861885507555,6.482982171799028e-05,0.4234381730165592,0.381179864376585,-0.20913062063103927,2.118052165431529,5.237984408663706
resnet50,PRAD,shipped,slide_out,MEND149,-1,2,0.001,0.0024875334248753342,7.563479200432199e-05,0.4212730787449277,0.40873685539005894,-0.5991206246518411,2.457175273987289,6.832832285252281
resnet50,PRAD,shipped,slide_out,MEND150,-1,0,0.001,0.0011361161524500907,9.137635636778984e-05,0.4497133813789309,0.4625863384068604,-0.179863130544206,2.475329523858852,5.811119692575947
resnet50,PRAD,shipped,slide_out,MEND150,-1,1,0.001,0.0010268209308440706,0.0001599086236436322,0.512413743365773,0.45433711456709347,-0.4988188152306391,1.8879069852587174,4.144623233518689
resnet50,PRAD,shipped,slide_out,MEND150,-1,2,0.001,0.001106662217773329,0.00018275271273557968,0.4128753465562509,0.4690822237563289,-0.3782138989847468,2.0774764646590826,4.7363899007206625
resnet50,PRAD,shipped,slide_out,MEND151,-1,0,0.001,0.0016430237689931278,0.0020384615384615385,0.4068643856953397,0.43588747214621115,-0.18258086294706677,2.322427328496544,6.3968049616495275
resnet50,PRAD,shipped,slide_out,MEND151,-1,1,0.001,0.00039245283018867925,0.003253846153846154,0.5021683696159507,0.4287983516099072,-0.20136078293826143,2.0617131427372835,4.817844774096896
resnet50,PRAD,shipped,slide_out,MEND151,-1,2,0.001,0.0023525438991445296,0.0022384615384615386,0.5017254812880976,0.39811151625187835,-0.9189670118279021,2.0335856244075,4.686706716831708
resnet50,PRAD,shipped,slide_out,MEND152,-1,0,0.001,0.001717687074829932,5.191434133679429e-05,0.40492485189851823,0.473126064483986,-0.26598826724012625,2.298062815312894,5.844779175907708
resnet50,PRAD,shipped,slide_out,MEND152,-1,1,0.001,0.0016303814044851858,0.0,0.44811930742919726,0.4653755539764054,-0.30736677317448696,2.115287911645315,5.3417462725029665
resnet50,PRAD,shipped,slide_out,MEND152,-1,2,0.001,0.002232971215605424,2.5957170668397145e-05,0.43425407347573886,0.4561811746067407,-0.6472187368472122,2.400083701345752,5.993434049021627
resnet50,PRAD,shipped,slide_out,MEND153,-1,0,0.001,0.0016133356647432535,0.0014175824175824176,0.42476339219914105,0.4457353587055214,-0.2635708314036065,2.131773868066699,5.6032260947900525
resnet50,PRAD,shipped,slide_out,MEND153,-1,1,0.001,0.0008425069719653603,0.001120879120879121,0.47749662453987907,0.46751161736381985,-0.28171560486814823,1.836792525771414,4.376961894580831
resnet50,PRAD,shipped,slide_out,MEND153,-1,2,0.001,0.0013041511141273611,0.001010989010989011,0.4327929438986552,0.46167939747804665,-0.4071816076840591,1.9676106787557963,4.437930667903711
resnet50,PRAD,shipped,slide_out,MEND154,-1,0,0.001,0.0013484289530594073,2.9239766081871346e-05,0.40027788800564135,0.5862994203188847,-0.4660129590614798,2.19184058884002,5.463827743010942
resnet50,PRAD,shipped,slide_out,MEND154,-1,1,0.001,0.0021084219453323767,7.3099415204678366e-06,0.3644057602719315,0.5614669246703319,-0.2727166755921206,2.426645078715148,7.214462197863579
