encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND139,-1,0,0.001,0.0004980665119876257,1.0669511869831956e-05,0.4667581489508399,0.5204440934601183,-0.14868166511711134,1.7971784773818538,4.341800464084994
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND139,-1,1,0.001,0.00303363074811256,5.334755934915978e-06,0.44114991877855747,0.48944544654227207,-0.3438756505108105,2.5136138351739814,8.125497966621515
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND139,-1,2,0.001,0.00013757050488375291,0.0,0.5141813981164975,0.5047311682172579,-0.10608848735495852,1.799141289453534,3.834075088921527
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND140,-1,0,0.001,2.0759193357058127e-05,0.0,0.4859708856754308,0.4151398857966886,-0.012999860091231774,2.717548284311907,6.673487270532925
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND140,-1,1,0.001,4.0499493756328046e-05,5.167958656330749e-05,0.504420694547546,0.40690017211971974,-0.06804520659237923,1.9867752779429049,3.908377783629356
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND140,-1,2,0.001,0.002745367192862045,0.000330749354005168,0.43835011212713554,0.39618849162810715,-0.28958500668290155,2.471133119614452,7.791974723272088
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND141,-1,0,0.001,1.419244961680386e-05,0.00033444816053511704,0.579702449106801,0.3313804569127705,-0.047949206536150035,1.7891401558026634,3.6414356271015467
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND141,-1,1,0.001,0.0005194424064563463,0.0001226309921962096,0.4892417120699014,0.3777924475263086,-0.3364718116161476,1.8696350000692532,4.237893269394186
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND141,-1,2,0.001,0.002896362388469458,0.00014492753623188405,0.43717836010815675,0.3622438204381609,-0.3749856517436515,2.484128661709965,7.895224516370438
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND142,-1,0,0.001,0.002124586217273548,3.33667000333667e-05,0.4710689956875192,0.42727229885207163,-0.12611072355678382,2.9226976995056226,7.4464505035425015
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND142,-1,1,0.001,0.00021964423820572312,6.006006006006006e-05,0.46921800996493657,0.43063890198960575,-0.050176529370819956,1.7620875967403191,4.254169652589158
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND142,-1,2,0.001,8.89679715302491e-06,6.67334000667334e-06,0.4916987111167106,0.4298625459480494,-0.06570489356839143,2.706439109170469,6.841652599322075
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND143,-1,0,0.001,0.00026202017555351765,0.00040356394129979035,0.5099957409709384,0.34677021084741333,-0.07892971430290979,2.0975407278288967,5.866319880157579
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND143,-1,1,0.001,0.0008348700754400671,0.0004192872117400419,0.4686222259538168,0.3403464784567384,-0.07818802984371198,2.6614876275644677,5.2859374067013
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND143,-1,2,0.001,8.90302066772655e-05,0.0005083857442348008,0.5023666895703588,0.33999446352823887,-0.07044660134747144,2.6608606521663396,6.439522396170075
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND144,-1,0,0.001,6.0322726587241744e-05,0.0008296514482081492,0.5425259516228553,0.31888699191945136,-0.04568279342102932,2.193267036284201,4.329673472227161
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND144,-1,1,0.001,4.387445156935538e-05,0.0011880216003927345,0.498866173831939,0.31713893400658877,-0.026201021841644245,2.0410962064988674,4.290602871883025
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND144,-1,2,0.001,0.0004395933014354067,0.0006921944035346097,0.4096044556984242,0.31901503480879956,-0.08248283330157336,1.7367335127531895,4.481112843133654
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND145,-1,0,0.001,0.0001128078140046774,0.000310296191819464,0.5170697006112264,0.33370414071702037,-0.07798900806890935,1.7792424060155585,3.755037750572641
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND145,-1,1,0.001,0.0017062894974420703,0.00038081805359661494,0.4738301061675343,0.3312182954403107,-0.11062337174619263,2.8769068286788113,7.269120054401482
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND145,-1,2,0.001,0.0001265617394126237,0.0002679830747531735,0.41712895512755843,0.32796190789494156,-0.12478652806366763,2.5649166120735662,6.774279131519873
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND146,-1,0,0.001,0.002532601235415237,0.0001120162932790224,0.43963145694499384,0.31196516951237857,-0.3144514372420738,2.482382010511992,7.706361420687976
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND146,-1,1,0.001,0.002403087177688125,6.109979633401222e-05,0.35792777179289054,0.32232096258536835,-0.13631350514570428,2.3319360122995145,7.1408821930538435
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND146,-1,2,0.001,6.677265500794913e-05,0.000274949083503055,0.5050172404313906,0.3117256033963288,-0.05118532915087054,2.652642816361835,6.460333965275638
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND147,-1,0,0.001,5.723370429252782e-05,0.00023126338329764454,0.5018306154171854,0.4142839843443198,-0.041038357582807716,2.6622679472761535,6.443608445632318
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND147,-1,1,0.001,9.70873786407767e-05,0.000411134903640257,0.5510245915607773,0.40776035985792136,-0.17348782149291653,1.8713378817325896,3.9057769682021384
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND147,-1,2,0.001,0.002518599165305752,0.0014732334047109208,0.37955257865801967,0.4153449477044861,-0.12196405657719628,3.81650674652618,8.619604612091772
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND148,-1,0,0.001,0.002507196315486471,0.003331292100428659,0.5244285441816192,0.2875287155298142,-0.10425711253508779,2.116205930471104,7.600854542388773
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND148,-1,1,0.001,0.0005113636363636364,0.0036619718309859155,0.41355887071958475,0.2872166002789024,-0.1269117763061754,1.7155487370276277,4.523427269274254
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND148,-1,2,0.001,0.00024486980513881704,0.0024617268830373546,0.406604070393439,0.3153992655710115,-0.0715538352234234,1.8517121590555485,4.269790039290015
uni_v2,PRAD,shipped,slide_out_cal_other_donor,MEND149,-1,0,0.001,0.00010384552977446049,3.241491085899514e-05,0.4153114562945013,0.35362220141030737,-0.08473055392857332,2.5975668040135345,6.660786713532954
