fragment,task,label_set,design,score,stratum,stratum_value,agg_unit,n_cells,coverage_mean,coverage_sd,width_mean,width_median,detail,encoder,fold,n_spot_gene,n_covered,coverage,pred_mean,n_folds
anatomy,CCRCC,shipped,donor,abs,cal_shares_session_with_test,True,cell,864,0.8642708075597049,0.1443153774122629,2.129581012145231,2.1123671359817884,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,CCRCC,shipped,donor,scaled,cal_shares_session_with_test,True,cell,864,0.8738098831432775,0.1267127552463567,2.163507918320894,2.1524480736181126,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,CCRCC,shipped,patient,abs,cal_shares_session_with_test,True,cell,216,0.8562755815761778,0.09818135472653015,2.241713029049132,2.134828199717271,calibration_unit=patient | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,CCRCC,shipped,patient,scaled,cal_shares_session_with_test,True,cell,216,0.8724672680394582,0.061919736321473594,2.281936605394385,2.271762217483328,calibration_unit=patient | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,CCRCC,shipped,random,abs,cal_shares_session_with_test,True,cell,360,0.8809874361442861,0.003065770440121744,1.6441491668616661,1.6231693624327928,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,CCRCC,shipped,random,scaled,cal_shares_session_with_test,True,cell,360,0.8998873140515011,0.0015908734842510076,1.6307604305774084,1.6070858162901847,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,COAD,shipped,donor,abs,cal_shares_session_with_test,True,cell,144,0.8663109627208065,0.03109509957107045,3.3663424630679897,3.2984881841106044,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,COAD,shipped,donor,scaled,cal_shares_session_with_test,True,cell,144,0.8670479751945714,0.041849676504014506,5.524065776905618,4.098931737577874,calibration_unit=donor | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,COAD,shipped,patient,abs,cal_shares_session_with_test,True,cell,72,0.7206847690903608,0.11600998078953136,2.5391895092035326,2.516578882442507,calibration_unit=block;slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,COAD,shipped,patient,scaled,cal_shares_session_with_test,True,cell,72,0.6977053790620552,0.14266349895746014,2.8305022048338975,2.5391394878248255,calibration_unit=block;slide | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,COAD,shipped,random,abs,cal_shares_session_with_test,True,cell,120,0.8963215563182992,0.0029229958200632264,2.2380458509084433,2.187348667319595,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,COAD,shipped,random,scaled,cal_shares_session_with_test,True,cell,120,0.8998468970757945,0.001956866097616782,2.388148509347423,2.330751655771704,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,HCC,shipped,donor,abs,cal_shares_session_with_test,True,cell,72,0.749651142619571,0.045778391137313086,1.5886531787828488,1.617516814396473,calibration_unit=block | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,HCC,shipped,donor,scaled,cal_shares_session_with_test,True,cell,72,0.7545512635686986,0.05161182417051082,4.624838096846903,3.8233757103493975,calibration_unit=block | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,HCC,shipped,patient,abs,cal_shares_session_with_test,True,cell,72,0.7595508442005408,0.03392807300290262,1.6108984140966427,1.634853574407789,calibration_unit=block | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,HCC,shipped,patient,scaled,cal_shares_session_with_test,True,cell,72,0.7510262073366835,0.04868220252782732,3.3386065078643927,2.858078488788292,calibration_unit=block | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,HCC,shipped,random,abs,cal_shares_session_with_test,True,cell,120,0.9019473510592528,0.0026447355051888674,1.606606772315888,1.6018257113757124,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,HCC,shipped,random,scaled,cal_shares_session_with_test,True,cell,120,0.8986113970419031,0.004457853315698294,2.3175341570652583,2.1757603055728163,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,donor,abs,cal_shares_session_with_test,False,cell,36,0.832674297820607,0.07145931939300397,4.732498896600104,4.695636893186679,calibration_unit=donor | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,donor,scaled,cal_shares_session_with_test,False,cell,36,0.8217288012520065,0.06873308389479549,75.03069168070321,15.383732447673976,calibration_unit=donor | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,patient,abs,cal_shares_session_with_test,False,cell,132,0.8196407544775741,0.07673509916748956,4.16712878512163,3.9931523514431273,calibration_unit=patient | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,patient,abs,cal_shares_session_with_test,True,cell,12,0.8320218197582004,0.015483294281327617,4.0573608848472675,3.9752388326396684,calibration_unit=patient | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,patient,scaled,cal_shares_session_with_test,False,cell,132,0.8255650401561515,0.07705464548599401,27.388094238927355,6.855108236101003,calibration_unit=patient | cal_shares_resolution_group_with_test=False | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,patient,scaled,cal_shares_session_with_test,True,cell,12,0.8409525071046674,0.026739976923906356,28.264904665080394,5.1739127441193125,calibration_unit=patient | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
anatomy,IDC,audited,random,abs,cal_shares_session_with_test,True,cell,240,0.8773259827436848,0.003572672782333764,2.2861576718190983,2.2425818949715195,calibration_unit=spot | cal_shares_resolution_group_with_test=True | cal_shares_exact_session_with_test=,,,,,,,
