encoder,task,label_set,design,fold,K,n_units_total,calibration_unit,n_cal,n_test,between_share,between_share_q25,between_share_q75,between_var,within_var,n_genes,n_cal_draws,coverage_observed,width_observed,miss_above,miss_below,calibration_unit_a1,block_fold,shortfall,score,uses_test_labels
hoptimus0,CCRCC,shipped,donor,INT1,6.0,7.0,donor,22105.0,1084.0,0.18864856495266974,0.12195799782946631,0.35131323769975287,0.021904674644126293,0.10203450992652346,50,3,0.7575461254612547,2.0120503025588445,0.027060270602706,0.2153936039360393,donor,False,0.14245387453874536,abs,True
hoptimus0,CCRCC,shipped,donor,INT10,6.0,7.0,donor,19589.0,1983.0,0.19570578318733572,0.11548425204487658,0.3877204035630457,0.03267974346698055,0.11990483034541141,50,3,0.8118440073962011,2.08278068296828,0.1794116658261892,0.0087443267776096,donor,False,0.08815599260379892,abs,True
hoptimus0,CCRCC,shipped,donor,INT11,6.0,7.0,donor,18765.0,1439.0,0.17630354578037183,0.10337342739654524,0.36813781002568124,0.023368431656559593,0.10160146919133894,50,3,0.7897567755385685,2.0161141857000096,0.059921241602965,0.1503219828584665,donor,False,0.11024322446143153,abs,True
hoptimus0,CCRCC,shipped,donor,INT12,6.0,7.0,donor,19118.0,1451.0,0.12889839367214487,0.08185814852913349,0.1990345993605728,0.016728049433943862,0.11993184749783566,50,3,0.815860326211808,2.1033395451440686,0.0169630140133241,0.1671766597748679,donor,False,0.08413967378819198,abs,True
hoptimus0,CCRCC,shipped,donor,INT13,6.0,7.0,donor,15569.0,4359.0,0.11978998949311509,0.07783718272428526,0.17493596631762767,0.014143772859790682,0.11289892945228272,50,3,0.8976386021258698,2.121428345670897,0.093435803318804,0.0089255945553261,donor,False,0.0023613978741302555,abs,True
hoptimus0,CCRCC,shipped,donor,INT14,6.0,7.0,donor,19870.0,4562.0,0.10140203453376163,0.05838673579285098,0.1617162867376155,0.012101779675418145,0.11001118629785878,50,3,0.9651395586730964,2.1372797801001746,0.0317580008768084,0.0031024404500949,donor,False,-0.0651395586730964,abs,True
hoptimus0,CCRCC,shipped,donor,INT15,6.0,7.0,donor,21635.0,4940.0,0.14921510747935715,0.07378863935824993,0.38939683260696484,0.01797030735861821,0.10006439726209035,50,3,0.9195060728744938,2.0491498473506096,0.0611228070175438,0.0193711201079622,donor,False,-0.019506072874493796,abs,True
hoptimus0,CCRCC,shipped,donor,INT16,6.0,7.0,donor,16890.0,3206.0,0.12429713920690788,0.07178850181182908,0.20024699830873216,0.014029885598700997,0.1011333558823363,50,3,0.9160677895612396,1.9713683387357277,0.0717051362029528,0.0122270742358078,donor,False,-0.016067789561239554,abs,True
hoptimus0,CCRCC,shipped,donor,INT17,6.0,7.0,donor,21742.0,3585.0,0.11576588264303794,0.06475987527512916,0.16161939991272173,0.01110946912904881,0.09743340817908283,50,3,0.9427466294746628,1.9732452181966875,0.0375006973500697,0.0197526731752673,donor,False,-0.04274662947466279,abs,True
hoptimus0,CCRCC,shipped,donor,INT18,6.0,7.0,donor,17768.0,4915.0,0.3339987511700784,0.1447858240458467,0.5164274768004831,0.07064279127471974,0.12439734786413552,50,3,0.873482536453035,2.2352787763740976,0.0955198372329603,0.0309976263140047,donor,False,0.026517463546965048,abs,True
