task,encoder,n_spots,n_joined,morph_dir
CCRCC,hoptimus0,74220,67673,instrumentation/morphology_v2
COAD,hoptimus0,15651,15590,instrumentation/morphology_v2
HCC,hoptimus0,4196,4092,instrumentation/morphology_v2
IDC,hoptimus0,35536,34933,instrumentation/morphology_v2
IDC,hoptimus0,35536,34933,instrumentation/morphology_v2
LUNG,hoptimus0,5206,5006,instrumentation/morphology_v2
LYMPH_IDC,hoptimus0,19964,18473,instrumentation/morphology_v2
PAAD,hoptimus0,7571,7500,instrumentation/morphology_v2
PRAD,hoptimus0,62710,62465,instrumentation/morphology_v2
READ,hoptimus0,8407,8388,instrumentation/morphology_v2
SKCM,hoptimus0,3034,2876,instrumentation/morphology_v2
