task,encoder,n_spots,n_joined,morph_dir
CCRCC,resnet50,74220,67673,instrumentation/morphology_v2
COAD,resnet50,15651,15590,instrumentation/morphology_v2
HCC,resnet50,4196,4092,instrumentation/morphology_v2
IDC,resnet50,35536,34933,instrumentation/morphology_v2
IDC,resnet50,35536,34933,instrumentation/morphology_v2
LUNG,resnet50,5206,5006,instrumentation/morphology_v2
LYMPH_IDC,resnet50,19964,18473,instrumentation/morphology_v2
PAAD,resnet50,7571,7500,instrumentation/morphology_v2
PRAD,resnet50,62710,62465,instrumentation/morphology_v2
READ,resnet50,8407,8388,instrumentation/morphology_v2
SKCM,resnet50,3034,2876,instrumentation/morphology_v2
