task,encoder,n_spots,n_joined,morph_dir
CCRCC,uni_v2,74220,67673,instrumentation/morphology_v2
COAD,uni_v2,15651,15590,instrumentation/morphology_v2
HCC,uni_v2,4196,4092,instrumentation/morphology_v2
IDC,uni_v2,35536,34933,instrumentation/morphology_v2
IDC,uni_v2,35536,34933,instrumentation/morphology_v2
LUNG,uni_v2,5206,5006,instrumentation/morphology_v2
LYMPH_IDC,uni_v2,19964,18473,instrumentation/morphology_v2
PAAD,uni_v2,7571,7500,instrumentation/morphology_v2
PRAD,uni_v2,62710,62465,instrumentation/morphology_v2
READ,uni_v2,8407,8388,instrumentation/morphology_v2
SKCM,uni_v2,3034,2876,instrumentation/morphology_v2
