encoder,fold,slide,coverage,width_mean,n_cal_draws,n_genes,arm,scope,slide_out,slide_out_cal_other_donor,same_donor_minus_other_donor,task,difference_list
hoptimus0,MEND139,MEND139,0.8857437538899262,2.4141669115758306,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND140,MEND140,0.9549595176571921,2.4449108956072783,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND141,MEND141,0.9642697881828316,2.4510516093078007,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND142,MEND142,0.9814191969747526,2.7497476374002074,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND143,MEND143,0.9927550663871418,2.623347236355054,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND144,MEND144,0.979108165603011,2.38763888200823,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND145,MEND145,0.9667795016455102,2.521297042091875,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND146,MEND146,0.9783808553971486,2.3787590719942115,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND147,MEND147,0.983914346895075,2.8731785792220013,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND148,MEND148,0.9773300673606858,2.265959226688021,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND149,MEND149,0.9812677831802629,2.669794946587201,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND150,MEND150,0.938713116314487,2.5513895450314252,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND151,MEND151,0.9554923076923076,2.3200964946381815,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND152,MEND152,0.9432965606748863,2.563163416279153,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND153,MEND153,0.9698498168498167,2.821503798719628,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND154,MEND154,0.8298927875243666,1.8413258866275966,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND156,MEND156,0.6860720315137873,1.668200599447627,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND157,MEND157,0.8174106583072099,1.8364989171171722,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND158,MEND158,0.7538939197930142,1.6033696622823415,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND159,MEND159,0.5826607883817427,1.7345309599296865,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND160,MEND160,0.8211685870719948,1.7038174487729596,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND161,MEND161,0.6651627627627628,1.7179651176040915,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
hoptimus0,MEND162,MEND162,0.9424862654912483,1.8030776770359978,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
resnet50,MEND139,MEND139,0.8367013425802435,2.2646835712242446,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
resnet50,MEND140,MEND140,0.9377743324720069,2.4466851979446775,3.0,50.0,slide_out_cal_other_donor,arm_by_slide,,,,PRAD,"the two arms differ in whether the calibration slides share the test slide's donor; on PRAD they also differ in resolution class and in capture session, because the two donors do not share either"
