task,label_set,encoder,design,score,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,superseded_label_set
PRAD,shipped,resnet50,slide_out,abs,MEND139,predicted_value_decile,0,3546,3188,0.8990411731528483,2.2159929275512695,0.13524693250656128,False
PRAD,shipped,resnet50,slide_out,abs,MEND139,predicted_value_decile,1,5653,4928,0.8717495135326375,2.2829973697662354,0.2851203680038452,False
PRAD,shipped,resnet50,slide_out,abs,MEND139,predicted_value_decile,2,9236,8037,0.8701818969250757,2.2717955112457275,0.37982240319252014,False
PRAD,shipped,resnet50,slide_out,abs,MEND139,predicted_value_decile,3,16466,14774,0.8972428033523624,2.221104860305786,0.4397895336151123,False
PRAD,shipped,resnet50,slide_out,abs,MEND139,predicted_value_decile,4,28730,26451,0.9206752523494605,2.177396297454834,0.5113521218299866,False
PRAD,shipped,resnet50,slide_out,abs,MEND139,predicted_value_decile,5,45703,42956,0.9398945364636895,2.145559310913086,0.6102604269981384,False
PRAD,shipped,resnet50,slide_out,abs,MEND139,predicted_value_decile,6,60545,57573,0.9509125443884714,2.135183095932007,0.7342653274536133,False
PRAD,shipped,resnet50,slide_out,abs,MEND139,predicted_value_decile,7,72450,69444,0.9585093167701864,2.1511595249176025,0.8932154178619385,False
PRAD,shipped,resnet50,slide_out,abs,MEND139,predicted_value_decile,8,98641,89289,0.9051915532080981,2.1632773876190186,1.098052978515625,False
PRAD,shipped,resnet50,slide_out,abs,MEND139,predicted_value_decile,9,221380,153483,0.6933011112114915,2.1764228343963623,1.550437569618225,False
PRAD,shipped,resnet50,slide_out,abs,MEND140,predicted_value_decile,0,26118,22834,0.8742629604104449,1.9917447566986084,0.09075256437063217,False
PRAD,shipped,resnet50,slide_out,abs,MEND140,predicted_value_decile,1,32370,29228,0.9029348161878282,2.003445625305176,0.27263951301574707,False
PRAD,shipped,resnet50,slide_out,abs,MEND140,predicted_value_decile,2,35314,32208,0.9120462139661324,1.9983478784561157,0.37294071912765503,False
PRAD,shipped,resnet50,slide_out,abs,MEND140,predicted_value_decile,3,37317,34220,0.9170083340032693,1.9890635013580322,0.4557196795940399,False
PRAD,shipped,resnet50,slide_out,abs,MEND140,predicted_value_decile,4,37472,33915,0.9050757899231426,1.9772721529006958,0.5364872217178345,False
PRAD,shipped,resnet50,slide_out,abs,MEND140,predicted_value_decile,5,35524,31558,0.8883571669856998,1.986491084098816,0.6436372399330139,False
PRAD,shipped,resnet50,slide_out,abs,MEND140,predicted_value_decile,6,31456,26874,0.8543362156663276,1.9960720539093018,0.7669671177864075,False
PRAD,shipped,resnet50,slide_out,abs,MEND140,predicted_value_decile,7,25125,21110,0.8401990049751243,2.0222699642181396,0.9076759815216064,False
PRAD,shipped,resnet50,slide_out,abs,MEND140,predicted_value_decile,8,19298,15798,0.8186340553425225,2.0331835746765137,1.077217936515808,False
PRAD,shipped,resnet50,slide_out,abs,MEND140,predicted_value_decile,9,10256,8186,0.7981669266770671,2.0442445278167725,1.3540414571762085,False
PRAD,shipped,resnet50,slide_out,abs,MEND141,predicted_value_decile,0,23517,22279,0.9473572309393204,2.0389044284820557,0.07369377464056015,False
PRAD,shipped,resnet50,slide_out,abs,MEND141,predicted_value_decile,1,46039,44019,0.9561241556072025,2.0009381771087646,0.1996791660785675,False
PRAD,shipped,resnet50,slide_out,abs,MEND141,predicted_value_decile,2,49155,47230,0.9608381649883023,2.031153917312622,0.3150351941585541,False
PRAD,shipped,resnet50,slide_out,abs,MEND141,predicted_value_decile,3,44665,43037,0.963550878764133,2.0768754482269287,0.4367816746234894,False
PRAD,shipped,resnet50,slide_out,abs,MEND141,predicted_value_decile,4,35916,34450,0.9591825370308498,2.1345622539520264,0.5762478113174438,False
PRAD,shipped,resnet50,slide_out,abs,MEND141,predicted_value_decile,5,25970,24459,0.941817481709665,2.1891119480133057,0.7312551140785217,False
PRAD,shipped,resnet50,slide_out,abs,MEND141,predicted_value_decile,6,18251,16474,0.9026354720289299,2.198941230773926,0.8865560293197632,False
PRAD,shipped,resnet50,slide_out,abs,MEND141,predicted_value_decile,7,13265,11125,0.8386732001507727,2.1713666915893555,1.0266355276107788,False
PRAD,shipped,resnet50,slide_out,abs,MEND141,predicted_value_decile,8,8516,6594,0.7743071864725223,2.1522834300994873,1.1636964082717896,False
PRAD,shipped,resnet50,slide_out,abs,MEND141,predicted_value_decile,9,3806,2883,0.7574881765633211,2.247678518295288,1.4742110967636108,False
PRAD,shipped,resnet50,slide_out,abs,MEND142,predicted_value_decile,0,23829,22077,0.9264761425154224,2.0531132221221924,0.09603957831859589,False
PRAD,shipped,resnet50,slide_out,abs,MEND142,predicted_value_decile,1,38853,37211,0.9577381411988778,2.118335247039795,0.2621225118637085,False
PRAD,shipped,resnet50,slide_out,abs,MEND142,predicted_value_decile,2,49466,47721,0.9647232442485748,2.1372122764587402,0.3556661009788513,False
PRAD,shipped,resnet50,slide_out,abs,MEND142,predicted_value_decile,3,60448,58514,0.968005558496559,2.139737844467163,0.4345342814922333,False
PRAD,shipped,resnet50,slide_out,abs,MEND142,predicted_value_decile,4,68997,66872,0.9692015594880937,2.144787073135376,0.5202113389968872,False
PRAD,shipped,resnet50,slide_out,abs,MEND142,predicted_value_decile,5,67270,65058,0.967117585848075,2.166472911834717,0.6383664011955261,False
PRAD,shipped,resnet50,slide_out,abs,MEND142,predicted_value_decile,6,55294,53098,0.9602850218830253,2.189655065536499,0.7825388312339783,False
PRAD,shipped,resnet50,slide_out,abs,MEND142,predicted_value_decile,7,41654,39529,0.9489844912853508,2.229231357574463,0.9553666710853577,False
PRAD,shipped,resnet50,slide_out,abs,MEND142,predicted_value_decile,8,30309,26837,0.8854465670262959,2.224316120147705,1.1112953424453735,False
PRAD,shipped,resnet50,slide_out,abs,MEND142,predicted_value_decile,9,13430,10712,0.7976172747580045,2.229637384414673,1.3434181213378906,False
PRAD,shipped,resnet50,slide_out,abs,MEND143,predicted_value_decile,0,108758,103925,0.9555618897000681,1.978430151939392,0.01587367057800293,False
PRAD,shipped,resnet50,slide_out,abs,MEND143,predicted_value_decile,1,120265,116286,0.9669147299713133,1.942168116569519,0.20735029876232147,False
PRAD,shipped,resnet50,slide_out,abs,MEND143,predicted_value_decile,2,106688,103329,0.9685156718656269,1.9487124681472778,0.3470357060432434,False
PRAD,shipped,resnet50,slide_out,abs,MEND143,predicted_value_decile,3,88859,86163,0.9696597981071136,1.9559407234191895,0.47224345803260803,False
