task,label_set,encoder,design,score,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,superseded_label_set
PRAD,shipped,uni_v2,slide_out,abs,MEND139,predicted_value_decile,0,3942,3448,0.8746829020801623,2.0101304054260254,0.08306790143251419,False
PRAD,shipped,uni_v2,slide_out,abs,MEND139,predicted_value_decile,1,8697,7822,0.8993905944578591,2.0708107948303223,0.22604601085186005,False
PRAD,shipped,uni_v2,slide_out,abs,MEND139,predicted_value_decile,2,14250,12806,0.8986666666666666,2.083143472671509,0.29766571521759033,False
PRAD,shipped,uni_v2,slide_out,abs,MEND139,predicted_value_decile,3,21750,19710,0.9062068965517242,2.120572328567505,0.3914310932159424,False
PRAD,shipped,uni_v2,slide_out,abs,MEND139,predicted_value_decile,4,33222,30569,0.9201432785503582,2.128190279006958,0.48253798484802246,False
PRAD,shipped,uni_v2,slide_out,abs,MEND139,predicted_value_decile,5,45037,42284,0.9388724826253969,2.128668785095215,0.6030527949333191,False
PRAD,shipped,uni_v2,slide_out,abs,MEND139,predicted_value_decile,6,53803,51402,0.955374235637418,2.144534111022949,0.7620067596435547,False
PRAD,shipped,uni_v2,slide_out,abs,MEND139,predicted_value_decile,7,70095,66785,0.9527783722091447,2.1753687858581543,0.9543038606643677,False
PRAD,shipped,uni_v2,slide_out,abs,MEND139,predicted_value_decile,8,119767,105078,0.8773535281003949,2.1751012802124023,1.1754066944122314,False
PRAD,shipped,uni_v2,slide_out,abs,MEND139,predicted_value_decile,9,191787,137559,0.717248822912919,2.132967472076416,1.495260238647461,False
PRAD,shipped,uni_v2,slide_out,abs,MEND140,predicted_value_decile,0,20550,18979,0.9235523114355231,2.2006165981292725,0.09307333081960678,False
PRAD,shipped,uni_v2,slide_out,abs,MEND140,predicted_value_decile,1,27691,25725,0.9290022028818028,2.089120388031006,0.2622072994709015,False
PRAD,shipped,uni_v2,slide_out,abs,MEND140,predicted_value_decile,2,32602,30220,0.9269369977302006,2.0513076782226562,0.3642241358757019,False
PRAD,shipped,uni_v2,slide_out,abs,MEND140,predicted_value_decile,3,36906,34273,0.928656587004823,2.022972583770752,0.4444555938243866,False
PRAD,shipped,uni_v2,slide_out,abs,MEND140,predicted_value_decile,4,39158,36252,0.9257878339036723,1.975026249885559,0.5170351266860962,False
PRAD,shipped,uni_v2,slide_out,abs,MEND140,predicted_value_decile,5,37200,33784,0.9081720430107527,1.950146198272705,0.6126570701599121,False
PRAD,shipped,uni_v2,slide_out,abs,MEND140,predicted_value_decile,6,31389,27464,0.8749561948453279,1.961095929145813,0.7480172514915466,False
PRAD,shipped,uni_v2,slide_out,abs,MEND140,predicted_value_decile,7,25537,21775,0.8526843403688765,1.9685345888137817,0.9141437411308289,False
PRAD,shipped,uni_v2,slide_out,abs,MEND140,predicted_value_decile,8,20860,17268,0.827804410354746,1.9577653408050537,1.105502724647522,False
PRAD,shipped,uni_v2,slide_out,abs,MEND140,predicted_value_decile,9,18357,14545,0.7923407964264313,1.9074671268463135,1.437066912651062,False
PRAD,shipped,uni_v2,slide_out,abs,MEND141,predicted_value_decile,0,16681,16264,0.9750014987111084,2.0339434146881104,0.1036343052983284,False
PRAD,shipped,uni_v2,slide_out,abs,MEND141,predicted_value_decile,1,21006,20475,0.9747215081405313,2.0753419399261475,0.22022895514965057,False
PRAD,shipped,uni_v2,slide_out,abs,MEND141,predicted_value_decile,2,28830,28083,0.9740894901144641,2.097017526626587,0.2894420027732849,False
PRAD,shipped,uni_v2,slide_out,abs,MEND141,predicted_value_decile,3,39820,38704,0.97197388247112,2.1182072162628174,0.369895339012146,False
PRAD,shipped,uni_v2,slide_out,abs,MEND141,predicted_value_decile,4,50365,49055,0.9739898739203812,2.094285249710083,0.4656706154346466,False
PRAD,shipped,uni_v2,slide_out,abs,MEND141,predicted_value_decile,5,47483,45955,0.9678200619168966,2.0413167476654053,0.5862272381782532,False
PRAD,shipped,uni_v2,slide_out,abs,MEND141,predicted_value_decile,6,30907,29179,0.9440903355226972,2.0730950832366943,0.7803127765655518,False
PRAD,shipped,uni_v2,slide_out,abs,MEND141,predicted_value_decile,7,18381,16345,0.889233447581742,2.192460775375366,1.0783910751342773,False
PRAD,shipped,uni_v2,slide_out,abs,MEND141,predicted_value_decile,8,10860,8936,0.8228360957642725,2.2692456245422363,1.3719946146011353,False
PRAD,shipped,uni_v2,slide_out,abs,MEND141,predicted_value_decile,9,4767,3611,0.7574994755611496,2.2187962532043457,1.595813274383545,False
PRAD,shipped,uni_v2,slide_out,abs,MEND142,predicted_value_decile,0,14132,13546,0.9585338239456552,2.1100122928619385,0.10199236869812012,False
PRAD,shipped,uni_v2,slide_out,abs,MEND142,predicted_value_decile,1,26045,25264,0.9700134382799002,2.1537728309631348,0.24515284597873688,False
PRAD,shipped,uni_v2,slide_out,abs,MEND142,predicted_value_decile,2,40104,38909,0.9702024735687214,2.161098003387451,0.3393628001213074,False
PRAD,shipped,uni_v2,slide_out,abs,MEND142,predicted_value_decile,3,56648,54997,0.9708551052111284,2.1678829193115234,0.4130827784538269,False
PRAD,shipped,uni_v2,slide_out,abs,MEND142,predicted_value_decile,4,74661,72526,0.9714040797739114,2.1483283042907715,0.4939732849597931,False
PRAD,shipped,uni_v2,slide_out,abs,MEND142,predicted_value_decile,5,83573,81020,0.9694518564608187,2.1205790042877197,0.5990287661552429,False
PRAD,shipped,uni_v2,slide_out,abs,MEND142,predicted_value_decile,6,67342,64725,0.9611386653203053,2.133948802947998,0.7548360228538513,False
PRAD,shipped,uni_v2,slide_out,abs,MEND142,predicted_value_decile,7,43332,40892,0.9436905750946183,2.175551652908325,0.94206702709198,False
