encoder,task,label_set,fold,coverage__C_block,coverage__C_unit,coverage__anchor_a1,n_C__C_block,n_C__C_unit,n_C__anchor_a1,n_T__C_block,n_T__C_unit,n_T__anchor_a1,width_mean__C_block,width_mean__C_unit,width_mean__anchor_a1,coverage_observed,width_observed,anchor_minus_a1,cov_unit_minus_block,width_unit_minus_block,unit_minus_a1,block_minus_a1,scope,n_folds,anchor_minus_a1_max_abs,cov_unit_minus_block_sd,width_unit_minus_block_sd,difference_list_C_unit_vs_C_block,difference_list_anchor_vs_C_unit,score
hoptimus0,CCRCC,shipped,INT1,0.733991389913899,0.8058548585485855,0.7575461254612547,7774.666666666667,7774.666666666667,20728.0,24365.333333333332,24365.333333333332,35996.0,1.6066074208631276,2.003102979786993,2.0120503025588445,0.7575461254612547,2.0120503025588445,0.0,0.07186346863468651,0.39649555892386545,0.04830873308733086,-0.023554735547355654,fold,,,,,"against C_unit: the SOURCE OF THE CALIBRATION SCORES only. Same T, same head, same scaler, same PCA, same E, same score, same alpha, same calibration spot count","against anchor_a1: the proper-training set loses the carved blocks and their 2.5-pitch buffer, and C_unit is subsampled only if it is larger than C_block; nothing else differs",abs
hoptimus0,CCRCC,shipped,INT10,0.731954950411834,0.8216439737771054,0.8118440073962011,7756.333333333333,7756.333333333333,18674.0,24319.333333333332,24319.333333333332,35996.0,1.586203570466477,2.0743315249744927,2.0827806829682807,0.8118440073962011,2.08278068296828,0.0,0.0896890233652714,0.4881279545080157,0.009799966380904301,-0.0798890569843671,fold,,,,,"against C_unit: the SOURCE OF THE CALIBRATION SCORES only. Same T, same head, same scaler, same PCA, same E, same score, same alpha, same calibration spot count","against anchor_a1: the proper-training set loses the carved blocks and their 2.5-pitch buffer, and C_unit is subsampled only if it is larger than C_block; nothing else differs",abs
hoptimus0,CCRCC,shipped,INT11,0.7051980542043085,0.7976001853138754,0.7897567755385685,7934.0,7934.0,18477.333333333332,24103.333333333332,24103.333333333332,35996.0,1.6228692820791117,2.0210402546012016,2.0161141857000096,0.7897567755385685,2.0161141857000096,0.0,0.09240213110956697,0.3981709725220899,0.007843409775306953,-0.08455872133426001,fold,,,,,"against C_unit: the SOURCE OF THE CALIBRATION SCORES only. Same T, same head, same scaler, same PCA, same E, same score, same alpha, same calibration spot count","against anchor_a1: the proper-training set loses the carved blocks and their 2.5-pitch buffer, and C_unit is subsampled only if it is larger than C_block; nothing else differs",abs
hoptimus0,CCRCC,shipped,INT12,0.7038456237077878,0.8134022513209281,0.8158603262118079,7859.333333333333,7859.333333333333,17296.333333333332,24331.333333333332,24331.333333333332,35996.0,1.6229019558755498,2.0981929047389625,2.103339545144068,0.815860326211808,2.1033395451440686,-1.1102230246251565e-16,0.10955662761314033,0.4752909488634127,-0.002458074890879902,-0.11201470250402024,fold,,,,,"against C_unit: the SOURCE OF THE CALIBRATION SCORES only. Same T, same head, same scaler, same PCA, same E, same score, same alpha, same calibration spot count","against anchor_a1: the proper-training set loses the carved blocks and their 2.5-pitch buffer, and C_unit is subsampled only if it is larger than C_block; nothing else differs",abs
hoptimus0,CCRCC,shipped,INT13,0.8166567255486732,0.9021901047640895,0.8976386021258698,7790.666666666667,7790.666666666667,15979.0,24374.666666666668,24374.666666666668,35996.0,1.626938244681569,2.120302975008582,2.1214283456708967,0.8976386021258698,2.121428345670897,0.0,0.08553337921541626,0.493364730327013,0.004551502638219684,-0.08098187657719658,fold,,,,,"against C_unit: the SOURCE OF THE CALIBRATION SCORES only. Same T, same head, same scaler, same PCA, same E, same score, same alpha, same calibration spot count","against anchor_a1: the proper-training set loses the carved blocks and their 2.5-pitch buffer, and C_unit is subsampled only if it is larger than C_block; nothing else differs",abs
hoptimus0,CCRCC,shipped,INT14,0.9098670173900336,0.9655355838082712,0.9651395586730969,7814.666666666667,7814.666666666667,16974.333333333332,24186.333333333332,24186.333333333332,35996.0,1.623656886106766,2.1387054498313165,2.1372797801001746,0.9651395586730964,2.1372797801001746,4.440892098500626e-16,0.055668566418237586,0.5150485637245505,0.00039602513517478233,-0.055272541283062804,fold,,,,,"against C_unit: the SOURCE OF THE CALIBRATION SCORES only. Same T, same head, same scaler, same PCA, same E, same score, same alpha, same calibration spot count","against anchor_a1: the proper-training set loses the carved blocks and their 2.5-pitch buffer, and C_unit is subsampled only if it is larger than C_block; nothing else differs",abs
hoptimus0,CCRCC,shipped,INT15,0.863748987854251,0.9222213225371121,0.9195060728744938,7895.666666666667,7895.666666666667,21138.0,23876.0,23876.0,35996.0,1.6465347886799817,2.05658344815416,2.0491498473506096,0.9195060728744938,2.0491498473506096,0.0,0.05847233468286106,0.4100486594741781,0.0027152496626182687,-0.05575708502024279,fold,,,,,"against C_unit: the SOURCE OF THE CALIBRATION SCORES only. Same T, same head, same scaler, same PCA, same E, same score, same alpha, same calibration spot count","against anchor_a1: the proper-training set loses the carved blocks and their 2.5-pitch buffer, and C_unit is subsampled only if it is larger than C_block; nothing else differs",abs
hoptimus0,CCRCC,shipped,INT16,0.8718361405697651,0.9138968600540656,0.9160677895612391,7794.0,7794.0,18029.333333333332,24170.0,24170.0,35996.0,1.646348949013676,1.9694084565640972,1.9713683387357275,0.9160677895612396,1.9713683387357277,-4.440892098500626e-16,0.04206071948430046,0.32305950755042123,-0.002170929507174013,-0.04423164899147447,fold,,,,,"against C_unit: the SOURCE OF THE CALIBRATION SCORES only. Same T, same head, same scaler, same PCA, same E, same score, same alpha, same calibration spot count","against anchor_a1: the proper-training set loses the carved blocks and their 2.5-pitch buffer, and C_unit is subsampled only if it is larger than C_block; nothing else differs",abs
hoptimus0,CCRCC,shipped,INT17,0.908881450488145,0.9438623895862389,0.9427466294746628,7868.666666666667,7868.666666666667,21024.0,24129.0,24129.0,35996.0,1.6739019312420327,1.9954875984293492,1.9732452181966869,0.9427466294746628,1.9732452181966875,0.0,0.034980939098093966,0.3215856671873165,0.0011157601115761029,-0.03386517898651786,fold,,,,,"against C_unit: the SOURCE OF THE CALIBRATION SCORES only. Same T, same head, same scaler, same PCA, same E, same score, same alpha, same calibration spot count","against anchor_a1: the proper-training set loses the carved blocks and their 2.5-pitch buffer, and C_unit is subsampled only if it is larger than C_block; nothing else differs",abs
hoptimus0,CCRCC,shipped,INT18,0.7664415055951169,0.8770118684299762,0.873482536453035,7832.333333333333,7832.333333333333,16996.333333333332,24158.0,24158.0,35996.0,1.6004406697090954,2.2455912878370516,2.235278776374097,0.873482536453035,2.2352787763740976,0.0,0.11057036283485933,0.6451506181279563,0.0035293319769412745,-0.10704103085791805,fold,,,,,"against C_unit: the SOURCE OF THE CALIBRATION SCORES only. Same T, same head, same scaler, same PCA, same E, same score, same alpha, same calibration spot count","against anchor_a1: the proper-training set loses the carved blocks and their 2.5-pitch buffer, and C_unit is subsampled only if it is larger than C_block; nothing else differs",abs
