encoder,design,n_folds,width_mean_pooled_over_folds,width_median_pooled_over_folds,coverage_mean_pooled_over_folds,n_task_files,width_mean_over_task_files,width_median_over_task_files,coverage_mean_over_task_files,benchmark_pca_ridge_avg_paper9,coverage_min_across_encoders,coverage_max_across_encoders,coverage_range_across_encoders,spearman_width_mean_vs_pearson,spearman_width_median_vs_pearson,spearman_coverage_vs_pearson
resnet50,donor,52,2.811713845673754,2.292655210132375,0.8362895727897357,11,3.0492720812086165,2.4769210362338923,0.8017533106897772,0.3252,0.7966960150355717,0.8115509751787205,0.014854960143148799,-0.9580419580419581,-0.9860139860139862,-0.055944055944055944
ctranspath,donor,52,2.7015313269305903,2.2815624292311165,0.834256087917622,11,2.878571781790688,2.442247123473644,0.7974139696055844,0.3468,0.7966960150355717,0.8115509751787205,0.014854960143148799,-0.9580419580419581,-0.9860139860139862,-0.055944055944055944
phikon,donor,52,2.648276209444613,2.23628405248518,0.8330108302673297,11,2.8351571562168365,2.462053411443206,0.7983581810945076,0.3661,0.7966960150355717,0.8115509751787205,0.014854960143148799,-0.9580419580419581,-0.9860139860139862,-0.055944055944055944
conch_v1,donor,52,2.631366696671953,2.233311098340586,0.8387388759446162,11,2.807341084133824,2.3988597292570955,0.8110707743761633,0.3696,0.7966960150355717,0.8115509751787205,0.014854960143148799,-0.9580419580419581,-0.9860139860139862,-0.055944055944055944
conch_v15,donor,52,2.6089192070334075,2.249432533505721,0.8392103370983724,11,2.769226556365765,2.421515165429354,0.8115509751787205,0.3792,0.7966960150355717,0.8115509751787205,0.014854960143148799,-0.9580419580419581,-0.9860139860139862,-0.055944055944055944
uni_v1,donor,52,2.57995907848517,2.187093157048615,0.8336533195793874,11,2.713047509605072,2.382030615292758,0.8028857939729879,0.3856,0.7966960150355717,0.8115509751787205,0.014854960143148799,-0.9580419580419581,-0.9860139860139862,-0.055944055944055944
gigapath,donor,52,2.574236887944115,2.1825788885330635,0.8369715371940737,11,2.7209046307934717,2.3709091368211377,0.8032927750731095,0.3875,0.7966960150355717,0.8115509751787205,0.014854960143148799,-0.9580419580419581,-0.9860139860139862,-0.055944055944055944
virchow2,donor,52,2.567202235636174,2.1717700711417094,0.8313619910252411,11,2.7142580632815334,2.3654129625937053,0.7966960150355717,0.4033,0.7966960150355717,0.8115509751787205,0.014854960143148799,-0.9580419580419581,-0.9860139860139862,-0.055944055944055944
virchow,donor,52,2.5611276564651257,2.186967682124698,0.8329277311381345,11,2.6872318628969682,2.3243564066203453,0.7977646997051061,0.406,0.7966960150355717,0.8115509751787205,0.014854960143148799,-0.9580419580419581,-0.9860139860139862,-0.055944055944055944
uni_v2,donor,52,2.513965382965743,2.1617275229938486,0.8378237901787392,11,2.6388272803352035,2.2857945072181787,0.8075993760793542,0.4142,0.7966960150355717,0.8115509751787205,0.014854960143148799,-0.9580419580419581,-0.9860139860139862,-0.055944055944055944
hoptimus0,donor,52,2.5411097784099965,2.1423275431638307,0.8325562511055293,11,2.671419915068278,2.28493863847081,0.8011316007820024,0.415,0.7966960150355717,0.8115509751787205,0.014854960143148799,-0.9580419580419581,-0.9860139860139862,-0.055944055944055944
