encoder,task,label_set,design,arm,fold,cal_draw,score,calibration_unit,n_T,n_C,n_E,n_test_slides,coverage,width_mean,interval_score,miss_above,miss_below,q_alpha_mean,quantile_infinite
hoptimus0,CCRCC,shipped,donor,anchor_a1,INT1,0,abs,donor,35996,22105,1084,1,0.6101660516605165,1.7590711486405928,4.17654716279676,0.014188191881918822,0.37564575645756454,0.8795355743202954,False
hoptimus0,CCRCC,shipped,donor,anchor_a1,INT1,0,scaled,donor,35996,22105,1084,1,0.6796863468634684,2.021517192646485,3.591389339762432,0.010627306273062733,0.3096863468634686,2.2987007268512993,False
hoptimus0,CCRCC,shipped,donor,C_unit,INT1,0,abs,donor,24315,7873,1084,1,0.699520295202952,1.7827988223723128,3.2238209223330223,0.021752767527675278,0.2787269372693727,0.891399411186157,False
hoptimus0,CCRCC,shipped,donor,C_unit,INT1,0,scaled,donor,24315,7873,1084,1,0.7707564575645754,2.01835215873585,2.799279016703281,0.017952029520295204,0.21129151291512915,2.363753098564809,False
hoptimus0,CCRCC,shipped,donor,C_block,INT1,0,abs,block,24315,7873,1084,1,0.6768450184501844,1.6637482268282475,3.3878772922547338,0.0320848708487085,0.291070110701107,0.831874113414124,False
hoptimus0,CCRCC,shipped,donor,C_block,INT1,0,scaled,block,24315,7873,1084,1,0.6352398523985241,1.6454585729868356,3.4085027207679177,0.03654981549815498,0.328210332103321,1.9244953544954857,False
hoptimus0,CCRCC,shipped,donor,anchor_a1,INT1,1,abs,donor,35996,22542,1084,1,0.9435055350553505,2.1801172709977217,2.491002737398799,0.051273062730627345,0.005221402214022139,1.0900586354988624,False
hoptimus0,CCRCC,shipped,donor,anchor_a1,INT1,1,scaled,donor,35996,22542,1084,1,0.9593726937269373,2.302452339235291,2.5197298737956264,0.039667896678966794,0.0009594095940959409,2.8936758944302237,False
hoptimus0,CCRCC,shipped,donor,C_unit,INT1,1,abs,donor,24197,7721,1084,1,0.9391512915129152,2.1566530821103855,2.493272142080687,0.05516605166051662,0.005682656826568264,1.0783265410551939,False
hoptimus0,CCRCC,shipped,donor,C_unit,INT1,1,scaled,donor,24197,7721,1084,1,0.9580073800738014,2.2977988715434483,2.5260894759329187,0.04097785977859778,0.001014760147601476,2.882779403590238,False
hoptimus0,CCRCC,shipped,donor,C_block,INT1,1,abs,block,24197,7721,1084,1,0.8808856088560886,1.543953057019942,2.314767396019013,0.09538745387453874,0.023726937269372694,0.7719765285099724,False
hoptimus0,CCRCC,shipped,donor,C_block,INT1,1,scaled,block,24197,7721,1084,1,0.8904243542435425,1.5455175470381475,2.255565015197654,0.0990590405904059,0.01051660516605166,1.9310537673776558,False
hoptimus0,CCRCC,shipped,donor,anchor_a1,INT1,2,abs,donor,35996,17537,1084,1,0.7189667896678968,2.096962488038219,3.593594822614885,0.015719557195571957,0.26531365313653144,1.0484812440191111,False
hoptimus0,CCRCC,shipped,donor,anchor_a1,INT1,2,scaled,donor,35996,17537,1084,1,0.7762546125461255,2.4092845600227237,3.4540862329817497,0.014760147601476016,0.20898523985239847,2.6338701943552434,False
hoptimus0,CCRCC,shipped,donor,C_unit,INT1,2,abs,donor,24584,7730,1084,1,0.7788929889298895,2.0698570348782814,3.1141848783430697,0.022121771217712177,0.19898523985239855,1.0349285174391376,False
hoptimus0,CCRCC,shipped,donor,C_unit,INT1,2,scaled,donor,24584,7730,1084,1,0.8040036900369004,2.3037141541935395,3.15808968081851,0.02337638376383764,0.17261992619926197,2.6271112505145777,False
hoptimus0,CCRCC,shipped,donor,C_block,INT1,2,abs,block,24584,7730,1084,1,0.6442435424354243,1.6121209787411928,3.7047374399042075,0.03616236162361623,0.3195940959409595,0.8060604893705947,False
hoptimus0,CCRCC,shipped,donor,C_block,INT1,2,scaled,block,24584,7730,1084,1,0.6635977859778596,1.7254594123754545,3.442333572258188,0.03673431734317344,0.29966789667896676,1.9822326789894091,False
hoptimus0,CCRCC,shipped,donor,anchor_a1,INT10,0,abs,donor,35996,20751,1983,1,0.8283610690872416,2.0484325524046594,3.3752076491642713,0.15805345436207763,0.013585476550680787,1.0242162762023295,False
hoptimus0,CCRCC,shipped,donor,anchor_a1,INT10,0,scaled,donor,35996,20751,1983,1,0.8635501765002522,2.128933514910665,3.153823923953926,0.1335552193645991,0.0028946041351487644,2.6108783898109618,False
hoptimus0,CCRCC,shipped,donor,C_unit,INT10,0,abs,donor,24343,7694,1983,1,0.8420877458396366,2.069110808322199,3.2382313053802694,0.14067574382249118,0.017236510337871914,1.0345554041610987,False
hoptimus0,CCRCC,shipped,donor,C_unit,INT10,0,scaled,donor,24343,7694,1983,1,0.8834694906707011,2.2186337503901545,3.083269992560491,0.11232476046394353,0.004205748865355522,2.6516736395591436,False
hoptimus0,CCRCC,shipped,donor,C_block,INT10,0,abs,block,24343,7694,1983,1,0.7538678769541101,1.5589395906884507,3.4926951586964265,0.20485123550176493,0.04128088754412506,0.7794697953442251,False
hoptimus0,CCRCC,shipped,donor,C_block,INT10,0,scaled,block,24343,7694,1983,1,0.7941502773575391,1.6083484772403944,3.2197545369489484,0.18700958144225915,0.01884014120020171,1.922464645489238,False
