encoder,task,label_set,design,arm,fold,cal_draw,score,calibration_unit,n_T,n_C,n_E,n_test_slides,coverage,width_mean,interval_score,miss_above,miss_below,q_alpha_mean,quantile_infinite,superseded_label_set
uni_v2,CCRCC,shipped,donor,anchor_a1,INT1,0,abs,donor,35996,22105,1084,1,0.771992619926199,1.7443636149399506,2.8176842982502692,0.02743542435424355,0.2005719557195571,0.8721818074699766,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT1,0,scaled,donor,35996,22105,1084,1,0.8478782287822875,1.9602685114274103,2.5048686348312303,0.021531365313653135,0.13059040590405904,2.1620132837793684,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT1,0,abs,donor,24315,7873,1084,1,0.8571217712177122,1.7748043643042848,2.416017845510355,0.043081180811808124,0.09979704797047971,0.8874021821521417,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT1,0,scaled,donor,24315,7873,1084,1,0.8949815498154982,1.8876891547005987,2.3037593089181687,0.041568265682656834,0.06345018450184503,2.211142850990436,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT1,0,abs,block,24315,7873,1084,1,0.840590405904059,1.6486006052837607,2.5075931996750915,0.05352398523985242,0.10588560885608857,0.8243003026418775,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT1,0,scaled,block,24315,7873,1084,1,0.8428597785977862,1.6260346782013115,2.379405789522477,0.060774907749077504,0.09636531365313647,1.9117361776262534,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT1,1,abs,donor,35996,22542,1084,1,0.9423616236162363,2.178725609786097,2.4814420100313592,0.04605166051660516,0.011586715867158669,1.0893628048930468,False,False
uni_v2,CCRCC,shipped,donor,anchor_a1,INT1,1,scaled,donor,35996,22542,1084,1,0.9570110701107011,2.2775446715617877,2.5177231873109642,0.041162361623616237,0.001826568265682657,2.719932335039427,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT1,1,abs,donor,24197,7721,1084,1,0.9352767527675278,2.1706862254502433,2.540600940374198,0.055535055350553496,0.009188191881918818,1.0853431127251263,False,False
uni_v2,CCRCC,shipped,donor,C_unit,INT1,1,scaled,donor,24197,7721,1084,1,0.9449815498154983,2.253670882471069,2.588599340499299,0.05415129151291512,0.000867158671586716,2.7139079373323027,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT1,1,abs,block,24197,7721,1084,1,0.8702767527675276,1.5531425633617868,2.3555094252600135,0.09487084870848707,0.03485239852398524,0.7765712816808917,False,False
uni_v2,CCRCC,shipped,donor,C_block,INT1,1,scaled,block,24197,7721,1084,1,0.8916605166051661,1.6007011299771616,2.3218364282654105,0.09929889298892991,0.009040590405904058,1.9278126972550604,False,False
