encoder,task,label_set,fold,cal_draw,calibration_unit,n_units_in_pool,n_cal_units,n_pool_spots,n_T_a1_natural,n_match_target,n_T_a1,n_blocks_chosen,n_blocks_total,n_block_spots,n_buffer_dropped,n_T_shared,n_C_unit_natural,n_C_matched,n_E,min_T_spots,status
uni_v2,CCRCC,shipped,INT1,0,donor,23,6,73136,51031,35996,35996,120,564,7873,3808,24315,22105,7873,1084,1000,ok
uni_v2,CCRCC,shipped,INT1,1,donor,23,6,73136,50594,35996,35996,122,563,7721,4078,24197,22542,7721,1084,1000,ok
uni_v2,CCRCC,shipped,INT1,2,donor,23,6,73136,55599,35996,35996,120,565,7730,3682,24584,17537,7730,1084,1000,ok
uni_v2,CCRCC,shipped,INT10,0,donor,23,6,72237,51486,35996,35996,115,558,7694,3959,24343,20751,7694,1983,1000,ok
uni_v2,CCRCC,shipped,INT10,1,donor,23,6,72237,52648,35996,35996,117,559,7860,3925,24211,19589,7860,1983,1000,ok
uni_v2,CCRCC,shipped,INT10,2,donor,23,6,72237,56555,35996,35996,125,581,7715,3877,24404,15682,7715,1983,1000,ok
uni_v2,CCRCC,shipped,INT11,0,donor,23,6,72781,54016,35996,35996,128,570,8038,4059,23899,18765,8038,1439,1000,ok
uni_v2,CCRCC,shipped,INT11,1,donor,23,6,72781,53007,35996,35996,118,555,7793,3958,24245,19774,7793,1439,1000,ok
uni_v2,CCRCC,shipped,INT11,2,donor,23,6,72781,55888,35996,35996,123,569,7971,3859,24166,16893,7971,1439,1000,ok
uni_v2,CCRCC,shipped,INT12,0,donor,23,6,72769,53493,35996,35996,120,563,7969,3903,24124,19276,7969,1451,1000,ok
uni_v2,CCRCC,shipped,INT12,1,donor,23,6,72769,53651,35996,35996,122,571,7797,3870,24329,19118,7797,1451,1000,ok
uni_v2,CCRCC,shipped,INT12,2,donor,23,6,72769,59274,35996,35996,127,575,7812,3643,24541,13495,7812,1451,1000,ok
uni_v2,CCRCC,shipped,INT13,0,donor,23,6,69861,55098,35996,35996,123,576,7883,3780,24333,14763,7883,4359,1000,ok
uni_v2,CCRCC,shipped,INT13,1,donor,23,6,69861,54292,35996,35996,121,573,7683,3713,24600,15569,7683,4359,1000,ok
uni_v2,CCRCC,shipped,INT13,2,donor,23,6,69861,52256,35996,35996,125,562,7806,3999,24191,17605,7806,4359,1000,ok
uni_v2,CCRCC,shipped,INT14,0,donor,23,6,69658,49174,35996,35996,124,551,7727,4061,24208,20484,7727,4562,1000,ok
uni_v2,CCRCC,shipped,INT14,1,donor,23,6,69658,59089,35996,35996,120,563,7863,3778,24355,10569,7863,4562,1000,ok
uni_v2,CCRCC,shipped,INT14,2,donor,23,6,69658,49788,35996,35996,116,550,7854,4146,23996,19870,7854,4562,1000,ok
uni_v2,CCRCC,shipped,INT15,0,donor,23,6,69280,47645,35996,35996,126,557,7901,4258,23837,21635,7901,4940,1000,ok
uni_v2,CCRCC,shipped,INT15,1,donor,23,6,69280,49871,35996,35996,117,552,7797,4086,24113,19409,7797,4940,1000,ok
uni_v2,CCRCC,shipped,INT15,2,donor,23,6,69280,46910,35996,35996,116,552,7989,4329,23678,22370,7989,4940,1000,ok
uni_v2,CCRCC,shipped,INT16,0,donor,23,6,71014,54124,35996,35996,137,569,7794,3783,24419,16890,7794,3206,1000,ok
uni_v2,CCRCC,shipped,INT16,1,donor,23,6,71014,54518,35996,35996,127,580,7710,4172,24114,16496,7710,3206,1000,ok
uni_v2,CCRCC,shipped,INT16,2,donor,23,6,71014,50312,35996,35996,123,566,7878,4141,23977,20702,7878,3206,1000,ok
uni_v2,CCRCC,shipped,INT17,0,donor,23,6,70635,47821,35996,35996,126,563,7966,3945,24085,22814,7966,3585,1000,ok
uni_v2,CCRCC,shipped,INT17,1,donor,23,6,70635,52119,35996,35996,124,561,7864,3886,24246,18516,7864,3585,1000,ok
uni_v2,CCRCC,shipped,INT17,2,donor,23,6,70635,48893,35996,35996,124,561,7776,4164,24056,21742,7776,3585,1000,ok
uni_v2,CCRCC,shipped,INT18,0,donor,23,6,69305,48612,35996,35996,123,551,7815,4063,24118,20693,7815,4915,1000,ok
uni_v2,CCRCC,shipped,INT18,1,donor,23,6,69305,56777,35996,35996,128,584,7982,3904,24110,12528,7982,4915,1000,ok
uni_v2,CCRCC,shipped,INT18,2,donor,23,6,69305,51537,35996,35996,125,569,7700,4050,24246,17768,7700,4915,1000,ok
uni_v2,CCRCC,shipped,INT19,0,donor,23,6,69272,51299,35996,35996,122,562,7736,3935,24325,17973,7736,4948,1000,ok
uni_v2,CCRCC,shipped,INT19,1,donor,23,6,69272,52420,35996,35996,127,568,7878,4073,24045,16852,7878,4948,1000,ok
uni_v2,CCRCC,shipped,INT19,2,donor,23,6,69272,52725,35996,35996,128,556,7923,3911,24162,16547,7923,4948,1000,ok
uni_v2,CCRCC,shipped,INT2,0,donor,23,6,71640,54535,35996,35996,120,556,7976,3761,24259,17105,7976,2580,1000,ok
uni_v2,CCRCC,shipped,INT2,1,donor,23,6,71640,54615,35996,35996,122,575,7785,3660,24551,17025,7785,2580,1000,ok
uni_v2,CCRCC,shipped,INT2,2,donor,23,6,71640,54324,35996,35996,125,569,7789,3726,24481,17316,7789,2580,1000,ok
uni_v2,CCRCC,shipped,INT20,0,donor,23,6,69360,57071,35996,35996,120,571,7809,3732,24455,12289,7809,4860,1000,ok
uni_v2,CCRCC,shipped,INT20,1,donor,23,6,69360,46778,35996,35996,117,549,7868,4222,23906,22582,7868,4860,1000,ok
uni_v2,CCRCC,shipped,INT20,2,donor,23,6,69360,45744,35996,35996,122,556,7907,4616,23473,23616,7907,4860,1000,ok
uni_v2,CCRCC,shipped,INT21,0,donor,23,6,69245,55332,35996,35996,121,571,7904,3821,24271,13913,7904,4975,1000,ok
uni_v2,CCRCC,shipped,INT21,1,donor,23,6,69245,58249,35996,35996,123,576,7709,3859,24428,10996,7709,4975,1000,ok
uni_v2,CCRCC,shipped,INT21,2,donor,23,6,69245,53487,35996,35996,119,556,7856,3712,24428,15758,7856,4975,1000,ok
uni_v2,CCRCC,shipped,INT22,0,donor,23,6,70391,52804,35996,35996,115,550,7671,3920,24405,17587,7671,3829,1000,ok
uni_v2,CCRCC,shipped,INT22,1,donor,23,6,70391,48964,35996,35996,122,552,7933,3861,24202,21427,7933,3829,1000,ok
