task,label_set,encoder,design,score,weighting,subset,alpha,w3_variant,n_folds,coverage,coverage_sd,width_mean,width_median,width_mean_spotgene,interval_score,miss_above,miss_below,neff_median,neff_frac,clip_rate,clip_rate_test,auc,auc_holdout,no_support,n_infinite,n_spot_gene,n_test_points_infinite,K_median,feasible_level,guaranteed_level,frac_morph_joined,sigma_clip_rate_cal,classifier_converged,frac_infinite,difference_list,_source
CCRCC,shipped,hoptimus0,donor,abs,W1,all,0.1,,24,0.8701791079297264,0.1405826978022536,2.2046656199918697,2.1212190306256518,2.2046656199918697,3.4594885335527223,0.0926300968624135,0.03719079520786,287.11563675811306,0.0148532650479418,0.005027538034302,1.0,1.0,0.999969123224278,0,0,11133000,0,,,,,,True,0.0,"sees everything the encoder represents, which includes the slide signature, stain and scanner, not only biology. Trained on the PCA-256 features of C against E from the PCA fit on T.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,abs,W1b,morph_joined,0.1,,24,0.859917293618587,0.1486815748661684,2.1092648991369,2.0208292178866736,2.1092648991369,3.476134710401822,0.1008215994353946,0.0392611069460182,1661.2219873501178,0.091081706313545,0.005026846110427,0.1559564457669224,0.8807636340814713,0.880221628658414,0,0,10150950,0,,,,0.9184769702611556,,True,0.0,"sees tissue composition only: nuclear count, mean and median nuclear area and the five class fractions. It cannot see the slide as an image. Fitted and evaluated on the morphology-joined subset of spots, with `none` reported on that same subset beside it so the comparison is like for like.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,abs,W2,all,0.1,,24,0.8610559868289842,0.1450185626694579,2.0977876570431504,1.9961892620917496,2.0977876570431504,3.4406646025565912,0.0953613577841572,0.0435826553868584,18812.0,1.0,0.0,0.0,,,0,0,11133000,0,,,,,,True,0.0,"sees resolution group and, where the task definition defines it, capture session. Nothing else. On every task but PRAD the session field is null for every sample, so the cell is the resolution group alone.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,abs,W3,all,0.1,nominal,24,1.0,0.0,,,,,0.0,0.0,14590.685228984115,0.7967207863846464,0.0,0.0,,,0,11133000,11133000,222660,6.0,0.8571428571428572,0.8571428571428571,,,True,1.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,abs,W3,all,0.1428571428571428,feasible_level,24,0.991441342409408,0.0364575509221357,5.548113794172758,5.343509715118207,5.548113794172758,5.594495993682096,0.0085247948286451,3.3862761946681424e-05,14590.685228984115,0.7967207863846464,0.0,0.0,,,0,0,11133000,0,6.0,0.8571428571428572,0.8571428571428571,,,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,abs,W3,all,0.2,nominal,24,0.9127766713277152,0.1344539230131956,2.7350984316584186,2.675261083823415,2.735098431658419,3.191137164100182,0.0638288140290044,0.0233945146432802,14590.685228984115,0.7967207863846464,0.0,0.0,,,0,0,11133000,0,6.0,0.8571428571428572,0.8571428571428571,,,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,abs,none,all,0.1,,24,0.8610559868289842,0.1450185626694579,2.0977876570431504,1.9961892620917496,2.0977876570431504,3.4406646025565912,0.0953613577841572,0.0435826553868584,18812.0,1.0,0.0,0.0,,,0,0,11133000,0,,,,,,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,abs,none,all,0.2,,24,0.7622292825510741,0.1552111085962143,1.5870673398002924,1.5149242645900498,1.5870673398002924,2.6825856529653125,0.1470692898128087,0.090701427636117,18812.0,1.0,0.0,0.0,,,0,0,11133000,0,,,,,,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,abs,none,morph_joined,0.1,,24,0.8613753196701014,0.14783530085185,2.1030058521420814,2.001882934475644,2.1030058521420814,3.4541952042133945,0.0951559749497717,0.0434687053801268,16961.5,1.0,0.0,0.0,,,0,0,10150950,0,,,,0.9184769702611556,,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,abs,none,morph_joined,0.2,,24,0.762070807175971,0.1573605563735153,1.5877168603650351,1.516522753257646,1.5877168603650351,2.6884527381362173,0.1470528812885425,0.0908763115354865,16961.5,1.0,0.0,0.0,,,0,0,10150950,0,,,,0.9184769702611556,,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,scaled_clip,W1,all,0.1,,24,0.8743480742097333,0.1274767883550298,2.21561832805471,2.141307017686295,2.21561832805471,3.3482363736835983,0.0971471531239576,0.0285047726663092,287.11563675811306,0.0148532650479418,0.005027538034302,1.0,1.0,0.999969123224278,0,0,11133000,0,,,,,0.0200005570227687,True,0.0,"sees everything the encoder represents, which includes the slide signature, stain and scanner, not only biology. Trained on the PCA-256 features of C against E from the PCA fit on T.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,scaled_clip,W1b,morph_joined,0.1,,24,0.8654041417707062,0.135181367933921,2.1086559381437517,2.02526022362839,2.1086559381437517,3.3567940633321185,0.1061793495922133,0.0284165086370804,1661.2219873501178,0.091081706313545,0.005026846110427,0.1559564457669224,0.8807636340814713,0.880221628658414,0,0,10150950,0,,,,0.9184769702611556,0.0200005570227687,True,0.0,"sees tissue composition only: nuclear count, mean and median nuclear area and the five class fractions. It cannot see the slide as an image. Fitted and evaluated on the morphology-joined subset of spots, with `none` reported on that same subset beside it so the comparison is like for like.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,scaled_clip,W2,all,0.1,,24,0.8709327724098381,0.1247726258778589,2.114429974384345,2.0268173353213,2.114429974384345,3.28477229865057,0.1015670687639501,0.0275001588262117,18812.0,1.0,0.0,0.0,,,0,0,11133000,0,,,,,0.0200005570227687,True,0.0,"sees resolution group and, where the task definition defines it, capture session. Nothing else. On every task but PRAD the session field is null for every sample, so the cell is the resolution group alone.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,scaled_clip,W3,all,0.1,nominal,24,1.0,0.0,,,,,0.0,0.0,14590.685228984115,0.7967207863846464,0.0,0.0,,,0,11133000,11133000,222660,6.0,0.8571428571428572,0.8571428571428571,,0.0200005570227687,True,1.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,scaled_clip,W3,all,0.1428571428571428,feasible_level,24,0.9988904586516584,0.0035919377383768,8.233033253985688,7.868124183004617,8.233033253985688,8.238766086843198,0.0011032642905732,6.27705776835641e-06,14590.685228984115,0.7967207863846464,0.0,0.0,,,0,0,11133000,0,6.0,0.8571428571428572,0.8571428571428571,,0.0200005570227687,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,scaled_clip,W3,all,0.2,nominal,24,0.912347229829661,0.1139302592388858,2.595267680264252,2.5023997986942077,2.595267680264252,3.001155995328892,0.0726353509452993,0.0150174192250397,14590.685228984115,0.7967207863846464,0.0,0.0,,,0,0,11133000,0,6.0,0.8571428571428572,0.8571428571428571,,0.0200005570227687,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,scaled_clip,none,all,0.1,,24,0.8709327724098381,0.1247726258778589,2.114429974384345,2.0268173353213,2.114429974384345,3.28477229865057,0.1015670687639501,0.0275001588262117,18812.0,1.0,0.0,0.0,,,0,0,11133000,0,,,,,0.0200005570227687,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,scaled_clip,none,all,0.2,,24,0.7719399211917581,0.1388535986858661,1.5760015560399014,1.513392407457941,1.5760015560399014,2.580180050111481,0.1572138096289201,0.0708462691793217,18812.0,1.0,0.0,0.0,,,0,0,11133000,0,,,,,0.0200005570227687,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,scaled_clip,none,morph_joined,0.1,,24,0.8696923344496579,0.1288145208821955,2.108301727885952,2.027185098525277,2.108301727885952,3.296387018306317,0.1021143190937606,0.0281933464565814,16961.5,1.0,0.0,0.0,,,0,0,10150950,0,,,,0.9184769702611556,0.0200005570227687,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,donor,scaled_clip,none,morph_joined,0.2,,24,0.7704655894694926,0.1421743969128115,1.571182884379577,1.5130295873052433,1.571182884379577,2.586537066355614,0.1577938517641617,0.0717405587663456,16961.5,1.0,0.0,0.0,,,0,0,10150950,0,,,,0.9184769702611556,0.0200005570227687,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,abs,W1,all,0.1,,6,0.863843566554601,0.0872788636086868,2.2859857397221126,2.2026370677934923,2.286018750997429,3.59089105301252,0.0842804043893961,0.0518760290560028,214.67804584946225,0.0142427446138306,0.0050334443389519,0.998185938269416,0.999943116982972,0.9997888962864367,0,0,11133000,0,,,,,,True,0.0,"sees everything the encoder represents, which includes the slide signature, stain and scanner, not only biology. Trained on the PCA-256 features of C against E from the PCA fit on T.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,abs,W1b,morph_joined,0.1,,6,0.8578387259520935,0.085152014956116,2.235990091722492,2.1303394866465064,2.2359660906544923,3.570325134771137,0.0870568688136108,0.0551044052342956,5483.158042913188,0.3815329532176346,0.0050351597721478,0.11552541372,0.7972020245634905,0.7962884117572597,0,0,10150950,0,,,,0.9109769051466352,,True,0.0,"sees tissue composition only: nuclear count, mean and median nuclear area and the five class fractions. It cannot see the slide as an image. Fitted and evaluated on the morphology-joined subset of spots, with `none` reported on that same subset beside it so the comparison is like for like.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,abs,W2,all,0.1,,6,0.8555883094612807,0.102588085121083,2.208547882435843,2.075937756480257,2.208547882435843,3.6555718714762673,0.0858900560985945,0.0585216344401247,14996.0,1.0,0.0,0.0,,,0,0,11133000,0,,,,,,True,0.0,"sees resolution group and, where the task definition defines it, capture session. Nothing else. On every task but PRAD the session field is null for every sample, so the cell is the resolution group alone.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,abs,W3,all,0.1,nominal,6,1.0,0.0,,,,,0.0,0.0,12029.83377037622,0.8374453284133714,0.0,0.0,,,0,11133000,11133000,222660,5.0,0.8333333333333334,0.8333333333333334,,,True,1.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,abs,W3,all,0.1666666666666666,feasible_level,6,0.9905560452443064,0.0184462433712896,5.67586734662828,5.478389190081658,5.67586734662828,5.722106131000927,0.0092097415133962,0.0002342132422975,12029.83377037622,0.8374453284133714,0.0,0.0,,,0,0,11133000,0,5.0,0.8333333333333334,0.8333333333333334,,,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,abs,W3,all,0.2,nominal,6,0.925761433037677,0.0733764118868522,3.24209811385638,3.186562897475441,3.24209811385638,3.629217143580934,0.0486113609850645,0.0256272059772584,12029.83377037622,0.8374453284133714,0.0,0.0,,,0,0,11133000,0,5.0,0.8333333333333334,0.8333333333333334,,,True,0.0,sees the unit structure of the calibration set and no features whatever: only which calibration unit each spot belongs to and how many spots that unit has.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,abs,none,all,0.1,,6,0.8555883094612807,0.102588085121083,2.208547882435843,2.075937756480257,2.208547882435843,3.6555718714762673,0.0858900560985945,0.0585216344401247,14996.0,1.0,0.0,0.0,,,0,0,11133000,0,,,,,,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,abs,none,all,0.2,,6,0.7522526409348108,0.1240481551998916,1.6198697683732093,1.5464839083395536,1.6198697683732093,2.8017062818470646,0.1380754829394626,0.1096718761257265,14996.0,1.0,0.0,0.0,,,0,0,11133000,0,,,,,,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,abs,none,morph_joined,0.1,,6,0.8563975890898154,0.103600804924934,2.227628580135084,2.1133183737261065,2.2276285801350832,3.673117521370366,0.0848672817064465,0.058735129203738,13401.0,1.0,0.0,0.0,,,0,0,10150950,0,,,,0.9109769051466352,,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,abs,none,morph_joined,0.2,,6,0.7527275474220457,0.1255514628822086,1.625339087120419,1.5596870314931692,1.625339087120419,2.807711964220923,0.1369301515995228,0.1103423009784315,13401.0,1.0,0.0,0.0,,,0,0,10150950,0,,,,0.9109769051466352,,True,0.0,no weights; every calibration spot and the test point carry equal mass. Sees nothing.,a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,scaled_clip,W1,all,0.1,,6,0.8789965113986724,0.0667157912391092,2.381841112037232,2.2866127101529674,2.3751540677713594,3.52815359373595,0.0853516763308541,0.0356518122704733,214.67804584946225,0.0142427446138306,0.0050334443389519,0.998185938269416,0.999943116982972,0.9997888962864367,0,0,11133000,0,,,,,0.0200009989053053,True,0.0,"sees everything the encoder represents, which includes the slide signature, stain and scanner, not only biology. Trained on the PCA-256 features of C against E from the PCA fit on T.",a3_by_task__hoptimus0__main.csv
CCRCC,shipped,hoptimus0,patient,scaled_clip,W1b,morph_joined,0.1,,6,0.871655745962854,0.0576796255244577,2.285809125300967,2.1715327231905395,2.2826455837186472,3.470640348881323,0.0902948855892434,0.0380493684479025,5483.158042913188,0.3815329532176346,0.0050351597721478,0.11552541372,0.7972020245634905,0.7962884117572597,0,0,10150950,0,,,,0.9109769051466352,0.0200009989053053,True,0.0,"sees tissue composition only: nuclear count, mean and median nuclear area and the five class fractions. It cannot see the slide as an image. Fitted and evaluated on the morphology-joined subset of spots, with `none` reported on that same subset beside it so the comparison is like for like.",a3_by_task__hoptimus0__main.csv
