task,label_set,encoder,design,score,subset,alpha,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,n_finite_width,n_infinite_width,_source
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,0,predicted_value_decile,0,11101,10445,0.9409062246644446,1.6172100204936493,0.0188985016526171,11101,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,0,predicted_value_decile,1,10926,10439,0.9554274208310451,1.6175830945107998,0.1896069697925247,10926,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,0,predicted_value_decile,2,10884,10323,0.9484564498346196,1.6201943506523335,0.2903054548247427,10884,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,0,predicted_value_decile,3,10956,10268,0.937203358890106,1.6195845170454546,0.3766801046515607,10956,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,0,predicted_value_decile,4,10945,10165,0.9287345820009136,1.6181532663316582,0.4571372933559844,10945,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,0,predicted_value_decile,5,11017,10407,0.9446310247798856,1.6195772726241264,0.5442568427628892,11017,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,0,predicted_value_decile,6,11098,9997,0.9007929356640836,1.6200950128964675,0.6425490868287079,11098,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,0,predicted_value_decile,7,11014,9704,0.8810604684946431,1.6199650373955874,0.7730532234542401,11014,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,0,predicted_value_decile,8,11162,8649,0.7748611359971331,1.6160410320731051,0.9994551127710088,11162,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,0,predicted_value_decile,9,11123,8877,0.7980760586172795,1.619278465791603,1.571924447091612,11123,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,1,predicted_value_decile,0,3954,3711,0.9385432473444612,1.619761658486659,0.0194083384087909,3954,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,1,predicted_value_decile,1,3888,3716,0.955761316872428,1.6156180424945346,0.1909032751012731,3888,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,1,predicted_value_decile,2,3973,3766,0.947898313616914,1.617423959382079,0.2904986159014756,3973,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,1,predicted_value_decile,3,3966,3747,0.9447806354009076,1.6148573913420323,0.3732275489118444,3966,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,1,predicted_value_decile,4,3958,3685,0.9310257705912076,1.6122695282892243,0.4542151514239357,3958,0,a4_by_decile__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,random,abs,cqr_matched,0.1,1,predicted_value_decile,5,3987,3756,0.9420617005267118,1.6183758102505017,0.5450793080441121,3987,0,a4_by_decile__hoptimus0__cqrmain.csv
