task,label_set,encoder,design,score,subset,alpha,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,n_finite_width,n_infinite_width,subset_difference_list
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,0,108,98,0.9074074074074074,2.6174839161060475,0.3925870966028284,108,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,1,289,271,0.9377162629757786,2.5792128619025734,0.5879564120282764,289,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,2,668,634,0.9491017964071856,2.6177591106848803,0.7698189741123223,668,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,3,1223,1137,0.9296811120196239,2.502972007869992,0.7683199292211774,1223,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,4,1694,1578,0.9315230224321134,2.4879117242842383,0.8831472205440156,1694,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,5,1950,1867,0.9574358974358974,2.4648387419871796,1.001313977363782,1950,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,6,2279,2211,0.9701623519087319,2.454924720272049,1.1436226055150285,2279,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,7,3145,2995,0.9523052464228935,2.4509565344296504,1.3345069679054054,3145,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,8,4725,4003,0.8471957671957672,2.506828290343915,1.6422628348214285,4725,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,9,6413,4949,0.7717137065336036,2.6431893711991266,2.2270220767386557,6413,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND140,predicted_value_decile,0,791,758,0.9582806573957017,2.684965382032238,0.2429581556549265,791,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND140,predicted_value_decile,1,1225,1198,0.9779591836734693,2.743765943877551,0.489005201690051,1225,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND140,predicted_value_decile,2,1385,1345,0.9711191335740073,2.7509390159634477,0.6283874291375225,1385,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND140,predicted_value_decile,3,1568,1534,0.9783163265306123,2.788232297313457,0.7748981397979113,1568,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND140,predicted_value_decile,4,1616,1577,0.9758663366336634,2.8768020478805694,0.9832937410562346,1616,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND140,predicted_value_decile,5,1582,1554,0.9823008849557522,2.953434265368205,1.1851036563685209,1582,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND140,predicted_value_decile,6,1358,1316,0.9690721649484536,2.887154535622239,1.2599083699604197,1358,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND140,predicted_value_decile,7,987,945,0.9574468085106383,2.870201288627153,1.452845240074088,987,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND140,predicted_value_decile,8,656,620,0.9451219512195121,2.8421173095703125,1.710116874880907,656,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND140,predicted_value_decile,9,442,398,0.9004524886877828,2.4869561519018664,1.9505852746747738,442,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND141,predicted_value_decile,0,543,527,0.9705340699815838,2.161878498000115,0.286824488069032,543,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND141,predicted_value_decile,1,919,883,0.9608269858541894,2.0665890233949944,0.43848147719158054,919,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND141,predicted_value_decile,2,1268,1243,0.9802839116719243,2.0483196270578667,0.5259659342961357,1268,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND141,predicted_value_decile,3,1583,1529,0.9658875552747946,2.072020559015714,0.659161026087729,1583,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND141,predicted_value_decile,4,1834,1794,0.9781897491821155,2.086175916499114,0.7804352438956856,1834,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND141,predicted_value_decile,5,1758,1710,0.9726962457337884,2.120882939153157,0.9972018262496445,1758,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND141,predicted_value_decile,6,1263,1195,0.946159936658749,2.2037099323287808,1.4119201321877475,1263,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND141,predicted_value_decile,7,853,772,0.9050410316529894,2.3175803002271396,1.8684023357360053,853,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND141,predicted_value_decile,8,513,426,0.8304093567251462,2.320928562454313,2.1194204586988303,513,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,hoptimus0,slide_out,abs,cqr_matched,0.1,MEND141,predicted_value_decile,9,230,195,0.8478260869565217,2.4338240913722826,2.756580120584239,230,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
