task,label_set,encoder,design,score,subset,alpha,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,n_finite_width,n_infinite_width,subset_difference_list
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,0,predicted_value_decile,0,6236,5931,0.9510904425914047,2.6491553580019245,-0.005403284999022811,6236,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,0,predicted_value_decile,1,6165,6044,0.9803730738037307,2.7073924118004866,0.3141330295138889,6165,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,0,predicted_value_decile,2,6140,5997,0.9767100977198697,2.716911390472313,0.5140052025015269,6140,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,0,predicted_value_decile,3,6417,6283,0.9791179678977715,2.707603460534518,0.7011886152018078,6417,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,0,predicted_value_decile,4,6438,6263,0.9728176452314383,2.6852538152376515,0.9019965378902609,6438,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,0,predicted_value_decile,5,6504,6086,0.9357318573185732,2.679204624077491,1.154886656288438,6504,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,0,predicted_value_decile,6,6690,5897,0.8814648729446936,2.6786700649289985,1.4814291094450673,6690,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,0,predicted_value_decile,7,6438,5510,0.8558558558558559,2.674545302306617,1.8474755904881175,6438,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,0,predicted_value_decile,8,6171,4868,0.788851077621131,2.694700387903095,2.3100575651231567,6171,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,0,predicted_value_decile,9,6233,4785,0.7676881116637253,2.6828294836956523,3.153098929087117,6233,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,1,predicted_value_decile,0,2937,2793,0.95097037793667,2.6060822187819204,-0.010893257044999017,2937,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,1,predicted_value_decile,1,2980,2890,0.9697986577181208,2.6095185350251677,0.30401027602637376,2980,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,1,predicted_value_decile,2,3067,3001,0.9784805999347898,2.623789883996984,0.5151342510749511,3067,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,1,predicted_value_decile,3,3071,2978,0.9697167046564636,2.6399142812805274,0.7052693989640997,3071,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,1,predicted_value_decile,4,3015,2904,0.96318407960199,2.6348427135157544,0.9109527233623549,3015,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,1,predicted_value_decile,5,3009,2785,0.9255566633433034,2.653249236665005,1.1683943936419907,3009,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,1,predicted_value_decile,6,2958,2602,0.8796484110885734,2.660024192866802,1.5331552542892157,2958,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,1,predicted_value_decile,7,2993,2513,0.8396257935182092,2.6453051912796526,1.8851757616730704,2993,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,1,predicted_value_decile,8,3104,2400,0.7731958762886598,2.6112110885148194,2.290126367942574,3104,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,cqr_matched,0.1,1,predicted_value_decile,9,3340,2487,0.7446107784431137,2.5744365760666166,3.0810897735778444,3340,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,resnet50,random,abs,full,0.1,0,predicted_value_decile,0,264347,248312,0.9393410933356535,2.4514368779483027,0.07393245804313317,264347,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,resnet50,random,abs,full,0.1,0,predicted_value_decile,1,264916,254160,0.959398450829697,2.451754046565704,0.40712801268845594,264916,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,resnet50,random,abs,full,0.1,0,predicted_value_decile,2,264730,254176,0.9601329656631284,2.451572828920032,0.6033646309447361,264730,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,resnet50,random,abs,full,0.1,0,predicted_value_decile,3,264116,253200,0.9586696754456375,2.4541769466351906,0.7772736014904436,264116,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,resnet50,random,abs,full,0.1,0,predicted_value_decile,4,263786,251646,0.9539778456779359,2.453651172257057,0.9494829763757364,263786,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,resnet50,random,abs,full,0.1,0,predicted_value_decile,5,264002,245282,0.9290914462769222,2.4530772375777454,1.1480863248668571,264002,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
