task,label_set,encoder,design,score,subset,alpha,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,n_finite_width,n_infinite_width,subset_difference_list
PRAD,shipped,resnet50,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,0,170,162,0.9529411764705882,2.6750660615808823,0.48163205315085017,170,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,resnet50,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,1,248,238,0.9596774193548387,2.586515365108367,0.6258853174025013,248,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,resnet50,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,2,343,317,0.924198250728863,2.692437619579082,0.8504887794961735,343,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,resnet50,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,3,609,570,0.9359605911330049,2.5443943067528734,0.8100443622357348,609,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,resnet50,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,4,1013,959,0.9466929911154985,2.451941653041708,0.8115296434438241,1013,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,resnet50,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,5,1787,1713,0.9585898153329603,2.4685584582225797,0.9481262651047496,1787,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,resnet50,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,6,2530,2454,0.9699604743083003,2.4639812484560277,1.092932370151927,2530,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,resnet50,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,7,3113,3002,0.9643430774172823,2.490439537825249,1.2947719241888853,3113,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,resnet50,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,8,4305,3845,0.8931475029036005,2.5062858413182347,1.5460844494047619,4305,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
PRAD,shipped,resnet50,slide_out,abs,cqr_matched,0.1,MEND139,predicted_value_decile,9,8376,6059,0.7233763132760267,2.683862374641834,2.260822868164995,8376,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
