task,label_set,encoder,design,score,subset,alpha,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,n_finite_width,n_infinite_width,subset_difference_list
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,0,11044,10424,0.9438609199565375,1.6117410683968671,0.02576295658541261,11044,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,1,10866,10393,0.9564697220688386,1.6123077431897663,0.19631083428958448,10866,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,2,10958,10387,0.9478919510859646,1.6119155953413031,0.2927411631698873,10958,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,3,10875,10239,0.9415172413793104,1.6133979885057472,0.3793503951149425,10875,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,4,10924,10174,0.9313438300988649,1.616612325784969,0.4630072868511992,10924,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,5,11157,10484,0.9396791252128709,1.610716996616474,0.5407817471654567,11157,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,6,11091,9994,0.9010909746641421,1.6143846925435037,0.6382548702213506,11091,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,7,11107,9798,0.8821463941658414,1.6151313290605025,0.7668698160506887,11107,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,8,11116,8673,0.7802267002518891,1.6107215949982008,0.9953497316649424,11116,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,9,11088,8828,0.7961760461760462,1.6138052892203283,1.5730616361719878,11088,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
