task,label_set,encoder,design,score,subset,alpha,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,n_finite_width,n_infinite_width,subset_difference_list
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,0,6107,5767,0.9443261830686098,2.375042215899787,0.03499298570432112,6107,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,1,6229,6059,0.9727082998876224,2.3661101300369243,0.3068598773127709,6229,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,2,6189,6029,0.9741476813701729,2.3525811924381967,0.47328922470815155,6189,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,3,6226,6032,0.9688403469322198,2.355206492932862,0.6382057883522727,6226,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,4,6401,6215,0.9709420403062021,2.3447930804268866,0.8175771791028745,6401,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,5,6793,6388,0.9403798027381127,2.350643872828647,1.054033535210879,6793,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,6,6584,5737,0.8713547995139733,2.3309780042052703,1.4108661266897022,6584,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,7,6408,5475,0.8544007490636704,2.3336993918734397,1.8488155369752652,6408,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,8,6156,5046,0.8196881091617934,2.350334658260234,2.3648555525097468,6156,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,9,6339,5035,0.7942893200820319,2.3660152860762738,3.451251368019404,6339,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,0,2882,2699,0.936502428868841,2.2100720799358085,0.044719095117594115,2882,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,1,2955,2828,0.9570219966159053,2.19765823286802,0.30472331555361676,2955,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,2,3090,2982,0.9650485436893204,2.2194484476132685,0.4712614880410599,3090,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,3,3067,2951,0.9621780241278122,2.2252823338665633,0.6381273148384007,3067,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,4,3080,2956,0.9597402597402598,2.2177463283786527,0.8181404411018669,3080,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,5,2901,2649,0.9131334022750776,2.2544300456739057,1.0839404448358325,2901,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,6,3076,2649,0.861183355006502,2.2414145996728707,1.4607573312032673,3076,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,7,3153,2592,0.8220742150333016,2.2151798014787505,1.8724453893117665,3153,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,8,3115,2429,0.7797752808988764,2.221799602477929,2.3701225170545746,3115,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,9,3155,2404,0.7619651347068146,2.204596189084786,3.3778024712757526,3155,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
COAD,shipped,uni_v2,random,abs,full,0.1,0,predicted_value_decile,0,263208,245869,0.9341243427251451,2.1565060653076653,0.10568620293289907,263208,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,uni_v2,random,abs,full,0.1,0,predicted_value_decile,1,265187,252468,0.9520376187369668,2.1561404369840904,0.3928326108085992,265187,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,uni_v2,random,abs,full,0.1,0,predicted_value_decile,2,265482,253360,0.9543396539125063,2.1561019497084546,0.5678982811805509,265482,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,uni_v2,random,abs,full,0.1,0,predicted_value_decile,3,264630,251953,0.9520953784529342,2.158331945782791,0.7293021152174735,264630,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,uni_v2,random,abs,full,0.1,0,predicted_value_decile,4,264353,249494,0.9437910672472035,2.158195847503149,0.8898476007932575,264353,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,uni_v2,random,abs,full,0.1,0,predicted_value_decile,5,263914,242584,0.9191782171464947,2.1592821489670877,1.0804475191255485,263914,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,uni_v2,random,abs,full,0.1,0,predicted_value_decile,6,264532,232984,0.8807403263121286,2.158828403794248,1.3584308798179425,264532,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,uni_v2,random,abs,full,0.1,0,predicted_value_decile,7,264211,221973,0.8401353463708929,2.15735990836869,1.7143456425451629,264211,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,uni_v2,random,abs,full,0.1,0,predicted_value_decile,8,263872,218655,0.8286404014067427,2.1580210113710434,2.2250038607734055,263872,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,uni_v2,random,abs,full,0.1,0,predicted_value_decile,9,263611,209382,0.7942840018056909,2.158209652432941,3.312283238844358,263611,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,uni_v2,random,abs,full,0.1,1,predicted_value_decile,0,128092,120088,0.9375136620553977,2.1698121821132466,0.10720505467383794,128092,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,uni_v2,random,abs,full,0.1,1,predicted_value_decile,1,126063,120213,0.9535946312558007,2.170815788782196,0.393326262835844,126063,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,uni_v2,random,abs,full,0.1,1,predicted_value_decile,2,125818,120285,0.9560237803811855,2.1708498336883433,0.569414726591684,125818,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,uni_v2,random,abs,full,0.1,1,predicted_value_decile,3,126620,120525,0.9518638445743168,2.1660413540514925,0.7273807856430659,126620,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
COAD,shipped,uni_v2,random,abs,full,0.1,1,predicted_value_decile,4,126897,119830,0.9443091641252355,2.166489172813384,0.8903614219357038,126897,0,"every gene the score ran on, over every fold, repeat and calibration draw it ran on. For abs, scaled and scaled_clip that is all 50 genes and all cells; for nb and nb_conformal the NB gene subset on all cells; for cqr the CQR gene subset on the CQR cells. Comparing two scores here confounds any difference with the gene and cell selection."
