task,label_set,encoder,design,score,subset,alpha,fold,stratum_kind,stratum_value,n_spot_gene,n_covered,coverage,width_mean,pred_mean,n_finite_width,n_infinite_width,subset_difference_list
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,0,11147,10527,0.9443796537184893,1.6112729321790615,0.02666240886175933,11147,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,1,10892,10414,0.9561145795078957,1.6122186151533235,0.19735465608359345,10892,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,2,11016,10439,0.9476216412490922,1.6118227890114378,0.29385520031942175,11016,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,3,10810,10181,0.9418131359851989,1.6128367830712302,0.38001425546369105,10810,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,4,10875,10120,0.9305747126436782,1.6160836925287356,0.4630362787356322,10875,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,5,11182,10507,0.9396351278840994,1.6104691133071007,0.5412828653192631,11182,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,6,11076,9990,0.9019501625135428,1.6143791333739617,0.6385338019704767,11076,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,7,11119,9788,0.8802949905567048,1.6149347049532332,0.7679120480708697,11119,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,8,11079,8637,0.7795829948551314,1.612894820719379,1.0016888651954148,11079,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,0,predicted_value_decile,9,11030,8791,0.7970081595648232,1.613841511786038,1.573592262579329,11030,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,0,3902,3687,0.9449000512557663,1.6090805546434521,0.03004527910741887,3902,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,1,4024,3831,0.952037773359841,1.6101023255001243,0.1964376764316445,4024,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,2,4009,3819,0.95260663507109,1.6113088811891993,0.2955144747560177,4009,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,3,3990,3786,0.9488721804511279,1.607552695214599,0.3772982872219611,3990,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,4,3956,3669,0.9274519716885743,1.6112167929253034,0.46001123441844666,3956,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,5,3943,3714,0.9419223941161552,1.6155016108451687,0.5471484895106835,3943,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,6,3928,3516,0.895112016293279,1.611271813542197,0.6378032117171588,3928,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,7,3886,3437,0.8844570252187339,1.6134129326428204,0.7697802910286927,3886,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,8,3951,3106,0.7861300936471779,1.6065721099088839,0.9938943834432739,3951,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,1,predicted_value_decile,9,3825,3005,0.7856209150326797,1.6108323120915033,1.5716794321895424,3825,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,2,predicted_value_decile,0,6362,5973,0.9388557057529079,1.6122893375707326,0.030915261214351324,6362,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,2,predicted_value_decile,1,6621,6317,0.954085485576197,1.61236073549124,0.19730699726721795,6621,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,2,predicted_value_decile,2,6623,6280,0.9482107806130152,1.61330071342292,0.2958490785543749,6623,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,2,predicted_value_decile,3,6476,6074,0.9379246448424954,1.6151408807520073,0.38203966448231935,6476,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,2,predicted_value_decile,4,6501,6026,0.926934317797262,1.6140095033456392,0.4624949526995847,6501,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,2,predicted_value_decile,5,6393,6050,0.9463475676521195,1.612668091564993,0.5442504787340646,6393,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,2,predicted_value_decile,6,6329,5686,0.898404171275083,1.6130399253436563,0.639561836820094,6329,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,2,predicted_value_decile,7,6309,5581,0.8846092883182755,1.6054641063361863,0.7555336993778728,6309,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,2,predicted_value_decile,8,6405,4970,0.7759562841530054,1.6128689744340359,1.0033944885587431,6405,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,2,predicted_value_decile,9,6517,5118,0.7853306736228326,1.6125248149071658,1.5892173833819243,6517,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,3,predicted_value_decile,0,4207,3979,0.9458046113620157,1.6163416255645353,0.02712413877610047,4207,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,3,predicted_value_decile,1,4310,4101,0.951508120649652,1.6127022232091068,0.19674876626848897,4310,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,3,predicted_value_decile,2,4189,3998,0.9544043924564335,1.6115815323615421,0.2946329451483797,4189,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,3,predicted_value_decile,3,4284,4022,0.9388422035480859,1.613062412464986,0.37886043089110644,4284,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,3,predicted_value_decile,4,4254,3978,0.9351198871650211,1.6093908398712975,0.4552616035091972,4254,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,3,predicted_value_decile,5,4347,4086,0.9399585921325052,1.6194695156142167,0.5497886248777892,4347,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,3,predicted_value_decile,6,4365,3935,0.9014891179839634,1.613296798933276,0.6364261727699027,4365,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,3,predicted_value_decile,7,4189,3732,0.890904750537121,1.6146172919402004,0.7673440087692468,4189,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
CCRCC,shipped,uni_v2,random,abs,cqr_matched,0.1,3,predicted_value_decile,8,4260,3327,0.7809859154929577,1.614917794527582,1.003914961120892,4260,0,"IDENTICAL cells and IDENTICAL genes for every score: the cells CQR ran on (the calibration-draw-0, repeat-0 cell of every fold of every design) and the CQR gene subset. Same task, design, fold, repeat, draw, proper-training set, calibration set, test set, level and aggregation; the ONLY thing that differs between two rows of this subset is the score function."
