encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,gene_index,quantile,n_T_natural,n_T_used,subsample_fallback,subsample_reason,subsample_size,seconds,cumulative_task_seconds,timebox_s,solver,failure,_source
hoptimus0,CCRCC,shipped,random,0,0,0,spot,0,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.395,3.4,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,0,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.709,8.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,10,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.993,12.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,10,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,5.016,17.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,20,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.705,21.8,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,20,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.766,26.6,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,29,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.757,30.3,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,29,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.774,35.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,39,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.612,38.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,39,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.986,43.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,49,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.942,48.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,0,0,0,spot,49,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.764,53.4,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,1,0,0,spot,0,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.0,56.4,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,1,0,0,spot,0,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.775,61.2,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,1,0,0,spot,10,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.828,65.0,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,1,0,0,spot,10,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.781,69.8,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,1,0,0,spot,20,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.702,74.5,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,1,0,0,spot,20,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.867,79.4,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,1,0,0,spot,29,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.712,83.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,1,0,0,spot,29,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.715,87.8,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,1,0,0,spot,39,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.474,91.3,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,1,0,0,spot,39,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.827,96.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,1,0,0,spot,49,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.688,100.8,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,1,0,0,spot,49,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.716,105.5,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,2,0,0,spot,0,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.179,108.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,2,0,0,spot,0,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.958,113.6,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,2,0,0,spot,10,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.806,117.4,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,2,0,0,spot,10,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.993,122.4,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,2,0,0,spot,20,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.686,127.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,2,0,0,spot,20,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.868,132.0,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,2,0,0,spot,29,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.828,135.8,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,2,0,0,spot,29,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,5.047,140.9,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,2,0,0,spot,39,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.614,144.5,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,2,0,0,spot,39,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.811,149.3,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,2,0,0,spot,49,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.987,154.3,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,2,0,0,spot,49,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.887,159.2,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,3,0,0,spot,0,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,2.836,162.0,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,3,0,0,spot,0,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.679,166.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,3,0,0,spot,10,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.442,170.1,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,3,0,0,spot,10,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.868,175.0,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,3,0,0,spot,20,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.663,179.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,3,0,0,spot,20,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.956,184.6,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,3,0,0,spot,29,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.764,188.4,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,3,0,0,spot,29,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.891,193.3,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,3,0,0,spot,39,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.305,196.6,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,3,0,0,spot,39,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.914,201.5,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,3,0,0,spot,49,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.734,206.2,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,3,0,0,spot,49,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,6.027,212.2,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,4,0,0,spot,0,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,2.93,215.2,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,4,0,0,spot,0,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.841,220.0,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,4,0,0,spot,10,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.963,224.0,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,4,0,0,spot,10,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.958,228.9,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,4,0,0,spot,20,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.74,233.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,4,0,0,spot,20,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.99,238.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,4,0,0,spot,29,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.723,242.4,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,4,0,0,spot,29,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.862,247.3,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,4,0,0,spot,39,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.442,250.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,4,0,0,spot,39,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.782,255.5,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,4,0,0,spot,49,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.818,260.3,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,4,0,0,spot,49,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.933,265.2,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,5,0,0,spot,0,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.023,268.3,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,5,0,0,spot,0,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.738,273.0,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,5,0,0,spot,10,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.941,276.9,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,5,0,0,spot,10,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.741,281.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,5,0,0,spot,20,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.789,286.5,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,5,0,0,spot,20,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.744,291.2,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,5,0,0,spot,29,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.786,295.0,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,5,0,0,spot,29,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.692,299.7,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,5,0,0,spot,39,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.891,303.6,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,5,0,0,spot,39,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.831,308.4,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,5,0,0,spot,49,0.05,35996,2500,True,pre_emptive_n_T_above_cap,2500,3.894,312.3,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
hoptimus0,CCRCC,shipped,random,5,0,0,spot,49,0.95,35996,2500,True,pre_emptive_n_T_above_cap,2500,4.745,317.0,1200.0,highs,,a4_cqr_fits__hoptimus0__cqrmain.csv
