task,label_set,encoder,design,score,alpha,subset,gene_subset,is_conformal,n_folds,n_cells,coverage,coverage_sd,width_mean,width_median,width_median_of_cells,interval_score,miss_above,miss_below,n_infinite,n_spot_gene,n_genes,n_T,n_C,K_median,frac_infinite,_source
CCRCC,shipped,hoptimus0,donor,abs,0.02,cqr_matched,all,True,24,24,0.9430996200276632,0.14180124009157,3.1710972151788543,2.923981316350711,3.171097215178848,6.84388964477028,0.0468250025598153,0.0100753774125213,0,445320,6,35996,12289,6.0,0.0,a4_scores_by_task__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,donor,abs,0.02,full,all,True,24,24,0.94236013972691,0.1187843665849079,3.11885282947571,2.984883037843488,3.1188528294757134,6.054354491942669,0.044154383418426,0.0134854768546639,0,3711000,50,35996,12289,6.0,0.0,a4_scores_by_task__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,donor,abs,0.05,cqr_matched,all,True,24,24,0.9100136113945432,0.1506391084714721,2.5838520839775088,2.380227696410621,2.583852083977515,4.644412360208212,0.0644455058860377,0.0255408827194192,0,445320,6,35996,12289,6.0,0.0,a4_scores_by_task__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,donor,abs,0.05,full,all,True,24,24,0.9063239762467612,0.1360973005403165,2.546674462077188,2.4128262505066074,2.5466744620771933,4.391996195523388,0.0642883887430478,0.0293876350101911,0,3711000,50,35996,12289,6.0,0.0,a4_scores_by_task__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,donor,abs,0.075,cqr_matched,all,True,24,24,0.8813397521994838,0.1541306369151472,2.282168955647987,2.103056393473264,2.2821689556479927,3.955669183870205,0.079450973571504,0.039209274229012,0,445320,6,35996,12289,6.0,0.0,a4_scores_by_task__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,donor,abs,0.075,full,all,True,24,24,0.8779730262047654,0.1449928392278985,2.256501937381189,2.133619146088944,2.2565019373811896,3.816979963241919,0.079892868506227,0.0421341052890075,0,3711000,50,35996,12289,6.0,0.0,a4_scores_by_task__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,donor,abs,0.1,cqr_matched,all,True,24,24,0.8530087223681247,0.1574159076992216,2.0710750543332677,1.910857469626543,2.071075054333267,3.540459494685154,0.0934733786529595,0.0535178989789156,0,445320,6,35996,12289,6.0,0.0,a4_scores_by_task__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,donor,abs,0.1,full,all,True,24,24,0.8508368503525183,0.1513150585565115,2.0547769349669687,1.9490332676631523,2.0547769349669727,3.458837427907522,0.0936505767098718,0.0555125729376097,0,3711000,50,35996,12289,6.0,0.0,a4_scores_by_task__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,donor,abs,0.15,cqr_matched,all,True,24,24,0.8023910532823173,0.1627406618057642,1.7866575429311384,1.660096661397193,1.786657542931139,3.0433759840976222,0.1185450534411223,0.0790638932765603,0,445320,6,35996,12289,6.0,0.0,a4_scores_by_task__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,donor,abs,0.15,full,all,True,24,24,0.7991778134107576,0.159739834217837,1.772813737866844,1.6876120409178483,1.7728137378668405,2.9997481048954007,0.1178453932743441,0.0829767933148982,0,3711000,50,35996,12289,6.0,0.0,a4_scores_by_task__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,donor,abs,0.2,cqr_matched,all,True,24,24,0.7555463115545202,0.1652579692426042,1.585589245576981,1.488305363641494,1.5855892455769822,2.7230935503101885,0.1406009417605754,0.1038527466849043,0,445320,6,35996,12289,6.0,0.0,a4_scores_by_task__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,donor,abs,0.2,full,all,True,24,24,0.7503581953077295,0.1637206828859474,1.5708435224781254,1.502982869483527,1.570843522478124,2.6962637790689663,0.1394212547287964,0.110220549963474,0,3711000,50,35996,12289,6.0,0.0,a4_scores_by_task__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,donor,abs,0.3,cqr_matched,all,True,24,24,0.6633304291928689,0.1612676076739062,1.2971365404537734,1.2311813233187603,1.2971365404537762,2.307522748979884,0.1816846528889403,0.1549849179181907,0,445320,6,35996,12289,6.0,0.0,a4_scores_by_task__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,donor,abs,0.3,full,all,True,24,24,0.6583877084605166,0.1610991966285286,1.2804630696491082,1.2312702262300854,1.280463069649107,2.2936553901892185,0.1777926904316747,0.1638196011078086,0,3711000,50,35996,12289,6.0,0.0,a4_scores_by_task__hoptimus0__cqrmain.csv
CCRCC,shipped,hoptimus0,donor,cqr,0.02,cqr_matched,every_kth_6,True,24,24,0.9521931543542131,0.1208102814785104,3.2571735822020425,3.0400711238442266,3.2749172404598625,6.247229675547984,0.0476714623544217,0.000135383291365,0,445320,6,35996,12289,6.0,0.0,a4_scores_by_task__hoptimus0__cqrmain.csv
