encoder,task,label_set,design,fold,repeat,cal_draw,calibration_unit,n_C,n_E,sigma_floor,sigma_clip_lo_pct,sigma_clip_hi_pct,sigma_clip_lo,sigma_clip_hi,sigma_p1_raw_cal,sigma_p99_raw_cal,sigma_min_raw_cal,sigma_min_raw_test,sigma_median_raw_cal,frac_cal_raw_below_floor,frac_test_raw_below_floor,p1_below_floor,frac_test_clipped_low,frac_test_clipped_high,frac_cal_clipped_low,frac_cal_clipped_high,lower_clip_binds,upper_clip_binds,_source
hoptimus0,COAD,shipped,random,0,0,0,spot,1016,10572,0.001,1.0,99.0,0.115508131859406,1.0982369498411226,0.115508131859406,1.0982369498411226,-0.099254369003515,-0.2058267139199056,0.4619169079682663,0.0006692913385826,0.0006678017404464,False,0.0108758986000756,0.0085244040862656,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,1,0,spot,1016,10572,0.001,1.0,99.0,0.1073041133480981,1.0604303545439686,0.1073041133480981,1.0604303545439686,-0.0873254193270448,-0.2844322100551735,0.4528792652166324,0.0007086614173228,0.0007926598562239,False,0.0097900113507377,0.0112183125236473,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,2,0,spot,1016,10572,0.001,1.0,99.0,0.1076891783090599,1.0752437587845631,0.1076891783090599,1.0752437587845631,-0.116022774624073,-0.3637521616424416,0.4589525500961799,0.000767716535433,0.0009080590238365,False,0.00946273174423,0.0105429436246689,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,3,0,spot,1016,10572,0.001,1.0,99.0,0.1054892055812646,1.084737692684042,0.1054892055812646,1.084737692684042,-0.1763765090692846,-0.2462703902967488,0.4584313587577161,0.001003937007874,0.0007529322739311,False,0.0091108588724933,0.0094154370034052,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,0,4,0,spot,1016,10572,0.001,1.0,99.0,0.1081413561926818,1.0739474908397493,0.1081413561926818,1.0739474908397493,-0.3210038063038801,-0.3207078197583854,0.4597214879733406,0.0008661417322834,0.0009118426031025,False,0.0096821793416572,0.0102951191827468,0.01,0.01,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,1,0,0,spot,2115,5079,0.001,1.0,99.0,0.1031469240722276,1.088867597308791,0.1031469240722276,1.088867597308791,-0.2260051269970929,-0.2241538260145887,0.4583885654557666,0.0012104018912529,0.0009056900964756,False,0.009265603465249,0.0098287064382752,0.0100047281323877,0.0100047281323877,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,1,1,0,spot,2115,5079,0.001,1.0,99.0,0.1167606915354243,1.0951668329494704,0.1167606915354243,1.0951668329494704,-0.1528636466297641,-0.1435588570277658,0.4616113411837401,0.0006524822695035,0.0007914943886591,False,0.0109864146485528,0.0097420752116558,0.0100047281323877,0.0100047281323877,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,1,2,0,spot,2115,5079,0.001,1.0,99.0,0.1047387635764884,1.1015206373858164,0.1047387635764884,1.1015206373858164,-0.1606961476096847,-0.2181127587566902,0.4606996104166877,0.0008132387706855,0.0007954321716873,False,0.0097066351644024,0.0096318172868674,0.0100047281323877,0.0100047281323877,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,1,3,0,spot,2115,5079,0.001,1.0,99.0,0.1129160559955334,1.0742184461102864,0.1129160559955334,1.0742184461102864,-0.1951146593678281,-0.2107246665137274,0.4602273925774159,0.0006241134751773,0.000964756841898,False,0.0115140775743256,0.0107540854498917,0.0100047281323877,0.0100047281323877,True,True,a4_sigma_clip__hoptimus0__main9.csv
hoptimus0,COAD,shipped,random,1,4,0,spot,2115,5079,0.001,1.0,99.0,0.1063280068630469,1.063084934235866,0.1063280068630469,1.063084934235866,-0.1932492401704871,-0.2524331429386723,0.4559419848658308,0.0009172576832151,0.0008111833037999,False,0.0093286079936995,0.0096948218153179,0.0100047281323877,0.0100047281323877,True,True,a4_sigma_clip__hoptimus0__main9.csv
