task,label_set,encoder,donor_set,arm,design,fold,repeat,draw,method,alpha,score,coverage,width_mean,width_median,K,n_T,n_C,finite,coverage_sd_over_reps,width_sd_over_reps,interval_score,miss_above,miss_below,n_eff,n_eff_frac,n_infinite,n_spot_gene,frac_infinite,n_test_points_infinite,n_reps,calibration_unit,n_units_in_pool,n_cal_units,n_C_donors,n_T_donors,n_T_spots_natural,n_T_spots_matched,n_match_target,n_E,n_E_slides,n_cells,n_slides,pearson_mean,pearson_n_genes,cal_donors,difference_list,arm_difference_list,width_mean_spotgene
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,0,pooled,0.1,abs,0.6101660516605166,1.7590711486405874,1.652150773202615,22105.0,35996,22105,True,,,4.1765471627967745,0.014188191881918822,0.37564575645756454,22105.0,1.0,0,54200,0.0,0,1,donor,23,6,6,17,51031,35996,35996,1084,1,50,1,0.07801096752658424,50,INT14;INT16;INT19;INT2;INT20;INT8,"the pooled spot-level conformal quantile of C's scores; sees no unit structure at all, so a donor with many spots carries more mass than one with few. This is A1's interval.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",1.7590711486405874
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,0,hcp,0.1,abs,1.0,,,6.0,35996,22105,False,,,,0.0,0.0,19568.8230375251,0.885266819159697,54200,54200,1.0,1084,1,donor,23,6,6,17,51031,35996,35996,1084,1,50,1,0.07801096752658424,50,INT14;INT16;INT19;INT2;INT20;INT8,"A3's W3 weighted quantile with w_i = 1/N_k inside calibration donor k and test weight 1, so each calibration donor and the test point carries 1/(K+1) of the mass; sees which donor each calibration spot belongs to and how many spots that donor has, and no features.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,0,dwr,0.1,abs,1.0,,,6.0,35996,22105,False,0.0,,,0.0,0.0,,,10840000,10840000,1.0,0,200,donor,23,6,6,17,51031,35996,35996,1084,1,50,1,0.07801096752658424,50,INT14;INT16;INT19;INT2;INT20;INT8,"one calibration spot per donor, drawn at random, and the ordinary conformal quantile of those K exchangeable scores; sees the donor partition of C and discards all but K of its spots, so it buys exchangeability at the cost of calibration size.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,1,pooled,0.1,abs,0.9435055350553506,2.180117270997726,2.119799251998795,22542.0,35996,22542,True,,,2.491002737398803,0.0512730627306273,0.005221402214022139,22542.0,1.0,0,54200,0.0,0,1,donor,23,6,6,17,50594,35996,35996,1084,1,50,1,0.06419277642205194,50,INT13;INT14;INT15;INT18;INT2;INT5,"the pooled spot-level conformal quantile of C's scores; sees no unit structure at all, so a donor with many spots carries more mass than one with few. This is A1's interval.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",2.1801172709977266
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,1,hcp,0.1,abs,1.0,,,6.0,35996,22542,False,,,,0.0,0.0,17263.970566909018,0.7658579791903566,54200,54200,1.0,1084,1,donor,23,6,6,17,50594,35996,35996,1084,1,50,1,0.06419277642205194,50,INT13;INT14;INT15;INT18;INT2;INT5,"A3's W3 weighted quantile with w_i = 1/N_k inside calibration donor k and test weight 1, so each calibration donor and the test point carries 1/(K+1) of the mass; sees which donor each calibration spot belongs to and how many spots that donor has, and no features.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,1,dwr,0.1,abs,1.0,,,6.0,35996,22542,False,0.0,,,0.0,0.0,,,10840000,10840000,1.0,0,200,donor,23,6,6,17,50594,35996,35996,1084,1,50,1,0.06419277642205194,50,INT13;INT14;INT15;INT18;INT2;INT5,"one calibration spot per donor, drawn at random, and the ordinary conformal quantile of those K exchangeable scores; sees the donor partition of C and discards all but K of its spots, so it buys exchangeability at the cost of calibration size.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,2,pooled,0.1,abs,0.7189667896678968,2.0969624880382245,1.9837306302375666,17537.0,35996,17537,True,,,3.5935948226148775,0.015719557195571957,0.2653136531365314,17537.0,1.0,0,54200,0.0,0,1,donor,23,6,6,17,55599,35996,35996,1084,1,50,1,0.05350970011780297,50,INT11;INT17;INT2;INT22;INT23;INT4,"the pooled spot-level conformal quantile of C's scores; sees no unit structure at all, so a donor with many spots carries more mass than one with few. This is A1's interval.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",2.0969624880382245
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,2,hcp,0.1,abs,1.0,,,6.0,35996,17537,False,,,,0.0,0.0,13984.79946398172,0.7974453705868575,54200,54200,1.0,1084,1,donor,23,6,6,17,55599,35996,35996,1084,1,50,1,0.05350970011780297,50,INT11;INT17;INT2;INT22;INT23;INT4,"A3's W3 weighted quantile with w_i = 1/N_k inside calibration donor k and test weight 1, so each calibration donor and the test point carries 1/(K+1) of the mass; sees which donor each calibration spot belongs to and how many spots that donor has, and no features.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT1,-1,2,dwr,0.1,abs,1.0,,,6.0,35996,17537,False,0.0,,,0.0,0.0,,,10840000,10840000,1.0,0,200,donor,23,6,6,17,55599,35996,35996,1084,1,50,1,0.05350970011780297,50,INT11;INT17;INT2;INT22;INT23;INT4,"one calibration spot per donor, drawn at random, and the ordinary conformal quantile of those K exchangeable scores; sees the donor partition of C and discards all but K of its spots, so it buys exchangeability at the cost of calibration size.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",
CCRCC,shipped,hoptimus0,24,a1_rule_K6,donor,INT10,-1,0,pooled,0.1,abs,0.8283610690872416,2.048432552404658,1.9399711472293677,20751.0,35996,20751,True,,,3.375207649164271,0.15805345436207768,0.013585476550680787,20751.0,1.0,0,99150,0.0,0,1,donor,23,6,6,17,51486,35996,35996,1983,1,50,1,0.5246211987210802,50,INT13;INT20;INT22;INT24;INT3;INT5,"the pooled spot-level conformal quantile of C's scores; sees no unit structure at all, so a donor with many spots carries more mass than one with few. This is A1's interval.","A1's calibration rule, 25% of the pool's donor units, K = 6 on the 24-donor set. Identical to A1 in task definition, fold list, seeds, enumeration, size-match target, base head and score; this is the anchor arm and nothing in it is new.",2.0484325524046585
