task,variant,encoder,level,unit,mu_m,v_m,p_neo,p_str,n
CCRCC,CCRCC_merged,resnet50,task,ALL,-4.3678539162768263e-16,1.0000000000000002,0.2573995537363498,0.5320290219142051,67673
CCRCC,CCRCC_merged,resnet50,donor,INT1,-0.25330325371651846,0.2831345542586859,0.02137546468401487,0.7016728624535316,1076
CCRCC,CCRCC_merged,resnet50,donor,INT10,0.22682433978277308,0.5339260996146101,0.0030303030303030303,0.95,1980
CCRCC,CCRCC_merged,resnet50,donor,INT11,0.5771291477106859,0.25424560257071677,0.0007032348804500703,0.9535864978902954,1422
CCRCC,CCRCC_merged,resnet50,donor,INT12,0.9264260984795623,0.1306861329000797,0.0,0.9896551724137931,1450
CCRCC,CCRCC_merged,resnet50,donor,INT13,-0.19394404441518226,0.2488680910787763,0.12074517019319227,0.49011039558417663,4348
CCRCC,CCRCC_merged,resnet50,donor,INT14,-0.5724001066952008,0.118972157190736,0.09861629694706786,0.38677794860531517,4553
CCRCC,CCRCC_merged,resnet50,donor,INT15,0.8348641274337395,1.2443447579147981,0.4928123101842478,0.18951204697307147,4939
CCRCC,CCRCC_merged,resnet50,donor,INT16,-0.5556401932489529,0.7822982855510753,0.569760101010101,0.23295454545454544,3168
CCRCC,CCRCC_merged,resnet50,donor,INT17,-0.43777396466793544,0.4084896561101296,0.16457461645746166,0.6599721059972106,3585
CCRCC,CCRCC_merged,resnet50,donor,INT18,0.7381201645704432,0.9289746487332021,0.6142100977198697,0.09873778501628665,4912
CCRCC,CCRCC_merged,resnet50,donor,INT19,-0.30132220643466384,0.19812260800304676,0.1748266013871889,0.5736434108527132,4902
CCRCC,CCRCC_merged,resnet50,donor,INT2,0.08189122080454105,0.14084811970736952,0.0023328149300155523,0.9778382581648523,2572
CCRCC,CCRCC_merged,resnet50,donor,INT20,-1.1561761497984544,0.4135419389410842,0.4610797237915882,0.322661644695543,3186
CCRCC,CCRCC_merged,resnet50,donor,INT21,0.9062205235516084,1.0669953180253549,0.5243090578979221,0.22049626790397417,4957
CCRCC,CCRCC_merged,resnet50,donor,INT22,-1.1614639882230269,0.4519371769318351,0.6477511559478772,0.18915510718789408,2379
CCRCC,CCRCC_merged,resnet50,donor,INT23,-0.8688646639456269,1.66701926506922,0.7328153018529587,0.19306634787806337,1673
CCRCC,CCRCC_merged,resnet50,donor,INT3,0.028189255557017304,0.49893825505779427,0.0055193176116407425,0.9668840943301555,1993
CCRCC,CCRCC_merged,resnet50,donor,INT4_INT24,-0.4657141554801647,0.46847286347791156,0.030392497394928795,0.8061827023271969,5758
CCRCC,CCRCC_merged,resnet50,donor,INT5,0.6572810098492898,0.9909278228715317,0.5428082191780822,0.1506849315068493,1168
CCRCC,CCRCC_merged,resnet50,donor,INT6,-0.39910979208666214,0.16219995299706183,0.008955223880597015,0.9235820895522389,1675
CCRCC,CCRCC_merged,resnet50,donor,INT7,0.2961633258374174,0.2055430869529622,0.0012647554806070826,0.9565767284991569,2372
CCRCC,CCRCC_merged,resnet50,donor,INT8,0.7667419441185156,0.37381455446643197,0.011404872991187144,0.9403836184551582,1929
CCRCC,CCRCC_merged,resnet50,donor,INT9,1.0195670280196962,0.9858886682035016,0.0065632458233890216,0.9331742243436754,1676
