encoder,task,variant,slide,n_spots,n_joined,join_rate,n_neoplastic_gt,n_stromal_lt,morph_file,area_mean_centre,area_mean_scale,task_join_rate
uni_v2,CCRCC,CCRCC,INT1,1084,1076,0.992619926199262,23,755,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT10,1983,1980,0.9984871406959153,6,1881,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT11,1439,1422,0.9881862404447533,1,1356,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT12,1451,1450,0.9993108201240524,0,1435,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT13,4359,4348,0.9974764854324386,525,2131,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT14,4562,4553,0.9980271810609382,449,1761,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT15,4940,4939,0.9997975708502024,2434,936,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT16,3206,3168,0.9881472239550843,1805,738,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT17,3585,3585,1.0,590,2366,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT18,4915,4912,0.9993896236012207,3017,485,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT19,4948,4902,0.9907033144704931,857,2812,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT2,2580,2572,0.9968992248062015,6,2515,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT20,4860,3186,0.6555555555555556,1469,1028,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT21,4975,4957,0.9963819095477386,2599,1093,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT22,3829,2379,0.6213110472708279,1541,450,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT23,4755,1673,0.35184016824395375,1226,323,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT24,4510,4462,0.9893569844789357,156,3509,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT3,2007,1993,0.9930244145490782,11,1927,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT4,1349,1296,0.9607116382505559,19,1133,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT5,1186,1168,0.984822934232715,634,176,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT6,1678,1675,0.9982121573301549,15,1547,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT7,2374,2372,0.9991575400168492,3,2269,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT8,1949,1929,0.9897383273473577,22,1814,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,CCRCC,CCRCC,INT9,1696,1676,0.9882075471698113,11,1564,instrumentation/morphology_v2/CCRCC_morph.parquet,194.2322528155774,72.62715813356579,0.9117892751279978
uni_v2,LYMPH_IDC,LYMPH_IDC,NCBI681,4992,4875,0.9765625,1733,1910,instrumentation/morphology_v2/LYMPH_IDC_morph.parquet,510.6805379944757,222.2314584331721,0.9253155680224404
uni_v2,LYMPH_IDC,LYMPH_IDC,NCBI682,4988,4897,0.9817562149157979,659,2987,instrumentation/morphology_v2/LYMPH_IDC_morph.parquet,510.6805379944757,222.2314584331721,0.9253155680224404
