setting,variant,n_L,label_unit,arm,estimand,population,gene,n_draws,theta_full,lambda_mean,G_L,G_U,df_cluster,cluster_variance_form,status,width_ratio_iid,width_ratio_iid_median,width_mean_pp_iid,width_mean_cl_iid,width_ratio_cluster,width_ratio_cluster_median,width_mean_pp_cluster,width_mean_cl_cluster,width_ratio_boot,width_ratio_boot_median,width_mean_pp_boot,width_mean_cl_boot,pearson_gene,pearson_task
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,AKAP8,200,0.08374959992787778,0.6745320033615786,6,18,5,separate,ok,0.8540775502789597,0.8502933948816738,0.013720010023286577,0.016190139474211628,0.6439145895871605,0.6414688559517653,0.3226636393583614,0.5073442977119488,0.6551540623209384,0.6444879796970621,0.254411256564286,0.39123615866511513,0.2430796636976864,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,BLVRB,200,0.1306006874898571,0.7227261654044028,6,18,5,separate,ok,0.827653384960675,0.8315952281869501,0.013290492788021302,0.016287956677238022,0.5973942188889577,0.5950025693704644,0.30013974541795385,0.5136999555649636,0.60675647972489,0.6081711292837139,0.23907777978501255,0.40389510032380405,0.4272828790271285,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,BTF3,200,0.20882346721916853,0.7016433001504899,6,18,5,separate,ok,0.7523515413200655,0.7521606703254013,0.015787103351630406,0.021648562559477353,0.5877934070470251,0.5905251090542992,0.4168940634867926,0.7545494666140695,0.5915398793964898,0.5880830742311742,0.33422301657544606,0.6029509562370522,0.6424121506565327,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CD109,200,0.22399369293221594,0.6840349600068185,6,18,5,separate,ok,0.804859695789914,0.81282060559415,0.01614734215396742,0.020688304772244207,0.677161989381557,0.6709029915878049,0.5175173404523377,0.7961911997423345,0.6947458882448037,0.6927154548597454,0.395695143393002,0.5849734314267466,0.3820386254589381,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CD14,200,0.09894604403348922,0.6573727988332092,6,18,5,separate,ok,0.8303501197112476,0.8318223146893097,0.019774584519767817,0.02402498823379902,0.7038929709396364,0.6874446601178252,0.5900012124328271,0.8377456208132216,0.7034206427018214,0.6911945991918604,0.45538873444176003,0.6463653010180138,0.2012223008086046,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CHST15,200,0.1001267438070971,0.69123675136315,6,18,5,separate,ok,0.8386366833230596,0.841519294037611,0.01644354244408555,0.01985121184657767,0.6534342569470928,0.631935322686271,0.42243055860558115,0.6582958685674063,0.6696728162594661,0.6530479753065308,0.33123986765353586,0.49837336854488723,0.2092600353496091,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CIB1,200,0.2387576135111758,0.7262920911967791,6,18,5,separate,ok,0.769544958809008,0.7623059757161107,0.020284848834422012,0.026731308129343587,0.6279026956147633,0.6140063799367523,0.5889149850473453,0.951581857408339,0.6385232880201884,0.6243410075380725,0.4600899096161231,0.7267212860103585,0.3805094781168632,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CKB,200,0.22001530475229403,0.6177790576973091,6,18,5,separate,ok,0.8353361202378656,0.8418101340224053,0.01809501780019155,0.022009602590508607,0.7094660151379099,0.6979658532337205,0.5295439186064438,0.7572801414883701,0.7174955670198448,0.717249964982238,0.41093731068924355,0.577687835456955,0.3040999526203282,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CPD,200,0.2093489686650635,0.5582915321794525,6,18,5,separate,ok,0.8585223436504492,0.8628817010646217,0.021291111579291037,0.025018733903105286,0.7513452792283561,0.7651431040933498,0.7822393683890055,0.9954369378203023,0.7659360200952713,0.7893811522120966,0.5777578087873847,0.7206500703656131,0.1650713665065007,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,CPE,200,0.45590011894652593,0.6931505133402139,6,18,5,separate,ok,0.715272991507556,0.6752542232696583,0.028101387493843884,0.04078218973672942,0.6288788954231487,0.5895336774864489,1.0818564298998614,1.8401004261837328,0.6513971126862776,0.6327284781690068,0.8309989503027967,1.343594446708704,0.3301139662217826,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,DERL1,200,0.2641878317937275,0.7109373913506535,6,18,5,separate,ok,0.7932719406470179,0.7756232836803696,0.021070905791792934,0.027017729428902952,0.6694670688570377,0.6659705410063369,0.6977263423725921,1.0622547410010392,0.6860794350092063,0.6815302843155233,0.5325539905106315,0.7841497454434481,0.2905657335923822,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,DNAJB12,200,0.07124886313401123,0.6525536268711793,6,18,5,separate,ok,0.890249450659224,0.886379210977045,0.013292204573798897,0.015056953902056795,0.6666287415926277,0.6697111400448772,0.2826603830060681,0.420361505927009,0.6726931025515164,0.6729742044986393,0.2241082340654839,0.32897014490621074,0.197879594954199,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,EGFL7,200,0.10349262610552037,0.6558612862730334,6,18,5,separate,ok,0.8146571444857418,0.8308320586358048,0.01414226139441779,0.01784216445419183,0.601258336740597,0.5821967479211525,0.3241919529104696,0.5765373461146805,0.6065282192345748,0.5953355200282507,0.25672240862520984,0.4523604454162166,0.4567152991587431,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,FLNB,200,0.18433884195751551,0.6787388647327773,6,18,5,separate,ok,0.8125882763144004,0.8174862326597865,0.019323423893451458,0.02407753384996969,0.6443301527525742,0.6231374457190788,0.5358946889823009,0.8340022708700946,0.6540768348191949,0.648133986656316,0.41777668091527526,0.6367236099509624,0.2752387741533186,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,GADD45B,200,0.025135851082861857,0.6469150497389617,6,18,5,separate,ok,0.8237485138056748,0.8279409522937053,0.01772309116935051,0.021714552464735633,0.6311478766171829,0.6325956922674509,0.44660475263587185,0.7192955277716055,0.6423921879392458,0.6434730085366088,0.3551877995874182,0.5599885246413744,0.2363513554028974,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,GPNMB,200,0.11258529270561994,0.6522106745181047,6,18,5,separate,ok,0.8458148498194582,0.8503891715411525,0.017242179832759805,0.02069039736227902,0.7126721933853838,0.6999302795235327,0.48091716124659784,0.693514503342119,0.7199556313630768,0.7066886214644102,0.37156124463182666,0.5302322524218556,0.3262248297607919,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,H3F3A,200,0.19646684360897854,0.6788141421248776,6,18,5,separate,ok,0.7461551271515527,0.738634564136172,0.01772762521443855,0.024580055566315442,0.5894445533772465,0.5762410180781501,0.47422770639722506,0.8551269270127517,0.5948359562595495,0.5939332048356507,0.3828510983010135,0.6843161054065574,0.6642170438061082,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HMOX1,200,0.11803724844944885,0.7044936090113546,6,18,5,separate,ok,0.8204155916888777,0.8177674527385519,0.015543517237848446,0.019169049021681803,0.6220903515541677,0.6002858029252001,0.4102166236450019,0.6914116135375759,0.6285817369254874,0.610539109353996,0.31325608924675763,0.519776786863468,0.3304193698555685,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HNRNPK,200,0.21911054753683695,0.7214734878499286,6,18,5,separate,ok,0.7298387183686657,0.7355123520083684,0.019030505995299256,0.026870816190613652,0.5718722279844619,0.5793186359346667,0.5091211976514702,0.9335103086532277,0.5817782803168756,0.5787482904210807,0.4084632682196163,0.737067197846855,0.6263001325557279,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HSPA1A,200,-0.01754322716414921,0.6050413556561937,6,18,5,separate,ok,0.8036534161574878,0.8008315464672857,0.01945153056170859,0.024258555517151295,0.655510037882675,0.6236628280154286,0.6106007909417392,0.9510797989934017,0.6639983040141408,0.6515689024806038,0.4668527762538586,0.7139245436270306,0.1354547899654153,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,HTRA1,200,0.14933265380766167,0.6351100397221119,6,18,5,separate,ok,0.775767437500385,0.7667995461381453,0.02475801485384028,0.0321183372901011,0.6683659491956517,0.6627829131133127,0.8229355634373434,1.2688314847651876,0.676559658756239,0.6826492691652273,0.6311145802761672,0.9556771378857875,0.0430633210658,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,IFI27,200,0.1065945186562734,0.6918397249405572,6,18,5,separate,ok,0.7679950493523248,0.7805318811672197,0.026750128584899478,0.035418300897891025,0.6637924279051899,0.6402168287225873,0.8691900108000187,1.338384101868657,0.6677622895092646,0.6534859969566131,0.6752906471129626,1.0343833196872,0.3186167987334984,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,IFI6,200,0.05952530102046841,0.669447555764319,6,18,5,separate,ok,0.7978173831031729,0.8021659354633962,0.02290482643763587,0.029063187622521258,0.6274900735178293,0.6232045687819427,0.6116743467046639,0.9970708577975084,0.6356824539336283,0.6370556144402444,0.48372537362448986,0.7741547652973668,0.2707068423507322,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,IRF7,200,0.05587582742349685,0.6184017491948299,6,18,5,separate,ok,0.8969649354181406,0.8964630703157686,0.012809663640261133,0.014438019784022711,0.7079598502181454,0.7127749726285135,0.27003838179369827,0.380672650122358,0.7136583011533978,0.7169930110279101,0.2132112855365085,0.29738796804102186,0.194794220875797,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,ISG15,200,0.08065511234171709,0.686381211764103,6,18,5,separate,ok,0.8542965961139183,0.8571676178796497,0.01590111926403735,0.018823007994303663,0.6405769345174344,0.6337656514388421,0.3516730762598229,0.5574356308730386,0.6506202274748608,0.6474780256190017,0.27735450768588565,0.4313625719187909,0.2488267213674859,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,KRTCAP2,200,0.1976849265877988,0.7288822545382289,6,18,5,separate,ok,0.7879942118420328,0.7912051020443056,0.015701534585500485,0.020306576368251984,0.6095294852316685,0.6168060091673331,0.3982547603237549,0.6705396448579066,0.6169362214663174,0.6196292331351643,0.31559195577401,0.5265979476433365,0.5306336778478034,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,LAPTM4B,200,0.201747367611588,0.6837972878196882,6,18,5,separate,ok,0.8287764772919911,0.8431122733998926,0.02015341275230239,0.02472565470399503,0.7125295222911754,0.6838365663648068,0.6475649642148489,0.9287092226507531,0.726651498540387,0.702571364914407,0.4967997264397417,0.6910486151912568,0.1632253185841252,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,LRRC41,200,0.24035762836211771,0.6670843045208672,6,18,5,separate,ok,0.7861928836915015,0.8123914639187976,0.0232939220204622,0.03015328702361825,0.6874793074767515,0.6996504050619639,0.8035046973897089,1.2194615948830694,0.7067296771103986,0.7228348784272285,0.6234120299133885,0.9101600769585313,0.3267809349939731,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,LY6E,200,0.24119067852465448,0.6905643042700873,6,18,5,separate,ok,0.7569307382071961,0.7594334514680187,0.02660761798145717,0.035493417640186056,0.670194606456467,0.6569927506783478,0.9080249351674443,1.3601168001528914,0.6741229455327213,0.6632520673059783,0.7024100644438076,1.046747482140229,0.2628937301321016,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,NAMPT,200,0.1280518672056158,0.6992139968689435,6,18,5,separate,ok,0.7887814075228402,0.7885166323603285,0.018579247681413648,0.023885160286818533,0.631336890611022,0.6191178379361846,0.523899741326861,0.8467119175197121,0.6460116284764834,0.639660797605577,0.4077029349318536,0.6390643093753985,0.2744251518649261,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,NOL3,200,0.16431006955756816,0.6596371195344072,6,18,5,separate,ok,0.8123310762144853,0.8146459157005169,0.016813193463580366,0.02109159380606979,0.6744389200598584,0.6548715137856869,0.4675735706474993,0.7107069448605753,0.6757798125470478,0.658310925151385,0.3694813823004069,0.5604078983955532,0.4237657896490442,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,NOTCH3,200,0.11528847515465172,0.6733556218629166,6,18,5,separate,ok,0.7968574239397036,0.8031115970763447,0.015834597327681017,0.020296543735329565,0.61061649866588,0.5955149000408655,0.3902125871364598,0.6792950473134773,0.6171628899974856,0.6011300355747695,0.3087751998540645,0.5348899010741417,0.4433297678131901,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,NT5DC2,200,0.0156955641130409,0.6158815612153183,6,18,5,separate,ok,0.892722751925933,0.8949322044644987,0.012477850905124401,0.014200824316360893,0.7056855905664312,0.7314755997342314,0.2615462900606584,0.3717475300773362,0.7130675172056087,0.7316467225062375,0.20454539312806808,0.286582179102779,0.2423709354020761,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,PARP10,200,0.10774929064169597,0.7183416333146653,6,18,5,separate,ok,0.8257997279244655,0.8271189002382537,0.015464736279947742,0.01903034549482351,0.6239894886303837,0.6245659077657861,0.35096254289393813,0.5740143739092974,0.6321820045054881,0.6352648084434513,0.2777662182409394,0.4483559553129087,0.3877820610158142,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,PTGS1,200,0.09642116738320629,0.5690854601368602,6,18,5,separate,ok,0.8844407831084833,0.8794267273602542,0.01701225953548506,0.019371386110634655,0.7420037781108192,0.763031195826356,0.4996251743072824,0.6719648340739306,0.7542336927910815,0.7672632799656758,0.3814527357279703,0.5017645451435006,0.1741864652449499,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,PXN,200,0.15430541347854926,0.6832749011401225,6,18,5,separate,ok,0.8107896682715112,0.8155735800903194,0.018927977708491205,0.023614357497316517,0.6654814888792466,0.6567703665795435,0.549842366393526,0.8311336727143351,0.6753482344496846,0.6704591103395113,0.432468432314537,0.6429551087746345,0.2576292004958123,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,RXRA,200,0.05501448516128198,0.6923319794241058,6,18,5,separate,ok,0.8481218414899883,0.8455729055222203,0.01523477869340751,0.018112865443560784,0.6339322558787605,0.6475530220824388,0.35443540959043857,0.5638836843527743,0.6457540836767717,0.6503734973893696,0.28050223858891016,0.43507708138556533,0.2045668075338854,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,S100A9,200,-0.005655582735067888,0.6434922249163219,6,18,5,separate,ok,0.879586315577692,0.8766622263199009,0.01691910151855512,0.019396221429196423,0.7091266672289541,0.6914371160565014,0.45304960683093626,0.646953309103759,0.7247738349827624,0.7111829936865611,0.3468531204134793,0.4826254378598467,0.1079070976831016,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,SCARB1,200,0.27389210477189824,0.680900461992504,6,18,5,separate,ok,0.7812930056411217,0.7837211940824003,0.020760776073285497,0.02691101169012996,0.6550874637768406,0.6364125598005632,0.6530284180389822,1.024424316779915,0.6704231577466849,0.6579819658376556,0.5140047804364769,0.7808196858570274,0.4055624001914717,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,SEMA4B,200,0.19895666641529458,0.7314213127025877,6,18,5,separate,ok,0.8006800242887855,0.8042016008932301,0.017189345026002566,0.02207355734773136,0.6551969585583173,0.6445125369544084,0.4901795915519267,0.773949571234063,0.6724805711247344,0.6649214859820384,0.37926730248510615,0.5784031954898904,0.3724305516560254,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,SLC15A4,200,0.17479052790172409,0.7003602827238181,6,18,5,separate,ok,0.8144545246254117,0.8177930393977038,0.017101300590918557,0.02125777362096114,0.6473049231849421,0.6242009494954139,0.4845235850030742,0.7769707331014097,0.6652392229992988,0.6508562417831045,0.3783342689748261,0.5845045663203615,0.3058402590574734,0.31839430874006125
CCRCC,CCRCC,6,donor,hoptimus0,theta3,spot,SLC39A14,200,0.22807383910780205,0.6719370645175382,6,18,5,separate,ok,0.7738068247065961,0.7763486231571501,0.02345728668857339,0.03104549420965191,0.6958749447431931,0.6561783054155761,0.9276719986291644,1.3689104933558645,0.7089155460498054,0.6763784166960054,0.7101767152927893,1.020073657037396,0.3284263223373465,0.31839430874006125
