group,shared_components,shares_expression_st,shares_wsi,shares_patches
MEND41+NCBI535,"cellvit_seg,patches,patches_vis,pixel_size_vis,spatial_plots,st,thumbnails,tissue_seg,wsis",1,1,1
MEND42+NCBI528,"cellvit_seg,patches,patches_vis,pixel_size_vis,spatial_plots,st,thumbnails,tissue_seg,wsis",1,1,1
MEND43+NCBI530,"cellvit_seg,patches,pixel_size_vis,spatial_plots,st,thumbnails,wsis",1,1,1
MEND44+NCBI531,"cellvit_seg,patches,pixel_size_vis,spatial_plots,st,thumbnails,wsis",1,1,1
MEND45+NCBI536,"cellvit_seg,patches,patches_vis,pixel_size_vis,spatial_plots,st,thumbnails,tissue_seg,wsis",1,1,1
MEND46+NCBI529,"cellvit_seg,patches,patches_vis,pixel_size_vis,spatial_plots,st,thumbnails,tissue_seg,wsis",1,1,1
MEND47+NCBI534,"cellvit_seg,patches,patches_vis,pixel_size_vis,spatial_plots,st,thumbnails,tissue_seg,wsis",1,1,1
MEND48+NCBI539,"cellvit_seg,patches,patches_vis,pixel_size_vis,spatial_plots,st,thumbnails,tissue_seg,wsis",1,1,1
MEND49+NCBI540,"cellvit_seg,patches,patches_vis,pixel_size_vis,spatial_plots,st,thumbnails,tissue_seg,wsis",1,1,1
MEND50+NCBI532,"cellvit_seg,patches,patches_vis,pixel_size_vis,spatial_plots,st,thumbnails,tissue_seg,wsis",1,1,1
MEND51+NCBI537,"cellvit_seg,patches,patches_vis,pixel_size_vis,spatial_plots,st,thumbnails,tissue_seg,wsis",1,1,1
MEND53+NCBI527,"cellvit_seg,pixel_size_vis,spatial_plots,st,thumbnails,wsis",1,1,0
MEND54+NCBI538,"cellvit_seg,patches,patches_vis,pixel_size_vis,spatial_plots,st,thumbnails,tissue_seg,wsis",1,1,1
MEND55+NCBI533,"cellvit_seg,pixel_size_vis,spatial_plots,st,thumbnails,wsis",1,1,0
NCBI599+NCBI714,"cellvit_seg,patches,patches_vis,pixel_size_vis,spatial_plots,st,thumbnails,tissue_seg,wsis",1,1,1
NCBI886+NCBI887,"cellvit_seg,pixel_size_vis,thumbnails,tissue_seg",0,0,0
SPA100+SPA126,"cellvit_seg,pixel_size_vis,thumbnails,tissue_seg,wsis",0,1,0
SPA101+SPA127,"cellvit_seg,pixel_size_vis,thumbnails,tissue_seg",0,0,0
SPA102+SPA128,"thumbnails,tissue_seg",0,0,0
SPA103+SPA129,thumbnails,0,0,0
SPA104+SPA130,"cellvit_seg,pixel_size_vis,thumbnails,tissue_seg",0,0,0
SPA119+SPA93,"cellvit_seg,pixel_size_vis,thumbnails,tissue_seg",0,0,0
SPA120+SPA94,thumbnails,0,0,0
SPA121+SPA95,"cellvit_seg,thumbnails",0,0,0
SPA122+SPA96,thumbnails,0,0,0
SPA123+SPA97,"cellvit_seg,thumbnails",0,0,0
SPA124+SPA98,"cellvit_seg,thumbnails",0,0,0
SPA125+SPA99,"cellvit_seg,pixel_size_vis,thumbnails,tissue_seg",0,0,0
TENX169+TENX190,"cellvit_seg,thumbnails",0,0,0
TENX171+TENX189,"cellvit_seg,thumbnails,tissue_seg",0,0,0
TENX182+TENX183,"cellvit_seg,patches_vis,pixel_size_vis,thumbnails,tissue_seg,wsis",0,1,0
TENX184+TENX185,"cellvit_seg,pixel_size_vis,thumbnails,tissue_seg,wsis",0,1,0
TENX22+TENX24,"cellvit_seg,tissue_seg",0,0,0
TENX23+TENX24,patches,0,0,1
TENX28+TENX29,"cellvit_seg,patches,patches_vis,pixel_size_vis,thumbnails,tissue_seg,wsis",0,1,1
TENX30+TENX31,"cellvit_seg,patches,patches_vis,pixel_size_vis,thumbnails,tissue_seg,wsis",0,1,1
TENX52+TENX80,"cellvit_seg,pixel_size_vis,thumbnails",0,0,0
TENX77+TENX84,"cellvit_seg,pixel_size_vis,thumbnails,tissue_seg",0,0,0
TENX78+TENX83,"cellvit_seg,pixel_size_vis,thumbnails,tissue_seg",0,0,0
TENX79+TENX82,"cellvit_seg,pixel_size_vis,thumbnails,tissue_seg,wsis",0,1,0
