set_name,sample_id,organ,st_technology,dataset_title,subseries,lab_provisional,patient_label,donor_key_provisional,resolution_uncertain,pixel_size_um_estimated,spots_under_tissue,in_benchmark,benchmark_task,bytes_four_components
institution_kidney_visium,INT1,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_c_57,Sorbonne Université,Patient 24,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 24,False,0.456893117723337,1084,True,CCRCC,203033301
institution_kidney_visium,INT10,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_a_15,Sorbonne Université,Patient 15,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 15,False,0.458014733390284,1983,True,CCRCC,427847837
institution_kidney_visium,INT11,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_a_3,Sorbonne Université,Patient 14,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 14,False,0.456621005,1439,True,CCRCC,289315359
institution_kidney_visium,INT12,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor frozen_a_1,Sorbonne Université,Patient 13,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 13,False,0.457664178387135,1451,True,CCRCC,326847566
institution_kidney_visium,INT13,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_51,Sorbonne Université,Patient 12,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 12,False,0.457427788409886,4359,True,CCRCC,874993691
institution_kidney_visium,INT14,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_45,Sorbonne Université,Patient 11,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 11,False,0.457571755254355,4562,True,CCRCC,958155599
institution_kidney_visium,INT15,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_39,Sorbonne Université,Patient 10,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 10,False,0.457852371,4940,True,CCRCC,994461541
institution_kidney_visium,INT16,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_36,Sorbonne Université,Patient 9,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 9,False,0.457638451710432,3206,True,CCRCC,625586359
institution_kidney_visium,INT17,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_34,Sorbonne Université,Patient 8,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 8,False,0.457530311881018,3585,True,CCRCC,718763907
institution_kidney_visium,INT18,Kidney,Visium,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer,ccRCC tumor ffpe_c_21,Sorbonne Université,Patient 7,Tertiary lymphoid structures generate and propagate anti-tumor antibody-producing plasma cells in renal cell cancer | Patient 7,False,0.458098050458905,4915,True,CCRCC,1032614382
