sample_id,set_name,encoder,benchmark_task,n_rows_new,n_rows_bench,emb_dim_new,emb_dim_bench,n_barcodes_new,n_barcodes_bench,n_barcodes_matched,barcode_sets_identical,row_order_identical,max_abs_diff,max_rel_diff_elem,median_rel_diff_elem,frac_elems_excluded_small,max_rel_l2_row,median_rel_l2_row,agrees_1e-5,n_patches_new,n_patches_bench,patch_shape_new,patch_shape_bench,patch_dtype_new,patch_dtype_bench,n_patch_barcodes_compared,max_abs_img_diff,frac_img_bytes_differing,max_abs_coord_diff,error,coordtest_patch_size_src_hest1k,coordtest_patch_size_bench,coordtest_patch_size_agrees,coordtest_half_patch,coordtest_n_shared_barcodes,coordtest_relation_holds_exactly,coordtest_n_rows_violating,coordtest_residual_min,coordtest_residual_max,diag_img_mean_abs_diff_median,diag_img_max_abs_diff_max,diag_img_frac_bytes_differing_median,diag_img_pearson_median,diag_n_barcodes_better_matched_by_another_patch
NCBI783,institution_breast_xenium,resnet50,IDC,3501,3005,1024,1024,3501,3005,2969,False,False,5.129436e-02,1.000000e+00,5.242756e-02,0.0046,6.310054e-02,4.651650e-02,False,3501,3005,224x224x3,224x224x3,uint8,uint8,32,148,0.843901,22640,,409,409,True,204,2969,True,0,"[0, 0]","[0, 0]",4.3014,150,0.891426,0.989173,0
NCBI785,institution_breast_xenium,resnet50,IDC,4074,4010,1024,1024,4074,4010,3960,False,False,6.350780e-02,1.000000e+00,6.678369e-02,0.0039,8.005883e-02,5.783902e-02,False,4074,4010,224x224x3,224x224x3,uint8,uint8,32,81,0.837519,15053,,308,308,True,154,3960,False,3960,"[-1, -1]","[-1, -1]",,,,,
TENX95,institution_breast_xenium,resnet50,IDC,7592,7760,1024,1024,7592,7760,7566,False,False,1.433265e-01,1.000000e+00,9.177946e-02,0.0045,1.551678e-01,9.091508e-02,False,7592,7760,224x224x3,224x224x3,uint8,uint8,32,169,0.871959,44983,,527,527,True,263,7566,True,0,"[0, 0]","[0, 0]",3.7500,135,0.874987,0.983868,0
TENX99,institution_breast_xenium,resnet50,IDC,20549,20761,1024,1024,20549,20761,20529,False,False,1.097849e-01,1.000000e+00,1.055037e-01,0.0035,1.498767e-01,1.027177e-01,False,20549,20761,224x224x3,224x224x3,uint8,uint8,32,203,0.912406,96739,,527,527,True,263,20529,True,0,"[0, 0]","[0, 0]",,,,,
INT1,kidney_visium_cell,resnet50,CCRCC,1032,1084,1024,1024,1032,1084,1032,False,False,5.511422e-02,1.000000e+00,5.914518e-02,0.0014,7.982464e-02,5.862398e-02,False,1032,1084,224x224x3,224x224x3,uint8,uint8,32,108,0.701171,10677,,245,245,True,122,1032,True,0,"[0, 0]","[0, 0]",3.8712,97,0.735544,0.986148,0
INT10,kidney_visium_cell,resnet50,CCRCC,1971,1983,1024,1024,1971,1983,1971,False,False,6.301826e-02,1.000000e+00,6.542880e-02,0.0021,8.459626e-02,6.057204e-02,False,1971,1983,224x224x3,224x224x3,uint8,uint8,32,145,0.812057,9435,,245,245,True,122,1971,True,0,"[0, 0]","[0, 0]",,,,,
INT11,kidney_visium_cell,resnet50,CCRCC,1400,1439,1024,1024,1400,1439,1400,False,False,6.951135e-02,1.000000e+00,7.563895e-02,0.0067,9.829909e-02,6.623642e-02,False,1400,1439,224x224x3,224x224x3,uint8,uint8,32,78,0.885589,6840,,245,245,True,122,1400,True,0,"[0, 0]","[0, 0]",,,,,
INT12,kidney_visium_cell,resnet50,CCRCC,1450,1451,1024,1024,1450,1451,1450,False,False,7.807472e-02,1.000000e+00,7.225507e-02,0.0080,8.644733e-02,5.960723e-02,False,1450,1451,224x224x3,224x224x3,uint8,uint8,32,81,0.867264,6890,,245,245,True,122,1450,True,0,"[0, 0]","[0, 0]",,,,,
INT13,kidney_visium_cell,resnet50,CCRCC,4359,4359,1024,1024,4359,4359,4359,True,True,6.597853e-02,1.000000e+00,7.518454e-02,0.0037,9.190683e-02,6.845268e-02,False,4359,4359,224x224x3,224x224x3,uint8,uint8,32,148,0.939102,11937,,245,245,True,122,4359,True,0,"[0, 0]","[0, 0]",9.7592,145,0.948960,0.955307,0
INT14,kidney_visium_cell,resnet50,CCRCC,4559,4562,1024,1024,4559,4562,4559,False,False,7.184362e-02,1.000000e+00,7.935078e-02,0.0074,1.033002e-01,6.671540e-02,False,4559,4562,224x224x3,224x224x3,uint8,uint8,32,133,0.927034,12878,,245,245,True,122,4559,True,0,"[0, 0]","[0, 0]",,,,,
INT15,kidney_visium_cell,resnet50,CCRCC,4940,4940,1024,1024,4940,4940,4940,True,True,6.465331e-02,1.000000e+00,7.338202e-02,0.0032,8.629842e-02,6.774854e-02,False,4940,4940,224x224x3,224x224x3,uint8,uint8,32,130,0.936982,12189,,245,245,True,122,4940,True,0,"[0, 0]","[0, 0]",,,,,
INT16,kidney_visium_cell,resnet50,CCRCC,3202,3206,1024,1024,3202,3206,3202,False,False,7.166043e-02,1.000000e+00,8.817312e-02,0.0061,1.007823e-01,7.690831e-02,False,3202,3206,224x224x3,224x224x3,uint8,uint8,32,146,0.940827,11308,,245,245,True,122,3202,True,0,"[0, 0]","[0, 0]",,,,,
INT17,kidney_visium_cell,resnet50,CCRCC,3584,3585,1024,1024,3584,3585,3584,False,False,7.076037e-02,1.000000e+00,7.405190e-02,0.0058,1.039907e-01,6.318511e-02,False,3584,3585,224x224x3,224x224x3,uint8,uint8,32,136,0.929045,12319,,245,245,True,122,3584,True,0,"[0, 0]","[0, 0]",,,,,
INT18,kidney_visium_cell,resnet50,CCRCC,4914,4915,1024,1024,4914,4915,4914,False,False,7.566001e-02,1.000000e+00,5.170587e-02,0.0038,7.631343e-02,5.333989e-02,False,4914,4915,224x224x3,224x224x3,uint8,uint8,32,26,0.750938,12662,,244,244,True,122,4914,True,0,"[0, 0]","[0, 0]",,,,,
INT19,kidney_visium_cell,resnet50,CCRCC,4948,4948,1024,1024,4948,4948,4948,True,True,7.161953e-02,1.000000e+00,7.457737e-02,0.0035,9.437449e-02,6.772916e-02,False,4948,4948,224x224x3,224x224x3,uint8,uint8,32,146,0.897119,13283,,245,245,True,122,4948,True,0,"[0, 0]","[0, 0]",,,,,
INT2,kidney_visium_cell,resnet50,CCRCC,2541,2580,1024,1024,2541,2580,2541,False,False,5.698752e-02,1.000000e+00,6.591818e-02,0.0040,8.081429e-02,5.775533e-02,False,2541,2580,224x224x3,224x224x3,uint8,uint8,32,126,0.846211,9868,,245,245,True,122,2541,True,0,"[0, 0]","[0, 0]",,,,,
INT20,kidney_visium_cell,resnet50,CCRCC,4860,4860,1024,1024,4860,4860,4860,True,True,8.546714e-02,1.000000e+00,8.895597e-02,0.0049,1.088599e-01,8.088847e-02,False,4860,4860,224x224x3,224x224x3,uint8,uint8,32,152,0.939361,13673,,245,245,True,122,4860,True,0,"[0, 0]","[0, 0]",,,,,
INT21,kidney_visium_cell,resnet50,CCRCC,4960,4975,1024,1024,4960,4975,4960,False,False,7.371056e-02,1.000000e+00,7.362084e-02,0.0030,9.096095e-02,6.732953e-02,False,4960,4975,224x224x3,224x224x3,uint8,uint8,32,128,0.923857,12597,,245,245,True,122,4960,True,0,"[0, 0]","[0, 0]",,,,,
INT22,kidney_visium_cell,resnet50,CCRCC,3826,3829,1024,1024,3826,3829,3826,False,False,7.669336e-02,1.000000e+00,8.794505e-02,0.0046,1.093034e-01,8.027331e-02,False,3826,3829,224x224x3,224x224x3,uint8,uint8,32,132,0.935076,11804,,245,245,True,122,3826,True,0,"[0, 0]","[0, 0]",,,,,
