sample_id,status,n_patches,seconds
INT1,written,1032,11.3
INT10,written,1971,14.2
INT11,written,1400,10.9
INT12,written,1450,11.2
INT13,written,4359,28.8
INT14,written,4559,38.7
INT15,written,4940,32.3
INT16,written,3202,22.1
INT17,written,3584,24.1
INT18,written,4914,32.3
INT19,written,4948,32.3
INT2,written,2541,17.9
INT20,written,4860,32.2
INT21,written,4960,32.6
INT22,written,3826,28.1
INT23,written,4755,31.8
INT24,written,4483,29.8
INT3,written,1973,14.3
INT4,written,1255,10.6
INT5,written,1158,9.5
INT6,written,1667,13.0
INT7,written,2361,16.8
INT8,written,1924,14.5
INT9,written,1691,12.8
NCBI538,written,427,5.2
NCBI539,written,406,4.9
NCBI540,written,359,4.7
NCBI562,written,2433,17.4
NCBI563,written,1344,10.9
NCBI564,written,198,3.8
NCBI565,written,1017,9.9
NCBI566,written,900,8.2
NCBI567,written,805,7.5
NCBI568,written,2391,17.4
NCBI692,written,357,4.9
NCBI693,written,502,5.7
NCBI694,written,640,7.0
NCBI695,written,671,7.2
NCBI696,written,645,6.4
NCBI697,written,303,4.2
NCBI698,written,405,5.4
NCBI699,written,787,8.7
NCBI700,written,601,6.4
NCBI701,written,903,8.1
NCBI702,written,458,5.6
NCBI703,written,450,5.4
NCBI704,written,524,5.7
NCBI705,written,551,6.0
NCBI706,written,664,6.8
NCBI707,written,673,6.7
NCBI708,written,1276,10.4
NCBI709,written,1029,10.1
NCBI710,written,951,8.9
NCBI711,written,2622,18.4
NCBI712,written,4159,27.6
NCBI713,written,3622,24.6
NCBI714,written,3003,21.3
TENX71,written,5896,38.6
