sample_id,status,n_patches,seconds
INT1,written,1032,5.7
INT10,written,1971,9.5
INT11,written,1400,6.8
INT12,written,1450,7.3
INT13,written,4359,21.3
INT14,written,4559,22.3
INT15,written,4940,23.6
INT16,written,3202,15.2
INT17,written,3584,16.9
INT18,written,4914,25.0
INT19,written,4948,24.9
INT2,written,2541,12.9
INT20,written,4860,34.9
INT21,written,4960,26.0
INT22,written,3826,22.1
INT23,written,4755,25.6
INT24,written,4483,31.4
INT3,written,1973,9.7
INT4,written,1255,7.0
INT5,written,1158,10.4
INT6,written,1667,10.5
INT7,written,2361,20.1
INT8,written,1924,10.4
INT9,written,1691,10.8
NCBI538,written,427,3.0
NCBI539,written,406,2.8
NCBI540,written,359,2.6
NCBI562,written,2433,17.3
NCBI563,written,1344,8.3
NCBI564,written,198,3.3
NCBI565,written,1017,6.6
NCBI566,written,900,5.3
NCBI567,written,805,5.4
NCBI568,written,2391,13.4
NCBI692,written,357,2.9
NCBI693,written,502,3.1
NCBI694,written,640,5.4
NCBI695,written,671,5.1
NCBI696,written,645,5.1
NCBI697,written,303,2.7
NCBI698,written,405,4.9
NCBI699,written,787,6.0
NCBI700,written,601,4.4
NCBI701,written,903,5.3
NCBI702,written,458,4.6
NCBI703,written,450,6.3
NCBI704,written,524,3.0
NCBI705,written,551,3.5
NCBI706,written,664,9.7
NCBI707,written,673,5.0
NCBI708,written,1276,8.0
NCBI709,written,1029,6.1
NCBI710,written,951,5.8
NCBI711,written,2622,19.3
NCBI712,written,4159,30.4
NCBI713,written,3622,22.0
NCBI714,written,3003,17.9
TENX71,written,5896,44.7
