sample_id,status,n_patches,seconds
INT1,written,1032,8.7
INT10,written,1971,29.8
INT11,written,1400,10.8
INT12,written,1450,21.5
INT13,written,4359,47.9
INT14,written,4559,29.2
INT15,written,4940,28.6
INT16,written,3202,19.0
INT17,written,3584,34.6
INT18,written,4914,40.6
INT19,written,4948,27.3
INT2,written,2541,15.3
INT20,written,4860,31.5
INT21,written,4960,28.7
INT22,written,3826,31.5
INT23,written,4755,36.3
INT24,written,4483,44.6
INT3,written,1973,12.5
INT4,written,1255,9.9
INT5,written,1158,38.4
INT6,written,1667,12.7
INT7,written,2361,15.9
INT8,written,1924,13.7
INT9,written,1691,14.4
NCBI538,written,427,4.4
NCBI539,written,406,18.7
NCBI540,written,359,4.3
NCBI562,written,2433,17.0
NCBI563,written,1344,10.0
NCBI564,written,198,4.0
NCBI565,written,1017,8.9
NCBI566,written,900,8.4
NCBI567,written,805,28.1
NCBI568,written,2391,16.0
NCBI692,written,357,4.4
NCBI693,written,502,5.1
NCBI694,written,640,7.1
NCBI695,written,671,10.2
NCBI696,written,645,6.1
NCBI697,written,303,4.1
NCBI698,written,405,4.6
NCBI699,written,787,11.4
NCBI700,written,601,6.5
NCBI701,written,903,7.5
NCBI702,written,458,9.3
NCBI703,written,450,5.7
NCBI704,written,524,5.6
NCBI705,written,551,5.7
NCBI706,written,664,6.6
NCBI707,written,673,6.4
NCBI708,written,1276,26.5
NCBI709,written,1029,14.7
NCBI710,written,951,15.3
NCBI711,written,2622,30.9
NCBI712,written,4159,53.9
NCBI713,written,3622,53.6
NCBI714,written,3003,54.4
TENX71,written,5896,78.7
