sample_id,task,set_name,donor_id_benchmark_r2,donor_id_expansion_d3,status_benchmark_r2,status_expansion_d3,donor_id_differs,status_differs,resolution
INT1,CCRCC,institution_kidney_visium,INT1,ccRCC_frozen_c_57,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT10,CCRCC,institution_kidney_visium,INT10,ccRCC_frozen_a_15,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT11,CCRCC,institution_kidney_visium,INT11,ccRCC_frozen_a_3,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT12,CCRCC,institution_kidney_visium,INT12,ccRCC_frozen_a_1,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT13,CCRCC,institution_kidney_visium,INT13,ccRCC_ffpe_c_51,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT14,CCRCC,institution_kidney_visium,INT14,ccRCC_ffpe_c_45,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT15,CCRCC,institution_kidney_visium,INT15,ccRCC_ffpe_c_39,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT16,CCRCC,institution_kidney_visium,INT16,ccRCC_ffpe_c_36,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT17,CCRCC,institution_kidney_visium,INT17,ccRCC_ffpe_c_34,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT18,CCRCC,institution_kidney_visium,INT18,ccRCC_ffpe_c_21,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT19,CCRCC,institution_kidney_visium,INT19,ccRCC_ffpe_c_20,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT2,CCRCC,institution_kidney_visium,INT2,ccRCC_frozen_c_23,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT20,CCRCC,institution_kidney_visium,INT20,ccRCC_ffpe_c_10,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT21,CCRCC,institution_kidney_visium,INT21,ccRCC_ffpe_c_7,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT22,CCRCC,institution_kidney_visium,INT22,ccRCC_ffpe_c_4,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT23,CCRCC,institution_kidney_visium,INT23,ccRCC_ffpe_c_3,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT24,CCRCC,institution_kidney_visium,INT24,ccRCC_ffpe_c_2,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT3,CCRCC,institution_kidney_visium,INT3,ccRCC_frozen_c_5,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT4,CCRCC,institution_kidney_visium,INT4,ccRCC_frozen_c_2,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT5,CCRCC,institution_kidney_visium,INT5,ccRCC_frozen_b_18,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT6,CCRCC,institution_kidney_visium,INT6,ccRCC_frozen_b_13,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT7,CCRCC,institution_kidney_visium,INT7,ccRCC_frozen_b_7,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT8,CCRCC,institution_kidney_visium,INT8,ccRCC_frozen_b_1,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
INT9,CCRCC,institution_kidney_visium,INT9,ccRCC_frozen_a_17,verified,unverifiable,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
NCBI783,IDC,institution_breast_xenium,NCBI783,breastXen_Janesick_Sample2,unverifiable,verified,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
NCBI785,IDC,institution_breast_xenium,NCBI785,breastXen_Janesick_Sample1,unverifiable,verified,True,True,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
TENX95,IDC,institution_breast_xenium,breastXen_10x_BioIVT_block,breastXen_10x_BioIVT_block,verified,verified,False,False,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
TENX99,IDC,institution_breast_xenium,breastXen_10x_Avaden_block,breastXen_10x_Avaden_block,verified,verified,False,False,unresolved; both rows kept (docs/round3_execution_plan.md section 13.10 item 2)
