set_name,sample_id,in_benchmark,hest_patient,source_url,donor_statement,donor_id,donor_label_status,lab,lab_label_status,hest_lab_provisional,disease,region,preservation,scanner,pixel_size_um_estimated,pixel_size_um_embedded,magnification_hest,pixel_size_source,resolution_uncertain_hest,resolution_uncertain_rederived,notes,hest_dataset_title,hest_subseries,hest_source_page,citation
institution_breast_xenium,NCBI783,True,patient 5,https://doi.org/10.1038/s41467-023-43458-x,"Methods, Samples and sample collection: Sample #1 is 'A single formalin-fixed, paraffin-embedded (FFPE) breast cancer tissue block (TNM stage T2N1M0, ER+/HER2+/PR-) ... collected on 2021-07-26 and obtained from Discovery Life Sciences'; Sample #2 is a block '(AJCC pathologic stage pT2 pN1a pMX, ER-/HER2+/PR-) ... collected on 2009-07-24 and obtained from Discovery Life Sciences'. The Results call Sample #2 'a different biological section (different donor)'. The Xenium experiment was 'performed in replicate on two serial sections'. This sample is Sample #2, AJCC pT2 pN1a pMX, ER-/HER2+/PR-, collected 2009-07-24.",breastXen_Janesick_Sample2,verified,"10x Genomics Inc., Pleasanton CA",verified,10x Genomics Inc.,Invasive ductal carcinoma,not stated in source,FFPE,Xenium prototype instrument and in-development chemistry (source's words); post-Xenium IF on a Zeiss Axioimager with a 40x dipping objective; no H&E brightfield scanner stated,0.273959855977409,0.273979741225586,40x,not stated in source for the H&E image,False,unresolved,"HEST's patient 4 for NCBI784 and NCBI785 and patient 5 for NCBI783 agree with the source: NCBI784/785 are the two Xenium replicates of Sample #1 and NCBI783 is Sample #2. The source states no H&E pixel size or objective, so the flag cannot be re-derived either way from source; HEST's own embedded and estimated values agree to within 0.03 per cent.","High resolution mapping of the tumor microenvironment using integrated single-cell, spatial and in situ analysis [Xenium]","Breast Cancer, Xenium In Situ Spatial Gene Expression",https://www.nature.com/articles/s41467-023-43458-x,"Janesick A et al., Nat Commun 14:8353 (2023), doi:10.1038/s41467-023-43458-x, Methods 'Samples and sample collection' (Sample #1, Sample #2) and 'Xenium sample preparation'; PMC10730913 full text read 2026-09-22 | GEO subseries GSE243168 / superseries GSE243280 sample records (ncbi.nlm.nih.gov/geo/query/acc.cgi), subseries strings as ingested by HEST"
institution_breast_xenium,NCBI784,False,patient 4,https://doi.org/10.1038/s41467-023-43458-x,"Methods, Samples and sample collection: Sample #1 is 'A single formalin-fixed, paraffin-embedded (FFPE) breast cancer tissue block (TNM stage T2N1M0, ER+/HER2+/PR-) ... collected on 2021-07-26 and obtained from Discovery Life Sciences'; Sample #2 is a block '(AJCC pathologic stage pT2 pN1a pMX, ER-/HER2+/PR-) ... collected on 2009-07-24 and obtained from Discovery Life Sciences'. The Results call Sample #2 'a different biological section (different donor)'. The Xenium experiment was 'performed in replicate on two serial sections'. This sample is Sample #1 (Rep 2), TNM T2N1M0, ER+/HER2+/PR-, collected 2021-07-26.",breastXen_Janesick_Sample1,verified,"10x Genomics Inc., Pleasanton CA",verified,10x Genomics Inc.,Invasive ductal carcinoma,not stated in source,FFPE,Xenium prototype instrument and in-development chemistry (source's words); post-Xenium IF on a Zeiss Axioimager with a 40x dipping objective; no H&E brightfield scanner stated,0.363788003704963,0.2125,40x,not stated in source for the H&E image,True,True,"HEST's patient 4 for NCBI784 and NCBI785 and patient 5 for NCBI783 agree with the source: NCBI784/785 are the two Xenium replicates of Sample #1 and NCBI783 is Sample #2. NCBI784's HEST pixel_size_um_embedded 0.2125 and estimated 0.363788 disagree by 41.6 per cent, and the source states neither, so the uncertainty stands. NCBI784's embedded value also equals NCBI785's estimated value, which looks like an off-by-one in HEST's own metadata rather than a property of the image.","High resolution mapping of the tumor microenvironment using integrated single-cell, spatial and in situ analysis [Xenium]","Breast Cancer, Xenium In Situ Spatial Gene Expression Rep 2",https://www.nature.com/articles/s41467-023-43458-x,"Janesick A et al., Nat Commun 14:8353 (2023), doi:10.1038/s41467-023-43458-x, Methods 'Samples and sample collection' (Sample #1, Sample #2) and 'Xenium sample preparation'; PMC10730913 full text read 2026-09-22 | GEO subseries GSE243168 / superseries GSE243280 sample records (ncbi.nlm.nih.gov/geo/query/acc.cgi), subseries strings as ingested by HEST"
institution_breast_xenium,NCBI785,True,patient 4,https://doi.org/10.1038/s41467-023-43458-x,"Methods, Samples and sample collection: Sample #1 is 'A single formalin-fixed, paraffin-embedded (FFPE) breast cancer tissue block (TNM stage T2N1M0, ER+/HER2+/PR-) ... collected on 2021-07-26 and obtained from Discovery Life Sciences'; Sample #2 is a block '(AJCC pathologic stage pT2 pN1a pMX, ER-/HER2+/PR-) ... collected on 2009-07-24 and obtained from Discovery Life Sciences'. The Results call Sample #2 'a different biological section (different donor)'. The Xenium experiment was 'performed in replicate on two serial sections'. This sample is Sample #1 (Rep 1), TNM T2N1M0, ER+/HER2+/PR-, collected 2021-07-26.",breastXen_Janesick_Sample1,verified,"10x Genomics Inc., Pleasanton CA",verified,10x Genomics Inc.,Invasive ductal carcinoma,not stated in source,FFPE,Xenium prototype instrument and in-development chemistry (source's words); post-Xenium IF on a Zeiss Axioimager with a 40x dipping objective; no H&E brightfield scanner stated,0.363910795674915,0.363788003704963,40x,not stated in source for the H&E image,False,unresolved,"HEST's patient 4 for NCBI784 and NCBI785 and patient 5 for NCBI783 agree with the source: NCBI784/785 are the two Xenium replicates of Sample #1 and NCBI783 is Sample #2. The source states no H&E pixel size or objective, so the flag cannot be re-derived either way from source; HEST's own embedded and estimated values agree to within 0.03 per cent.","High resolution mapping of the tumor microenvironment using integrated single-cell, spatial and in situ analysis [Xenium]","Breast Cancer, Xenium In Situ Spatial Gene Expression Rep 1",https://www.nature.com/articles/s41467-023-43458-x,"Janesick A et al., Nat Commun 14:8353 (2023), doi:10.1038/s41467-023-43458-x, Methods 'Samples and sample collection' (Sample #1, Sample #2) and 'Xenium sample preparation'; PMC10730913 full text read 2026-09-22 | GEO subseries GSE243168 / superseries GSE243280 sample records (ncbi.nlm.nih.gov/geo/query/acc.cgi), subseries strings as ingested by HEST"
institution_breast_xenium,TENX191,False,Patient 1,https://doi.org/10.64898/2025.12.08.692193,"Methods, Biomaterials: 'Human breast FFPE-preserved blocks were obtained from Avaden, BioIVT, and Discovery Life Sciences. The sample set comprised 11 blocks representing a range of breast cancer stages and grades, including both DCIS and invasive lesions, as well as one normal breast tissue sample (see Supplemental Table S1).' Results: variance 'was calculated across tumor cells from all 11 breast cancer sections (excluding normal - #S2-Top)'. Supplemental Table S1 gives one disease, stage, grade and hormone status per section; S1-Top is IDC, T3 N0 M0, G3, HER2-Neg. Twelve sections, twelve distinct clinical profiles, eleven cancer blocks plus one normal.",breastXen_biomarker_S1-Top,contradicted,10x Genomics,verified,unresolved: https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,IDC,not stated in source,FFPE,"Olympus VS200 (post-Xenium H&E); Xenium Analyzer, onboard analysis v4.0",0.2740410920775886,0.2738092998726321,,not stated in source; source states the H&E scanner (Olympus VS200) and the VSI-to-OME.tif conversion in QuPath 0.5.1 but no pixel size or objective,False,unresolved,"HEST calls this section 'Section 1, top' and labels it 'Patient 1', grouping the three sections of each Section number under one patient. The source does not support that grouping: it states eleven cancer blocks for the eleven cancer sections, and Supplemental Table S1 gives each section its own stage, grade and hormone status. The natural reading is that S1 to S4 are the four Xenium slides and top/middle/bottom are the three tissue pieces on each slide, so this set contributes eleven donors, not four. The source states blocks rather than donors, so the one-donor-per-block step is not positively stated; it is the reading the clinical table supports. HEST also assigns oncotree IDC to all eleven, which Table S1 contradicts for eight of them. The twelfth section, S2-Top (normal breast), is not in HEST; the TENX194 id is absent from every release table.",Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,"Section 1, top",https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,"Janesick AS, Kravitz SN, Stauffer W, Valencia M, Taylor SEB. 'Biomarker Quantification in Breast Cancer using Xenium In Situ.' bioRxiv 10.64898/2025.12.08.692193, posted 2025-12-11 (Crossref record read 2026-09-22 via api.crossref.org; JATS full text via biorxiv.org/content/early/2025/12/11/2025.12.08.692193.source.xml); Methods sections 'Biomaterials' and 'Serial Section IHC and Post-Xenium H&E'; Supplemental Table S1 in supplementary file media-1.xlsx (692193_file03.xlsx)"
institution_breast_xenium,TENX192,False,Patient 1,https://doi.org/10.64898/2025.12.08.692193,"Methods, Biomaterials: 'Human breast FFPE-preserved blocks were obtained from Avaden, BioIVT, and Discovery Life Sciences. The sample set comprised 11 blocks representing a range of breast cancer stages and grades, including both DCIS and invasive lesions, as well as one normal breast tissue sample (see Supplemental Table S1).' Results: variance 'was calculated across tumor cells from all 11 breast cancer sections (excluding normal - #S2-Top)'. Supplemental Table S1 gives one disease, stage, grade and hormone status per section; S1-Middle is DCIS, T2 N0 M0, G2, ER+/PR+/HER2-2+. Twelve sections, twelve distinct clinical profiles, eleven cancer blocks plus one normal.",breastXen_biomarker_S1-Middle,contradicted,10x Genomics,verified,unresolved: https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,DCIS,not stated in source,FFPE,"Olympus VS200 (post-Xenium H&E); Xenium Analyzer, onboard analysis v4.0",0.2741561461564812,0.2738139406891623,,not stated in source; source states the H&E scanner (Olympus VS200) and the VSI-to-OME.tif conversion in QuPath 0.5.1 but no pixel size or objective,False,unresolved,"HEST calls this section 'Section 1, middle' and labels it 'Patient 1', grouping the three sections of each Section number under one patient. The source does not support that grouping: it states eleven cancer blocks for the eleven cancer sections, and Supplemental Table S1 gives each section its own stage, grade and hormone status. The natural reading is that S1 to S4 are the four Xenium slides and top/middle/bottom are the three tissue pieces on each slide, so this set contributes eleven donors, not four. The source states blocks rather than donors, so the one-donor-per-block step is not positively stated; it is the reading the clinical table supports. HEST also assigns oncotree IDC to all eleven, which Table S1 contradicts for eight of them. The twelfth section, S2-Top (normal breast), is not in HEST; the TENX194 id is absent from every release table.",Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,"Section 1, middle",https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,"Janesick AS, Kravitz SN, Stauffer W, Valencia M, Taylor SEB. 'Biomarker Quantification in Breast Cancer using Xenium In Situ.' bioRxiv 10.64898/2025.12.08.692193, posted 2025-12-11 (Crossref record read 2026-09-22 via api.crossref.org; JATS full text via biorxiv.org/content/early/2025/12/11/2025.12.08.692193.source.xml); Methods sections 'Biomaterials' and 'Serial Section IHC and Post-Xenium H&E'; Supplemental Table S1 in supplementary file media-1.xlsx (692193_file03.xlsx)"
institution_breast_xenium,TENX193,False,Patient 1,https://doi.org/10.64898/2025.12.08.692193,"Methods, Biomaterials: 'Human breast FFPE-preserved blocks were obtained from Avaden, BioIVT, and Discovery Life Sciences. The sample set comprised 11 blocks representing a range of breast cancer stages and grades, including both DCIS and invasive lesions, as well as one normal breast tissue sample (see Supplemental Table S1).' Results: variance 'was calculated across tumor cells from all 11 breast cancer sections (excluding normal - #S2-Top)'. Supplemental Table S1 gives one disease, stage, grade and hormone status per section; S1-Bottom is DCIS, T1c N0 M0, G3, HER2-1+. Twelve sections, twelve distinct clinical profiles, eleven cancer blocks plus one normal.",breastXen_biomarker_S1-Bottom,contradicted,10x Genomics,verified,unresolved: https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,DCIS,not stated in source,FFPE,"Olympus VS200 (post-Xenium H&E); Xenium Analyzer, onboard analysis v4.0",0.2739530535228832,0.2738126061571474,,not stated in source; source states the H&E scanner (Olympus VS200) and the VSI-to-OME.tif conversion in QuPath 0.5.1 but no pixel size or objective,False,unresolved,"HEST calls this section 'Section 1, bottom' and labels it 'Patient 1', grouping the three sections of each Section number under one patient. The source does not support that grouping: it states eleven cancer blocks for the eleven cancer sections, and Supplemental Table S1 gives each section its own stage, grade and hormone status. The natural reading is that S1 to S4 are the four Xenium slides and top/middle/bottom are the three tissue pieces on each slide, so this set contributes eleven donors, not four. The source states blocks rather than donors, so the one-donor-per-block step is not positively stated; it is the reading the clinical table supports. HEST also assigns oncotree IDC to all eleven, which Table S1 contradicts for eight of them. The twelfth section, S2-Top (normal breast), is not in HEST; the TENX194 id is absent from every release table.",Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,"Section 1, bottom",https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,"Janesick AS, Kravitz SN, Stauffer W, Valencia M, Taylor SEB. 'Biomarker Quantification in Breast Cancer using Xenium In Situ.' bioRxiv 10.64898/2025.12.08.692193, posted 2025-12-11 (Crossref record read 2026-09-22 via api.crossref.org; JATS full text via biorxiv.org/content/early/2025/12/11/2025.12.08.692193.source.xml); Methods sections 'Biomaterials' and 'Serial Section IHC and Post-Xenium H&E'; Supplemental Table S1 in supplementary file media-1.xlsx (692193_file03.xlsx)"
institution_breast_xenium,TENX195,False,Patient 2,https://doi.org/10.64898/2025.12.08.692193,"Methods, Biomaterials: 'Human breast FFPE-preserved blocks were obtained from Avaden, BioIVT, and Discovery Life Sciences. The sample set comprised 11 blocks representing a range of breast cancer stages and grades, including both DCIS and invasive lesions, as well as one normal breast tissue sample (see Supplemental Table S1).' Results: variance 'was calculated across tumor cells from all 11 breast cancer sections (excluding normal - #S2-Top)'. Supplemental Table S1 gives one disease, stage, grade and hormone status per section; S2-Middle is DCIS, T1c N1 MX, G2, HER2-2+. Twelve sections, twelve distinct clinical profiles, eleven cancer blocks plus one normal.",breastXen_biomarker_S2-Middle,contradicted,10x Genomics,verified,unresolved: https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,DCIS,not stated in source,FFPE,"Olympus VS200 (post-Xenium H&E); Xenium Analyzer, onboard analysis v4.0",0.2739744019366152,0.2738125686704808,,not stated in source; source states the H&E scanner (Olympus VS200) and the VSI-to-OME.tif conversion in QuPath 0.5.1 but no pixel size or objective,False,unresolved,"HEST calls this section 'Section 2, middle' and labels it 'Patient 2', grouping the three sections of each Section number under one patient. The source does not support that grouping: it states eleven cancer blocks for the eleven cancer sections, and Supplemental Table S1 gives each section its own stage, grade and hormone status. The natural reading is that S1 to S4 are the four Xenium slides and top/middle/bottom are the three tissue pieces on each slide, so this set contributes eleven donors, not four. The source states blocks rather than donors, so the one-donor-per-block step is not positively stated; it is the reading the clinical table supports. HEST also assigns oncotree IDC to all eleven, which Table S1 contradicts for eight of them. The twelfth section, S2-Top (normal breast), is not in HEST; the TENX194 id is absent from every release table.",Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,"Section 2, middle",https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,"Janesick AS, Kravitz SN, Stauffer W, Valencia M, Taylor SEB. 'Biomarker Quantification in Breast Cancer using Xenium In Situ.' bioRxiv 10.64898/2025.12.08.692193, posted 2025-12-11 (Crossref record read 2026-09-22 via api.crossref.org; JATS full text via biorxiv.org/content/early/2025/12/11/2025.12.08.692193.source.xml); Methods sections 'Biomaterials' and 'Serial Section IHC and Post-Xenium H&E'; Supplemental Table S1 in supplementary file media-1.xlsx (692193_file03.xlsx)"
institution_breast_xenium,TENX196,False,Patient 2,https://doi.org/10.64898/2025.12.08.692193,"Methods, Biomaterials: 'Human breast FFPE-preserved blocks were obtained from Avaden, BioIVT, and Discovery Life Sciences. The sample set comprised 11 blocks representing a range of breast cancer stages and grades, including both DCIS and invasive lesions, as well as one normal breast tissue sample (see Supplemental Table S1).' Results: variance 'was calculated across tumor cells from all 11 breast cancer sections (excluding normal - #S2-Top)'. Supplemental Table S1 gives one disease, stage, grade and hormone status per section; S2-Bottom is DCIS, Tis NX MX, G3, HER2-3+. Twelve sections, twelve distinct clinical profiles, eleven cancer blocks plus one normal.",breastXen_biomarker_S2-Bottom,contradicted,10x Genomics,verified,unresolved: https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,DCIS,not stated in source,FFPE,"Olympus VS200 (post-Xenium H&E); Xenium Analyzer, onboard analysis v4.0",0.2740778908045294,0.2738071182184137,,not stated in source; source states the H&E scanner (Olympus VS200) and the VSI-to-OME.tif conversion in QuPath 0.5.1 but no pixel size or objective,False,unresolved,"HEST calls this section 'Section 2, bottom' and labels it 'Patient 2', grouping the three sections of each Section number under one patient. The source does not support that grouping: it states eleven cancer blocks for the eleven cancer sections, and Supplemental Table S1 gives each section its own stage, grade and hormone status. The natural reading is that S1 to S4 are the four Xenium slides and top/middle/bottom are the three tissue pieces on each slide, so this set contributes eleven donors, not four. The source states blocks rather than donors, so the one-donor-per-block step is not positively stated; it is the reading the clinical table supports. HEST also assigns oncotree IDC to all eleven, which Table S1 contradicts for eight of them. The twelfth section, S2-Top (normal breast), is not in HEST; the TENX194 id is absent from every release table.",Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,"Section 2, bottom",https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,"Janesick AS, Kravitz SN, Stauffer W, Valencia M, Taylor SEB. 'Biomarker Quantification in Breast Cancer using Xenium In Situ.' bioRxiv 10.64898/2025.12.08.692193, posted 2025-12-11 (Crossref record read 2026-09-22 via api.crossref.org; JATS full text via biorxiv.org/content/early/2025/12/11/2025.12.08.692193.source.xml); Methods sections 'Biomaterials' and 'Serial Section IHC and Post-Xenium H&E'; Supplemental Table S1 in supplementary file media-1.xlsx (692193_file03.xlsx)"
institution_breast_xenium,TENX197,False,Patient 3,https://doi.org/10.64898/2025.12.08.692193,"Methods, Biomaterials: 'Human breast FFPE-preserved blocks were obtained from Avaden, BioIVT, and Discovery Life Sciences. The sample set comprised 11 blocks representing a range of breast cancer stages and grades, including both DCIS and invasive lesions, as well as one normal breast tissue sample (see Supplemental Table S1).' Results: variance 'was calculated across tumor cells from all 11 breast cancer sections (excluding normal - #S2-Top)'. Supplemental Table S1 gives one disease, stage, grade and hormone status per section; S3-Top is CCH/DCIS, Tis N0, G2, ER+/PR+/HER2-1+. Twelve sections, twelve distinct clinical profiles, eleven cancer blocks plus one normal.",breastXen_biomarker_S3-Top,contradicted,10x Genomics,verified,unresolved: https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,CCH/DCIS,not stated in source,FFPE,"Olympus VS200 (post-Xenium H&E); Xenium Analyzer, onboard analysis v4.0",0.2740442248237784,0.2738129585323143,,not stated in source; source states the H&E scanner (Olympus VS200) and the VSI-to-OME.tif conversion in QuPath 0.5.1 but no pixel size or objective,False,unresolved,"HEST calls this section 'Section 3, top' and labels it 'Patient 3', grouping the three sections of each Section number under one patient. The source does not support that grouping: it states eleven cancer blocks for the eleven cancer sections, and Supplemental Table S1 gives each section its own stage, grade and hormone status. The natural reading is that S1 to S4 are the four Xenium slides and top/middle/bottom are the three tissue pieces on each slide, so this set contributes eleven donors, not four. The source states blocks rather than donors, so the one-donor-per-block step is not positively stated; it is the reading the clinical table supports. HEST also assigns oncotree IDC to all eleven, which Table S1 contradicts for eight of them. The twelfth section, S2-Top (normal breast), is not in HEST; the TENX194 id is absent from every release table.",Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,"Section 3, top",https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,"Janesick AS, Kravitz SN, Stauffer W, Valencia M, Taylor SEB. 'Biomarker Quantification in Breast Cancer using Xenium In Situ.' bioRxiv 10.64898/2025.12.08.692193, posted 2025-12-11 (Crossref record read 2026-09-22 via api.crossref.org; JATS full text via biorxiv.org/content/early/2025/12/11/2025.12.08.692193.source.xml); Methods sections 'Biomaterials' and 'Serial Section IHC and Post-Xenium H&E'; Supplemental Table S1 in supplementary file media-1.xlsx (692193_file03.xlsx)"
institution_breast_xenium,TENX198,False,Patient 3,https://doi.org/10.64898/2025.12.08.692193,"Methods, Biomaterials: 'Human breast FFPE-preserved blocks were obtained from Avaden, BioIVT, and Discovery Life Sciences. The sample set comprised 11 blocks representing a range of breast cancer stages and grades, including both DCIS and invasive lesions, as well as one normal breast tissue sample (see Supplemental Table S1).' Results: variance 'was calculated across tumor cells from all 11 breast cancer sections (excluding normal - #S2-Top)'. Supplemental Table S1 gives one disease, stage, grade and hormone status per section; S3-Middle is DCIS, T4b N3a M1, G2, ER+/PR+/HER2-2+. Twelve sections, twelve distinct clinical profiles, eleven cancer blocks plus one normal.",breastXen_biomarker_S3-Middle,contradicted,10x Genomics,verified,unresolved: https://www.biorxiv.org/content/10.64898/2025.12.08.692193v1,DCIS,not stated in source,FFPE,"Olympus VS200 (post-Xenium H&E); Xenium Analyzer, onboard analysis v4.0",0.2741103762473849,0.2738134683533101,,not stated in source; source states the H&E scanner (Olympus VS200) and the VSI-to-OME.tif conversion in QuPath 0.5.1 but no pixel size or objective,False,unresolved,"HEST calls this section 'Section 3, middle' and labels it 'Patient 3', grouping the three sections of each Section number under one patient. The source does not support that grouping: it states eleven cancer blocks for the eleven cancer sections, and Supplemental Table S1 gives each section its own stage, grade and hormone status. The natural reading is that S1 to S4 are the four Xenium slides and top/middle/bottom are the three tissue pieces on each slide, so this set contributes eleven donors, not four. The source states blocks rather than donors, so the one-donor-per-block step is not positively stated; it is the reading the clinical table supports. HEST also assigns oncotree IDC to all eleven, which Table S1 contradicts for eight of them. The twelfth section, S2-Top (normal breast), is not in HEST; the TENX194 id is absent from every release table.",Xenium v1 Human Breast FFPE with Biomarkers & Housekeeping Genes Custom Panel,"Section 3, middle",https://www.10xgenomics.com/datasets/xenium-ffpe-human-breast-biomarkers,"Janesick AS, Kravitz SN, Stauffer W, Valencia M, Taylor SEB. 'Biomarker Quantification in Breast Cancer using Xenium In Situ.' bioRxiv 10.64898/2025.12.08.692193, posted 2025-12-11 (Crossref record read 2026-09-22 via api.crossref.org; JATS full text via biorxiv.org/content/early/2025/12/11/2025.12.08.692193.source.xml); Methods sections 'Biomaterials' and 'Serial Section IHC and Post-Xenium H&E'; Supplemental Table S1 in supplementary file media-1.xlsx (692193_file03.xlsx)"
