set,sample_id,n_obs,n_obs_unique,obs_unique,n_patch,n_patch_unique,n_rows_selection_would_return,one_row_per_patch_barcode,var_unique,n_var
kidney_visium_cell,INT1,1084,1084,True,1032,1032,1032,True,True,36601
kidney_visium_cell,INT10,1983,1983,True,1971,1971,1971,True,True,36601
kidney_visium_cell,INT11,1439,1439,True,1400,1400,1400,True,True,36601
kidney_visium_cell,INT12,1451,1451,True,1450,1450,1450,True,True,36601
kidney_visium_cell,INT13,4359,4359,True,4359,4359,4359,True,True,17943
kidney_visium_cell,INT14,4562,4562,True,4559,4559,4559,True,True,17943
kidney_visium_cell,INT15,4940,4940,True,4940,4940,4940,True,True,17943
kidney_visium_cell,INT16,3206,3206,True,3202,3202,3202,True,True,17943
kidney_visium_cell,INT17,3585,3585,True,3584,3584,3584,True,True,17943
kidney_visium_cell,INT18,4915,4915,True,4914,4914,4914,True,True,17943
kidney_visium_cell,INT19,4948,4948,True,4948,4948,4948,True,True,17943
kidney_visium_cell,INT2,2580,2580,True,2541,2541,2541,True,True,36601
kidney_visium_cell,INT20,4860,4860,True,4860,4860,4860,True,True,17943
kidney_visium_cell,INT21,4975,4975,True,4960,4960,4960,True,True,17943
kidney_visium_cell,INT22,3829,3829,True,3826,3826,3826,True,True,17943
kidney_visium_cell,INT23,4755,4755,True,4755,4755,4755,True,True,17943
kidney_visium_cell,INT24,4510,4510,True,4483,4483,4483,True,True,17943
kidney_visium_cell,INT3,2007,2007,True,1973,1973,1973,True,True,36601
kidney_visium_cell,INT4,1349,1349,True,1255,1255,1255,True,True,36601
kidney_visium_cell,INT5,1186,1186,True,1158,1158,1158,True,True,36601
kidney_visium_cell,INT6,1678,1678,True,1667,1667,1667,True,True,36601
kidney_visium_cell,INT7,2374,2374,True,2361,2361,2361,True,True,36601
kidney_visium_cell,INT8,1949,1949,True,1924,1924,1924,True,True,36601
kidney_visium_cell,INT9,1696,1696,True,1691,1691,1691,True,True,36601
kidney_visium_cell,NCBI538,469,469,True,427,427,427,True,True,33538
kidney_visium_cell,NCBI539,475,475,True,406,406,406,True,True,33538
kidney_visium_cell,NCBI540,413,413,True,359,359,359,True,True,33538
kidney_visium_cell,NCBI562,2468,2468,True,2433,2433,2433,True,True,36601
kidney_visium_cell,NCBI563,1376,1376,True,1344,1344,1344,True,True,36601
kidney_visium_cell,NCBI564,262,262,True,198,198,198,True,True,36601
kidney_visium_cell,NCBI565,1085,1085,True,1017,1017,1017,True,True,36601
kidney_visium_cell,NCBI566,939,939,True,900,900,900,True,True,36601
kidney_visium_cell,NCBI567,817,817,True,805,805,805,True,True,36601
kidney_visium_cell,NCBI568,2438,2438,True,2391,2391,2391,True,True,36601
kidney_visium_cell,NCBI692,370,370,True,357,357,357,True,True,36601
kidney_visium_cell,NCBI693,507,507,True,502,502,502,True,True,36601
kidney_visium_cell,NCBI694,640,640,True,640,640,640,True,True,36601
kidney_visium_cell,NCBI695,673,673,True,671,671,671,True,True,36601
kidney_visium_cell,NCBI696,645,645,True,645,645,645,True,True,36601
kidney_visium_cell,NCBI697,317,317,True,303,303,303,True,True,36601
kidney_visium_cell,NCBI698,407,407,True,405,405,405,True,True,36601
kidney_visium_cell,NCBI699,787,787,True,787,787,787,True,True,36601
kidney_visium_cell,NCBI700,601,601,True,601,601,601,True,True,36601
kidney_visium_cell,NCBI701,904,904,True,903,903,903,True,True,36601
kidney_visium_cell,NCBI702,461,461,True,458,458,458,True,True,36601
kidney_visium_cell,NCBI703,453,453,True,450,450,450,True,True,36601
kidney_visium_cell,NCBI704,534,534,True,524,524,524,True,True,36601
kidney_visium_cell,NCBI705,560,560,True,551,551,551,True,True,36601
kidney_visium_cell,NCBI706,673,673,True,664,664,664,True,True,36601
kidney_visium_cell,NCBI707,673,673,True,673,673,673,True,True,36601
kidney_visium_cell,NCBI708,1322,1322,True,1276,1276,1276,True,True,36601
kidney_visium_cell,NCBI709,1034,1034,True,1029,1029,1029,True,True,36601
kidney_visium_cell,NCBI710,956,956,True,951,951,951,True,True,36601
kidney_visium_cell,NCBI711,2627,2627,True,2622,2622,2622,True,True,36601
kidney_visium_cell,NCBI712,4166,4166,True,4159,4159,4159,True,True,36601
kidney_visium_cell,NCBI713,3627,3627,True,3622,3622,3622,True,True,36601
kidney_visium_cell,NCBI714,3007,3007,True,3003,3003,3003,True,True,33538
kidney_visium_cell,TENX71,5936,5936,True,5896,5896,5896,True,True,18085
institution_breast_xenium,NCBI783,3869,3869,True,3501,3501,3501,True,True,541
institution_breast_xenium,NCBI784,4180,4180,True,2901,2901,2901,True,True,541
institution_breast_xenium,NCBI785,4180,4180,True,4074,4074,4074,True,True,541
institution_breast_xenium,TENX191,6111,6111,True,4949,4949,4949,True,True,541
institution_breast_xenium,TENX192,7972,7972,True,6347,6347,6347,True,True,541
institution_breast_xenium,TENX193,8987,8987,True,8021,8021,8021,True,True,541
institution_breast_xenium,TENX195,6824,6824,True,6254,6254,6254,True,True,541
institution_breast_xenium,TENX196,10020,10020,True,9103,9103,9103,True,True,541
institution_breast_xenium,TENX197,10083,10083,True,9119,9119,9119,True,True,541
institution_breast_xenium,TENX198,8307,8307,True,7221,7221,7221,True,True,541
institution_breast_xenium,TENX199,3285,3285,True,2259,2259,2259,True,True,541
institution_breast_xenium,TENX200,6410,6410,True,4657,4657,4657,True,True,541
institution_breast_xenium,TENX201,6993,6993,True,5488,5488,5488,True,True,541
institution_breast_xenium,TENX202,5599,5599,True,4291,4291,4291,True,True,541
institution_breast_xenium,TENX95,11845,11845,True,7592,7592,7592,True,True,541
institution_breast_xenium,TENX97,11845,11845,True,7718,7718,7718,True,True,541
institution_breast_xenium,TENX98,26070,26070,True,20289,20289,20289,True,True,541
institution_breast_xenium,TENX99,23060,23060,True,20549,20549,20549,True,True,541
bench_CCRCC,INT1,1084,1084,True,1084,1084,1084,True,True,36601
bench_CCRCC,INT10,1983,1983,True,1983,1983,1983,True,True,36601
bench_CCRCC,INT11,1439,1439,True,1439,1439,1439,True,True,36601
bench_CCRCC,INT12,1451,1451,True,1451,1451,1451,True,True,36601
bench_CCRCC,INT13,4359,4359,True,4359,4359,4359,True,True,17943
bench_CCRCC,INT14,4562,4562,True,4562,4562,4562,True,True,17943
bench_CCRCC,INT15,4940,4940,True,4940,4940,4940,True,True,17943
bench_CCRCC,INT16,3206,3206,True,3206,3206,3206,True,True,17943
bench_CCRCC,INT17,3585,3585,True,3585,3585,3585,True,True,17943
bench_CCRCC,INT18,4915,4915,True,4915,4915,4915,True,True,17943
bench_CCRCC,INT19,4948,4948,True,4948,4948,4948,True,True,17943
bench_CCRCC,INT2,2580,2580,True,2580,2580,2580,True,True,36601
bench_CCRCC,INT20,4860,4860,True,4860,4860,4860,True,True,17943
bench_CCRCC,INT21,4975,4975,True,4975,4975,4975,True,True,17943
bench_CCRCC,INT22,3829,3829,True,3829,3829,3829,True,True,17943
bench_CCRCC,INT23,4755,4755,True,4755,4755,4755,True,True,17943
bench_CCRCC,INT24,4510,4510,True,4510,4510,4510,True,True,17943
bench_CCRCC,INT3,2007,2007,True,2007,2007,2007,True,True,36601
bench_CCRCC,INT4,1349,1349,True,1349,1349,1349,True,True,36601
bench_CCRCC,INT5,1186,1186,True,1186,1186,1186,True,True,36601
bench_CCRCC,INT6,1678,1678,True,1678,1678,1678,True,True,36601
bench_CCRCC,INT7,2374,2374,True,2374,2374,2374,True,True,36601
bench_CCRCC,INT8,1949,1949,True,1949,1949,1949,True,True,36601
bench_CCRCC,INT9,1696,1696,True,1696,1696,1696,True,True,36601
bench_IDC,NCBI783,3869,3869,True,3005,3005,3005,True,True,541
bench_IDC,NCBI785,4180,4180,True,4010,4010,4010,True,True,541
bench_IDC,TENX95,11845,11845,True,7760,7760,7760,True,True,541
bench_IDC,TENX99,25080,25080,True,20761,20761,20761,True,True,541
