task,design,fold,repeat,n_genes,n_selected,n_off_panel,genes_off_panel,n_common_genes,n_selection_samples,n_selection_spots,selection_material,seconds,genes
BREAST_XENIUM,pool,breastXen_10x_Avaden_block,-1,50,50,0,,90,16,93495,all_spots_of_samples,1.7,ADH1B;ANKRD30A;APOC1;AQP1;BANK1;C15orf48;CD3E;CD68;CEACAM6;CXCR4;DSP;DST;EGFR;ERBB2;ESR1;FASN;FOXA1;GPR183;IL2RG;IL7R;KIT;KRT23;KRT5;KRT6B;LDHB;LYPD3;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;MYLK;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;S100A8;SCGB2A1;SERHL2;SERPINA3;SFRP1;STC1;TACSTD2;TOP2A;TPD52
BREAST_XENIUM,pool,breastXen_10x_BioIVT_block,-1,50,50,0,,90,16,119023,all_spots_of_samples,1.6,ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD3E;CEACAM6;CPA3;CYTIP;EGFR;EPCAM;ERBB2;ESR1;FASN;GPR183;IL7R;KIT;KRT14;KRT23;KRT5;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A8;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC;VWF
BREAST_XENIUM,pool,breastXen_Janesick_Sample1,-1,50,50,0,,90,16,127358,all_spots_of_samples,1.6,ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD3E;CD8A;CEACAM6;CPA3;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;FOXA1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LDHB;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;OPRPN;PGR;PIGR;PTN;S100A14;S100A8;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TENT5C;TFAP2A;TIGIT;TOP2A
BREAST_XENIUM,pool,breastXen_Janesick_Sample2,-1,50,50,0,,90,17,130832,all_spots_of_samples,1.6,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;BANK1;C15orf48;CD3E;CD68;CEACAM6;CYTIP;DSP;DST;EGFR;ERBB2;ESR1;GPR183;IL2RG;KIT;KRT14;KRT23;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A8;SCGB2A1;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TENT5C;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,pool,breastXen_biomarker_S1-Bottom,-1,50,50,0,,90,17,126312,all_spots_of_samples,1.6,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;BANK1;CD8A;CEACAM6;CYTIP;DSP;DST;EGFR;EPCAM;ERBB2;ESR1;FOXA1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LDHB;LYZ;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TENT5C;TFAP2A;TOP2A;TRAC
BREAST_XENIUM,pool,breastXen_biomarker_S1-Middle,-1,50,50,0,,90,17,127986,all_spots_of_samples,1.5,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;AQP1;C15orf48;CD8A;CEACAM6;CPA3;CYTIP;DSP;EGFR;EPCAM;ERBB2;ESR1;GATA3;IL7R;KIT;KRT14;KRT23;KRT5;KRT6B;LDHB;LYZ;MDM2;MLPH;MMP12;MUC6;MYH11;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;S100A8;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TENT5C;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,pool,breastXen_biomarker_S1-Top,-1,50,50,0,,90,17,129384,all_spots_of_samples,1.5,ACTG2;ADH1B;AGR3;ANKRD30A;APOC1;AQP1;AQP3;BANK1;C15orf48;CCR7;CD3E;CD68;CD8A;CEACAM6;CPA3;CYTIP;DSP;DST;EGFR;ERBB2;ESR1;FOXA1;IL2RG;IL7R;KIT;KRT14;KRT5;LPL;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;OPRPN;OXTR;PECAM1;PIGR;PTN;S100A8;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A
BREAST_XENIUM,pool,breastXen_biomarker_S2-Bottom,-1,50,50,0,,90,17,125230,all_spots_of_samples,1.5,ADH1B;AGR3;ANKRD30A;APOC1;AQP1;AQP3;BANK1;C15orf48;CD3E;CD68;CEACAM6;CXCL12;CYTIP;DSP;EGFR;EPCAM;ERBB2;ESR1;IL2RG;IL7R;KIT;KRT14;KRT23;KRT5;KRT6B;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;OPRPN;OXTR;PECAM1;PGR;PIGR;PTN;S100A8;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TPD52;TRAC
BREAST_XENIUM,pool,breastXen_biomarker_S2-Middle,-1,50,50,0,,90,17,128079,all_spots_of_samples,1.5,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;BANK1;C15orf48;CD8A;CEACAM6;CPA3;DSP;EGFR;EPCAM;ERBB2;ESR1;FOXA1;IL2RG;IL7R;KIT;KRT14;KRT23;KRT5;KRT6B;LDHB;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;NDUFA4L2;OPRPN;PGR;PIGR;PTN;S100A8;SCGB2A1;SERHL2;SERPINA3;SFRP1;SFRP4;STC1;TACSTD2;TFAP2A;TOP2A;TRAC
BREAST_XENIUM,pool,breastXen_biomarker_S3-Bottom,-1,50,50,0,,90,17,132074,all_spots_of_samples,1.6,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;C15orf48;CD68;CD8A;CEACAM6;CYTIP;DSP;EPCAM;ERBB2;ESR1;FOXA1;GPR183;IL2RG;IL7R;KIT;KRT14;KRT23;KRT6B;LDHB;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;MYLK;NDUFA4L2;OPRPN;OXTR;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;STC1;TACSTD2;TFAP2A;TOP2A;TRAC
BREAST_XENIUM,pool,breastXen_biomarker_S3-Middle,-1,50,50,0,,90,17,127112,all_spots_of_samples,1.5,ACTG2;ADH1B;ADIPOQ;AGR3;ANKRD30A;APOC1;AQP1;AQP3;BANK1;C15orf48;CD68;CEACAM6;DSP;EGFR;EPCAM;ERBB2;ESR1;FASN;IL2RG;IL7R;KIT;KRT14;KRT23;KRT5;KRT6B;LDHB;LYPD3;LYZ;MDM2;MLPH;MMP12;MS4A1;MUC6;MYH11;OPRPN;OXTR;PECAM1;PGR;PIGR;PTN;S100A14;SCGB2A1;SERHL2;SERPINA3;SFRP1;STC1;TACSTD2;TFAP2A;TOP2A;TRAC
