encoder,stratum,level,design,method,n_slides,n_donor_groups,n_cells,coverage,width_mean,interval_score,miss_above,miss_below,slides
hoptimus0,instrument_generation_by_sample,production,donor,pooled_quantile,15,13,2250,0.8946848473610933,3.6534230963793446,4.995061096773527,0.0563004508746504,0.0490147017642562,TENX191;TENX192;TENX193;TENX195;TENX196;TENX197;TENX198;TENX199;TENX200;TENX201;TENX202;TENX95;TENX97;TENX98;TENX99
hoptimus0,instrument_generation_by_sample,prototype,donor,pooled_quantile,3,2,450,0.807325548785568,3.703652654741739,6.360668289358718,0.15986356463545,0.0328108865789819,NCBI783;NCBI784;NCBI785
hoptimus0,instrument_generation_by_sample,production,random,pooled_quantile,15,13,18750,0.8930567919948499,2.316960573943442,3.190888059326016,0.055383074375137,0.0515601336300131,TENX191;TENX192;TENX193;TENX195;TENX196;TENX197;TENX198;TENX199;TENX200;TENX201;TENX202;TENX95;TENX97;TENX98;TENX99
hoptimus0,instrument_generation_by_sample,prototype,random,pooled_quantile,3,2,3750,0.8640511928696997,2.3169605739434425,3.55035558129683,0.0724606959989391,0.0634881111313612,NCBI783;NCBI784;NCBI785
hoptimus0,instrument_generation_by_donor_group,production,donor,pooled_quantile,15,13,2250,0.8946848473610933,3.6534230963793446,4.995061096773527,0.0563004508746504,0.0490147017642562,TENX191;TENX192;TENX193;TENX195;TENX196;TENX197;TENX198;TENX199;TENX200;TENX201;TENX202;TENX95;TENX97;TENX98;TENX99
hoptimus0,instrument_generation_by_donor_group,prototype,donor,pooled_quantile,3,2,450,0.807325548785568,3.703652654741739,6.360668289358718,0.15986356463545,0.0328108865789819,NCBI783;NCBI784;NCBI785
hoptimus0,instrument_generation_by_donor_group,production,random,pooled_quantile,15,13,18750,0.8930567919948499,2.316960573943442,3.190888059326016,0.055383074375137,0.0515601336300131,TENX191;TENX192;TENX193;TENX195;TENX196;TENX197;TENX198;TENX199;TENX200;TENX201;TENX202;TENX95;TENX97;TENX98;TENX99
hoptimus0,instrument_generation_by_donor_group,prototype,random,pooled_quantile,3,2,3750,0.8640511928696997,2.3169605739434425,3.55035558129683,0.0724606959989391,0.0634881111313612,NCBI783;NCBI784;NCBI785
hoptimus0,disease,CCH_DCIS,donor,pooled_quantile,1,1,150,0.931553167379464,3.77915446582794,4.591564192577883,0.0219512373432759,0.0464955952772599,TENX197
hoptimus0,disease,DCIS,donor,pooled_quantile,7,7,1050,0.878664394180399,3.5993829714515537,5.208399290155098,0.0678136644925865,0.0535219413270146,TENX192;TENX193;TENX195;TENX196;TENX198;TENX199;TENX202
hoptimus0,disease,IDC,donor,pooled_quantile,10,7,1500,0.876004543013085,3.693746914392656,5.2957562096015485,0.0827450568234725,0.0412504001634427,NCBI783;NCBI784;NCBI785;TENX191;TENX200;TENX201;TENX95;TENX97;TENX98;TENX99
hoptimus0,disease,CCH_DCIS,random,pooled_quantile,1,1,1250,0.9016303774390484,2.3169605739434425,3.174792218896508,0.0478740509505068,0.0504955716104449,TENX197
hoptimus0,disease,DCIS,random,pooled_quantile,7,7,8750,0.8791777866603236,2.3169605739434425,3.320359582288663,0.0627406200208039,0.0580815933188724,TENX192;TENX193;TENX195;TENX196;TENX198;TENX199;TENX202
hoptimus0,disease,IDC,random,pooled_quantile,10,7,12500,0.8932130574470531,2.3169605739434425,3.2097078338863585,0.0561069812527739,0.0506799613001728,NCBI783;NCBI784;NCBI785;TENX191;TENX200;TENX201;TENX95;TENX97;TENX98;TENX99
resnet50,instrument_generation_by_sample,production,donor,pooled_quantile,15,13,2250,0.8960844587706537,4.215096319394023,5.622873450641809,0.0554080974283378,0.0485074438010085,TENX191;TENX192;TENX193;TENX195;TENX196;TENX197;TENX198;TENX199;TENX200;TENX201;TENX202;TENX95;TENX97;TENX98;TENX99
resnet50,instrument_generation_by_sample,prototype,donor,pooled_quantile,3,2,450,0.7921350183899931,4.058204162192298,7.333772967699629,0.1863599944765048,0.021504987133502,NCBI783;NCBI784;NCBI785
resnet50,instrument_generation_by_sample,production,random,pooled_quantile,15,13,18750,0.888222475270596,2.9432050188776007,4.0766441398231175,0.0604746453269206,0.0513028794024834,TENX191;TENX192;TENX193;TENX195;TENX196;TENX197;TENX198;TENX199;TENX200;TENX201;TENX202;TENX95;TENX97;TENX98;TENX99
resnet50,instrument_generation_by_sample,prototype,random,pooled_quantile,3,2,3750,0.8812179687039338,2.9432050188776007,4.1849950715555,0.0757688328087584,0.0430131984873078,NCBI783;NCBI784;NCBI785
resnet50,instrument_generation_by_donor_group,production,donor,pooled_quantile,15,13,2250,0.8960844587706537,4.215096319394023,5.622873450641809,0.0554080974283378,0.0485074438010085,TENX191;TENX192;TENX193;TENX195;TENX196;TENX197;TENX198;TENX199;TENX200;TENX201;TENX202;TENX95;TENX97;TENX98;TENX99
resnet50,instrument_generation_by_donor_group,prototype,donor,pooled_quantile,3,2,450,0.7921350183899931,4.058204162192298,7.333772967699629,0.1863599944765048,0.021504987133502,NCBI783;NCBI784;NCBI785
resnet50,instrument_generation_by_donor_group,production,random,pooled_quantile,15,13,18750,0.888222475270596,2.9432050188776007,4.0766441398231175,0.0604746453269206,0.0513028794024834,TENX191;TENX192;TENX193;TENX195;TENX196;TENX197;TENX198;TENX199;TENX200;TENX201;TENX202;TENX95;TENX97;TENX98;TENX99
resnet50,instrument_generation_by_donor_group,prototype,random,pooled_quantile,3,2,3750,0.8812179687039338,2.9432050188776007,4.1849950715555,0.0757688328087584,0.0430131984873078,NCBI783;NCBI784;NCBI785
resnet50,disease,CCH_DCIS,donor,pooled_quantile,1,1,150,0.9056051467631684,4.191257277290515,5.416888176183412,0.0372694374383156,0.0571254157985159,TENX197
resnet50,disease,DCIS,donor,pooled_quantile,7,7,1050,0.8945034181981139,4.182983532230551,5.582818457452151,0.0588068810080273,0.0466897007938588,TENX192;TENX193;TENX195;TENX196;TENX198;TENX199;TENX202
resnet50,disease,IDC,donor,pooled_quantile,10,7,1500,0.8650542862579819,4.192891527458287,6.184780328437756,0.0941283840360074,0.0408173297060106,NCBI783;NCBI784;NCBI785;TENX191;TENX200;TENX201;TENX95;TENX97;TENX98;TENX99
resnet50,disease,CCH_DCIS,random,pooled_quantile,1,1,1250,0.8800849925694719,2.9432050188776007,4.251673169953807,0.053869716043175,0.0660452913873529,TENX197
resnet50,disease,DCIS,random,pooled_quantile,7,7,8750,0.8728458687349274,2.9432050188776007,4.255236077704575,0.0685655823401017,0.0585885489249707,TENX192;TENX193;TENX195;TENX196;TENX198;TENX199;TENX202
resnet50,disease,IDC,random,pooled_quantile,10,7,12500,0.8976984961456776,2.9432050188776007,3.9666321598127423,0.0600597385906197,0.0422417652637026,NCBI783;NCBI784;NCBI785;TENX191;TENX200;TENX201;TENX95;TENX97;TENX98;TENX99
uni_v2,instrument_generation_by_sample,production,donor,pooled_quantile,15,13,2250,0.8936728581822004,3.562434048355957,4.878691546387566,0.0565338065470726,0.0497933352707269,TENX191;TENX192;TENX193;TENX195;TENX196;TENX197;TENX198;TENX199;TENX200;TENX201;TENX202;TENX95;TENX97;TENX98;TENX99
uni_v2,instrument_generation_by_sample,prototype,donor,pooled_quantile,3,2,450,0.8317419653676691,3.650384281370241,5.774205059183914,0.1330562260567004,0.0352018085756304,NCBI783;NCBI784;NCBI785
uni_v2,instrument_generation_by_sample,production,random,pooled_quantile,15,13,18750,0.8933813066331526,2.3326499040698887,3.2036634912504307,0.0543290130988739,0.0522896802679733,TENX191;TENX192;TENX193;TENX195;TENX196;TENX197;TENX198;TENX199;TENX200;TENX201;TENX202;TENX95;TENX97;TENX98;TENX99
uni_v2,instrument_generation_by_sample,prototype,random,pooled_quantile,3,2,3750,0.8600153675001659,2.3326499040698887,3.60178182168921,0.0752535842497683,0.0647310482500657,NCBI783;NCBI784;NCBI785
uni_v2,instrument_generation_by_donor_group,production,donor,pooled_quantile,15,13,2250,0.8936728581822004,3.562434048355957,4.878691546387566,0.0565338065470726,0.0497933352707269,TENX191;TENX192;TENX193;TENX195;TENX196;TENX197;TENX198;TENX199;TENX200;TENX201;TENX202;TENX95;TENX97;TENX98;TENX99
