arm,task,encoder,design,method,fold,coverage,width_mean,width_median_of_cells,interval_score,miss_above,miss_below,width_mean_spotgene,width_median_spotgene,n_T,n_C,n_eff
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,kidVis_atlas_21-015,0.9930038555906064,3.01264162086069,3.01264162086069,3.035779818873519,0.0068419207851384,0.0001542236242551,3.01264162086069,2.8886400114366175,15969.666666666666,12637.0,7965.802447336943
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,kidVis_atlas_21-019,0.9918367346938776,3.0690219692026797,3.06902196920268,3.1043999885016333,0.0080855199222546,7.774538386783285e-05,3.06902196920268,2.889898231050308,15072.666666666666,11810.333333333334,7027.732726396846
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,kidVis_atlas_27-10066,0.9780576131687244,3.023734784171794,3.0237347841717934,3.1324585204080733,0.0219423868312757,0.0,3.0237347841717934,2.867275351625163,15754.0,13727.666666666666,8617.962447303524
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,kidVis_atlas_28-12265,0.9935594113749898,3.012032307977274,3.0120323079772735,3.0390614014946027,0.0063968157250375,4.377289997275779e-05,3.012032307977274,2.8499971488730935,15799.666666666666,11470.333333333334,7202.332988384696
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,kidVis_atlas_29-10012,0.9904618473895582,3.2142133938416273,3.214213393841627,3.2707911095247364,0.009508032128514,3.0120481927710845e-05,3.214213393841627,3.0156021545392804,15576.0,14130.666666666666,8042.812993353967
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,kidVis_atlas_29-10013,0.9975631500742942,2.911525508997784,2.911525508997784,2.92088160956868,0.0021495789995047,0.000287270926201,2.911525508997784,2.74941901621362,16135.0,12195.333333333334,7483.456131298721
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,kidVis_atlas_29-10280,0.9941681790683606,2.9549260790411704,2.9549260790411704,2.9857152740690345,0.005178463399879,0.0006533575317604,2.9549260790411704,2.8034039581586083,14987.0,13810.0,8276.477453870715
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,kidVis_atlas_29-10282,0.9937568826768318,3.0645234606185707,3.0645234606185707,3.0895666721082993,0.005412960609911,0.000830156713257,3.0645234606185716,2.9301489087156067,16135.0,11724.333333333334,6969.957734824224
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,kidVis_atlas_29-10404,0.993422222222222,3.12691222642974,3.12691222642974,3.1574219779556008,0.0064888888888888,8.888888888888889e-05,3.12691222642974,2.980466442106703,16135.0,11138.333333333334,7479.999599939241
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,kidVis_atlas_30-10125,0.993095607235142,2.970552059840285,2.970552059840285,2.997909207733477,0.0066770025839793,0.0002273901808785,2.970552059840285,2.7722230543308286,16135.0,12317.333333333334,7670.721478583228
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,kidVis_atlas_30-10631,0.9908333333333332,2.9745675066795094,2.9745675066795094,3.027681788713012,0.0086979166666666,0.00046875,2.9745675066795094,2.8211289121995944,15917.333333333334,12903.0,7500.045955189577
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,kidVis_atlas_30-10929,0.9751925630810092,2.99518741715939,2.9951874171593897,3.132179135693079,0.0240903054448871,0.0007171314741035,2.9951874171593897,2.8544244975243553,16135.0,13339.333333333334,8087.589222026458
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,kidVis_atlas_31-10042,0.9862118691070436,3.020307425091643,3.020307425091642,3.103631068076244,0.0137770382695507,1.1092623405435387e-05,3.020307425091642,2.882174932144052,16135.0,13102.666666666666,7638.014999446594
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,kidVis_atlas_31-10221,0.9912722646310432,2.992736709403637,2.992736709403637,3.0351962360053633,0.0085368956743002,0.0001908396946564,2.992736709403637,2.8046636524454125,16135.0,11288.0,7437.95911472811
indiana,INDIANA_KIDNEY,hoptimus0,a4b_k10,hcp_w3,kidVis_atlas_32-10003,0.9747152194211018,3.095710731488136,3.095710731488136,3.2273787704075017,0.0252100840336134,7.469654528478058e-05,3.095710731488136,2.9289536658744217,15923.333333333334,12543.666666666666,7761.845717247271
