arm,task,encoder,x,y,n,spearman,p
indiana,INDIANA_KIDNEY,hoptimus0,random_minus_donor,frac_donor,71,0.6229520739613152,6.584773553412208e-09
indiana,INDIANA_KIDNEY,hoptimus0,random_minus_donor,var_donor,71,0.6252495247762769,5.580416178478554e-09
indiana,INDIANA_KIDNEY,hoptimus0,random_minus_a4b_k10,frac_donor,71,0.6290557492607656,4.229542720144979e-09
indiana,INDIANA_KIDNEY,hoptimus0,coverage_donor_pooled_quantile,frac_donor,122,0.0870856790479248,0.3401827976965165
indiana,INDIANA_KIDNEY,hoptimus0,coverage_donor_pooled_quantile,random_minus_donor,71,-0.0045271629778672,0.9701105533399867
indiana,INDIANA_KIDNEY,hoptimus0,pearson_donor,frac_donor,122,-0.1645690241076123,0.0700816078817653
indiana,INDIANA_KIDNEY,resnet50,random_minus_donor,frac_donor,71,0.6047782093056486,2.3288010002855513e-08
indiana,INDIANA_KIDNEY,resnet50,random_minus_donor,var_donor,71,0.6090302078288613,1.7453228527282633e-08
indiana,INDIANA_KIDNEY,resnet50,random_minus_a4b_k10,frac_donor,71,0.6294672329888186,4.1037610355382084e-09
indiana,INDIANA_KIDNEY,resnet50,coverage_donor_pooled_quantile,frac_donor,122,0.1273844412248422,0.162045273471471
indiana,INDIANA_KIDNEY,resnet50,coverage_donor_pooled_quantile,random_minus_donor,71,-0.0102951039570757,0.9320940096888696
indiana,INDIANA_KIDNEY,resnet50,pearson_donor,frac_donor,122,-0.1574836757677322,0.0832051244280146
indiana,INDIANA_KIDNEY,uni_v2,random_minus_donor,frac_donor,71,0.6419831963837588,1.603136581686779e-09
indiana,INDIANA_KIDNEY,uni_v2,random_minus_donor,var_donor,71,0.6400629389861789,1.8569754588863462e-09
indiana,INDIANA_KIDNEY,uni_v2,random_minus_a4b_k10,frac_donor,71,0.6537790632546067,6.350746694417827e-10
indiana,INDIANA_KIDNEY,uni_v2,coverage_donor_pooled_quantile,frac_donor,122,0.1036520695190175,0.2558930043050626
indiana,INDIANA_KIDNEY,uni_v2,coverage_donor_pooled_quantile,random_minus_donor,71,0.0202548625083836,0.8668521289809104
indiana,INDIANA_KIDNEY,uni_v2,pearson_donor,frac_donor,122,-0.1747685517416395,0.0541849915131116
