encoder,sample_id,n_bench_patch,n_hest_patch,n_patch_shared,n_bench_only,n_hest_only,n_bench_expr,n_hest_expr,n_expr_shared,max_abs_count_diff_50genes,expression_identical
hoptimus0,INT1,1084,1032,1032,52,0,1084,1084,1084,0.0,True
hoptimus0,INT10,1983,1971,1971,12,0,1983,1983,1983,0.0,True
hoptimus0,INT11,1439,1400,1400,39,0,1439,1439,1439,0.0,True
hoptimus0,INT12,1451,1450,1450,1,0,1451,1451,1451,0.0,True
hoptimus0,INT13,4359,4359,4359,0,0,4359,4359,4359,0.0,True
hoptimus0,INT14,4562,4559,4559,3,0,4562,4562,4562,0.0,True
hoptimus0,INT15,4940,4940,4940,0,0,4940,4940,4940,0.0,True
hoptimus0,INT16,3206,3202,3202,4,0,3206,3206,3206,0.0,True
hoptimus0,INT17,3585,3584,3584,1,0,3585,3585,3585,0.0,True
hoptimus0,INT18,4915,4914,4914,1,0,4915,4915,4915,0.0,True
hoptimus0,INT19,4948,4948,4948,0,0,4948,4948,4948,0.0,True
hoptimus0,INT2,2580,2541,2541,39,0,2580,2580,2580,0.0,True
hoptimus0,INT20,4860,4860,4860,0,0,4860,4860,4860,0.0,True
hoptimus0,INT21,4975,4960,4960,15,0,4975,4975,4975,0.0,True
hoptimus0,INT22,3829,3826,3826,3,0,3829,3829,3829,0.0,True
hoptimus0,INT23,4755,4755,4755,0,0,4755,4755,4755,0.0,True
hoptimus0,INT24,4510,4483,4483,27,0,4510,4510,4510,0.0,True
hoptimus0,INT3,2007,1973,1973,34,0,2007,2007,2007,0.0,True
hoptimus0,INT4,1349,1255,1255,94,0,1349,1349,1349,0.0,True
hoptimus0,INT5,1186,1158,1158,28,0,1186,1186,1186,0.0,True
hoptimus0,INT6,1678,1667,1667,11,0,1678,1678,1678,0.0,True
hoptimus0,INT7,2374,2361,2361,13,0,2374,2374,2374,0.0,True
hoptimus0,INT8,1949,1924,1924,25,0,1949,1949,1949,0.0,True
hoptimus0,INT9,1696,1691,1691,5,0,1696,1696,1696,0.0,True
resnet50,INT1,1084,1032,1032,52,0,1084,1084,1084,0.0,True
resnet50,INT10,1983,1971,1971,12,0,1983,1983,1983,0.0,True
resnet50,INT11,1439,1400,1400,39,0,1439,1439,1439,0.0,True
resnet50,INT12,1451,1450,1450,1,0,1451,1451,1451,0.0,True
resnet50,INT13,4359,4359,4359,0,0,4359,4359,4359,0.0,True
resnet50,INT14,4562,4559,4559,3,0,4562,4562,4562,0.0,True
resnet50,INT15,4940,4940,4940,0,0,4940,4940,4940,0.0,True
resnet50,INT16,3206,3202,3202,4,0,3206,3206,3206,0.0,True
resnet50,INT17,3585,3584,3584,1,0,3585,3585,3585,0.0,True
resnet50,INT18,4915,4914,4914,1,0,4915,4915,4915,0.0,True
resnet50,INT19,4948,4948,4948,0,0,4948,4948,4948,0.0,True
resnet50,INT2,2580,2541,2541,39,0,2580,2580,2580,0.0,True
resnet50,INT20,4860,4860,4860,0,0,4860,4860,4860,0.0,True
resnet50,INT21,4975,4960,4960,15,0,4975,4975,4975,0.0,True
resnet50,INT22,3829,3826,3826,3,0,3829,3829,3829,0.0,True
resnet50,INT23,4755,4755,4755,0,0,4755,4755,4755,0.0,True
resnet50,INT24,4510,4483,4483,27,0,4510,4510,4510,0.0,True
resnet50,INT3,2007,1973,1973,34,0,2007,2007,2007,0.0,True
resnet50,INT4,1349,1255,1255,94,0,1349,1349,1349,0.0,True
resnet50,INT5,1186,1158,1158,28,0,1186,1186,1186,0.0,True
resnet50,INT6,1678,1667,1667,11,0,1678,1678,1678,0.0,True
resnet50,INT7,2374,2361,2361,13,0,2374,2374,2374,0.0,True
resnet50,INT8,1949,1924,1924,25,0,1949,1949,1949,0.0,True
resnet50,INT9,1696,1691,1691,5,0,1696,1696,1696,0.0,True
uni_v2,INT1,1084,1032,1032,52,0,1084,1084,1084,0.0,True
uni_v2,INT10,1983,1971,1971,12,0,1983,1983,1983,0.0,True
uni_v2,INT11,1439,1400,1400,39,0,1439,1439,1439,0.0,True
uni_v2,INT12,1451,1450,1450,1,0,1451,1451,1451,0.0,True
uni_v2,INT13,4359,4359,4359,0,0,4359,4359,4359,0.0,True
uni_v2,INT14,4562,4559,4559,3,0,4562,4562,4562,0.0,True
uni_v2,INT15,4940,4940,4940,0,0,4940,4940,4940,0.0,True
uni_v2,INT16,3206,3202,3202,4,0,3206,3206,3206,0.0,True
uni_v2,INT17,3585,3584,3584,1,0,3585,3585,3585,0.0,True
uni_v2,INT18,4915,4914,4914,1,0,4915,4915,4915,0.0,True
uni_v2,INT19,4948,4948,4948,0,0,4948,4948,4948,0.0,True
uni_v2,INT2,2580,2541,2541,39,0,2580,2580,2580,0.0,True
uni_v2,INT20,4860,4860,4860,0,0,4860,4860,4860,0.0,True
uni_v2,INT21,4975,4960,4960,15,0,4975,4975,4975,0.0,True
uni_v2,INT22,3829,3826,3826,3,0,3829,3829,3829,0.0,True
