task,sample_id,population,n_patched_spots,n_nuclei,half_width_px,half_width_source,nucleus_spot_pairs,spots_with_nuclei,mean_nuclei_per_spot,classes_present,dead_class_present,patch_attrs
KIDNEY_POP54,INT1,cordeliers_ccRCC,1032,37483,245.13391788015392,112_over_pixel_size_um_estimated,168875,1032,163.6385658914729,connective|epithelial|inflammatory|neoplastic,False,"{""downsample"": ""1.0943478476792592"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4568931177233368""}"
KIDNEY_POP54,INT10,cordeliers_ccRCC,1971,75114,244.5336183204448,112_over_pixel_size_um_estimated,388400,1971,197.05733130390664,connective|epithelial|inflammatory|neoplastic,False,"{""downsample"": ""1.0916679389305561"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4580147333902844""}"
KIDNEY_POP54,INT11,cordeliers_ccRCC,1400,42314,245.279999766984,112_over_pixel_size_um_estimated,234776,1400,167.69714285714286,connective|epithelial|inflammatory|neoplastic,False,"{""downsample"": ""1.095"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.45662100456621""}"
KIDNEY_POP54,INT12,cordeliers_ccRCC,1450,76974,244.7209226527228,112_over_pixel_size_um_estimated,378591,1450,261.09724137931033,connective|epithelial|inflammatory|neoplastic,False,"{""downsample"": ""1.0925041189853701"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4576641783871348""}"
KIDNEY_POP54,INT13,cordeliers_ccRCC,4359,128664,244.8473897690721,112_over_pixel_size_um_estimated,580059,4359,133.07157604955265,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""1.0930687043262155"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4574277884098857""}"
KIDNEY_POP54,INT14,cordeliers_ccRCC,4559,273124,244.77035287665743,112_over_pixel_size_um_estimated,1272274,4559,279.0686554068875,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""1.0927247896279346"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4575717552543552""}"
KIDNEY_POP54,INT15,cordeliers_ccRCC,4940,156803,244.62033418191035,112_over_pixel_size_um_estimated,618885,4940,125.28036437246963,connective|epithelial|inflammatory|neoplastic,False,"{""downsample"": ""1.092055062635518"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.457852371283662""}"
KIDNEY_POP54,INT16,cordeliers_ccRCC,3202,49151,244.73467992341543,112_over_pixel_size_um_estimated,243505,3197,76.0477826358526,connective|epithelial|inflammatory|neoplastic,False,"{""downsample"": ""1.09256553537239"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4576384517104322""}"
KIDNEY_POP54,INT17,cordeliers_ccRCC,3584,197999,244.79252432377837,112_over_pixel_size_um_estimated,869324,3584,242.5569196428571,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""1.092823769302581"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4575303118810184""}"
KIDNEY_POP54,INT18,cordeliers_ccRCC,4914,162727,244.4891435093485,112_over_pixel_size_um_estimated,749921,4913,152.6090761090761,connective|dead|epithelial|inflammatory|neoplastic,True,"{""downsample"": ""1.0914693906667348"", ""patch_size_src"": ""244"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4580980504589049""}"
KIDNEY_POP54,INT19,cordeliers_ccRCC,4948,201766,244.94011255941092,112_over_pixel_size_um_estimated,915423,4945,185.0086903799515,connective|epithelial|inflammatory|neoplastic,False,"{""downsample"": ""1.0934826453545123"", ""patch_size_src"": ""245"", ""patch_size_target"": ""224"", ""pixel_size"": ""0.4572546277932903""}"
