task,label_set,encoder,design,score,fold,repeat,cal_draw,calibration_unit,slide,coverage,width_mean,interval_score,miss_above,miss_below,n_test,n_genes,superseded_label_set
CCRCC,shipped,resnet50,donor,abs,INT1,-1,0,donor,INT1,0.6671217712177122,1.792448539550722,3.803167411195086,0.014557195571955719,0.3183210332103321,1084,50,False
CCRCC,shipped,resnet50,donor,abs,INT1,-1,1,donor,INT1,0.951070110701107,2.2221841946198055,2.4745703581270924,0.040405904059040584,0.008523985239852398,1084,50,False
CCRCC,shipped,resnet50,donor,abs,INT1,-1,2,donor,INT1,0.7380073800738007,2.055288491443164,3.4369233345401438,0.01359778597785978,0.24839483394833947,1084,50,False
CCRCC,shipped,resnet50,donor,abs,INT10,-1,0,donor,INT10,0.8484215834594049,2.1560356410218673,3.185443412292999,0.12201714573877963,0.02956127080181543,1983,50,False
CCRCC,shipped,resnet50,donor,abs,INT10,-1,1,donor,INT10,0.7536459909228442,2.3253698100185365,4.824939402477231,0.2443166918809884,0.002037317196167423,1983,50,False
CCRCC,shipped,resnet50,donor,abs,INT10,-1,2,donor,INT10,0.8128693898134141,2.235306356173088,3.924379973756611,0.18232980332829046,0.004800806858295512,1983,50,False
CCRCC,shipped,resnet50,donor,abs,INT11,-1,0,donor,INT11,0.8216122307157748,1.935198517996017,3.0430574734737053,0.09820708825573314,0.080180681028492,1439,50,False
CCRCC,shipped,resnet50,donor,abs,INT11,-1,1,donor,INT11,0.9249617790132036,2.4010535459977094,2.828020916819861,0.060430854760250174,0.014607366226546212,1439,50,False
CCRCC,shipped,resnet50,donor,abs,INT11,-1,2,donor,INT11,0.8426685198054205,1.9776962775814948,2.9851933059115794,0.11271716469770673,0.04461431549687282,1439,50,False
CCRCC,shipped,resnet50,donor,abs,INT12,-1,0,donor,INT12,0.8914679531357684,2.323527791292741,2.961156873583323,0.0171881461061337,0.09134390075809787,1451,50,False
CCRCC,shipped,resnet50,donor,abs,INT12,-1,1,donor,INT12,0.8876361130254996,2.0721403208859432,2.6778951275856127,0.051702274293590623,0.06066161268090972,1451,50,False
CCRCC,shipped,resnet50,donor,abs,INT12,-1,2,donor,INT12,0.9027291523087526,2.478130117005334,2.952267117385663,0.01284631288766368,0.08442453480358374,1451,50,False
CCRCC,shipped,resnet50,donor,abs,INT13,-1,0,donor,INT13,0.928401009405827,2.3458720275106995,2.7729832456643986,0.06815783436568021,0.0034411562284927736,4359,50,False
CCRCC,shipped,resnet50,donor,abs,INT13,-1,1,donor,INT13,0.9212434044505621,2.222575264442786,2.6866970407384514,0.06965359027299839,0.009103005276439551,4359,50,False
CCRCC,shipped,resnet50,donor,abs,INT13,-1,2,donor,INT13,0.8978160128469832,2.1459345296995456,2.7929737115962103,0.09524202798807066,0.006941959164946089,4359,50,False
CCRCC,shipped,resnet50,donor,abs,INT14,-1,0,donor,INT14,0.9757518632178869,2.1974126347369,2.276649219973736,0.018746163963174047,0.0055019728189390615,4562,50,False
