task,label_set,encoder,design,score,n_folds,coverage_mean,coverage_sd,width_mean,width_sd,interval_score_mean,miss_above_mean,miss_below_mean,calibration_unit,n_train_matched,superseded_label_set
CCRCC,shipped,resnet50,donor,abs,24,0.8660822785144952,0.14246005944508483,2.170052801784284,0.11512143353843636,3.550332773867115,0.09796879378202673,0.035948927703478135,donor,35996,False
CCRCC,shipped,resnet50,donor,scaled,24,0.8745788140192855,0.12690710289743998,2.2060122308499452,0.3694539387510815,3.456412154568191,0.11202411407928137,0.013397071901433051,donor,35996,False
CCRCC,shipped,resnet50,patient,abs,6,0.851652491260023,0.0958662326602859,2.2695794531589204,0.21958622703659927,3.8182463941625535,0.08737371020122982,0.06097379853874729,patient,35996,False
CCRCC,shipped,resnet50,patient,scaled,6,0.8770294927298292,0.05382973286247553,2.3627724211404972,0.2254754609938921,3.586797710029541,0.09635574618240593,0.026614761087764907,patient,35996,False
CCRCC,shipped,resnet50,random,abs,6,0.876716603355039,0.0009154449396306521,1.721718669810733,0.0022780055121188634,2.4512326033536405,0.08518640395664057,0.03809699268832037,spot,35996,False
CCRCC,shipped,resnet50,random,scaled,6,0.8990322158814649,0.0009596169562057965,1.7192560583623304,0.0025891012130454874,2.2583728481937215,0.08545679891281105,0.015510985205723991,spot,35996,False
COAD,shipped,resnet50,donor,abs,4,0.8688910636840059,0.03908548873228402,3.748506900519618,0.29619898943813705,5.878811555329134,0.0805388076665244,0.0505701286494698,donor,3389,False
COAD,shipped,resnet50,donor,scaled,4,0.8754968987380403,0.03163760287256582,5.675594039229744,1.901346251521198,7.591042327177025,0.08940167891403179,0.03510142234792789,donor,3389,False
COAD,shipped,resnet50,patient,abs,2,0.6988743367189029,0.21278189610866374,2.7102741938046173,1.0100100244002592,10.036705258552185,0.20062026812267766,0.1005053951584195,block;slide,3389,False
COAD,shipped,resnet50,patient,scaled,2,0.6717170906035853,0.24799522528089957,2.773841954065447,1.31408913115033,11.10133299892675,0.23788991274783325,0.09039299664858153,block;slide,3389,False
COAD,shipped,resnet50,random,abs,2,0.8958272502553728,0.001815706338983695,2.465147657782248,0.01731007660625741,3.479836171098505,0.058809388212804965,0.04536336153182223,spot,3389,False
COAD,shipped,resnet50,random,scaled,2,0.8985136933793042,0.0003093601953564661,2.633850620726699,0.006419408123244513,3.4458174210540875,0.06902650924724482,0.03245979737345097,spot,3389,False
HCC,shipped,resnet50,donor,abs,2,0.738660252770857,0.08625691144347737,1.5714780932236339,0.17210637557848646,4.173521265270137,0.1645899474253981,0.09674979980374485,block,1203,False
HCC,shipped,resnet50,donor,scaled,2,0.7262555018271835,0.08161642203669349,2.9671104474857364,0.5794942899632206,6.062113168270697,0.19266065259219406,0.08108384558062245,block,1203,False
HCC,shipped,resnet50,patient,abs,2,0.7576591648760382,0.06838903706560605,1.5973552867322884,0.13795158222465356,3.957963154587928,0.1512108806236299,0.09112995450033184,block,1203,False
HCC,shipped,resnet50,patient,scaled,2,0.7511665522416079,0.07600205817413506,2.641793412503713,0.040178146840566635,5.413523534632448,0.17017068030171661,0.07866276745667555,block,1203,False
HCC,shipped,resnet50,random,abs,2,0.9031657999022847,0.0003979458645490749,1.611142409018921,0.0013003450116798353,2.180837472780775,0.07278813083131877,0.024046069266396457,spot,1203,False
HCC,shipped,resnet50,random,scaled,2,0.9002667239996367,0.002549906558194207,2.10142717731903,0.08762677648809931,2.7534870186248326,0.08412216277626569,0.015611113224097608,spot,1203,False
IDC,audited,resnet50,donor,abs,3,0.842579199650804,0.056362423142752305,5.888722213764754,0.792075119500051,8.838063940353214,0.07099997307434767,0.0864208272748483,donor,3005,True
IDC,audited,resnet50,donor,scaled,3,0.8609651149023191,0.02993993367908316,497.4916802126327,404.52162521714155,500.8336458871466,0.0708755543280874,0.06815933076959349,donor,3005,True
IDC,audited,resnet50,patient,abs,4,0.8360400228642656,0.04703035320423731,4.742688477874523,0.14561617873002694,7.75802441448412,0.10068463275494528,0.06327534438078916,patient,3005,True
IDC,audited,resnet50,patient,scaled,4,0.8236671442326539,0.1007085156188956,67.12419236659917,34.340910856196466,70.80165105056531,0.11157515067300593,0.06475770509434023,patient,3005,True
IDC,audited,resnet50,random,abs,4,0.8719710781246354,0.001849869774872273,2.6098989789937868,0.009703550096811179,3.836956466117775,0.07067938295926997,0.05734953891609467,spot,3005,True
IDC,audited,resnet50,random,scaled,4,0.8923591096051342,0.0008069650129603845,2.899843320560283,0.01382376240641193,3.834129744441061,0.06627365589212059,0.04136723450274517,spot,3005,True
IDC,shipped,resnet50,donor,abs,4,0.8419051503568484,0.05940623830845074,4.692385078743389,0.3771756003793866,7.57826883939865,0.10388040021556452,0.05421444942758714,donor,3005,False
IDC,shipped,resnet50,donor,scaled,4,0.8430498530796066,0.08945418528431541,55.07650134899899,31.64840754188573,57.985448184989934,0.104115259361059,0.052834887559334444,donor,3005,False
IDC,shipped,resnet50,patient,abs,4,0.835898004418032,0.041893804396054335,4.63350582850832,0.15490486763331476,7.584029966292181,0.10083965486941572,0.0632623407125523,patient,3005,False
IDC,shipped,resnet50,patient,scaled,4,0.8368055510251414,0.09368411915741982,67.15665411680176,63.965488118709956,70.49102428100542,0.10747888972449844,0.055715559250360085,patient,3005,False
IDC,shipped,resnet50,random,abs,4,0.8724520074944069,0.0016428757299797238,2.549266094530907,0.01074406228402244,3.7469421292911806,0.07049152916412132,0.057056463341471825,spot,3005,False
IDC,shipped,resnet50,random,scaled,4,0.895875643950399,0.0003970352768997115,2.717414883443763,0.0026501052624904394,3.5554878104012944,0.06519928554224591,0.03892507050735515,spot,3005,False
LUNG,shipped,resnet50,donor,abs,2,0.6476833044014334,0.015487731522029678,2.3706261432662803,0.1083030193104375,8.728747940968193,0.1853769799217661,0.16693971567680038,block,1027,False
LUNG,shipped,resnet50,donor,scaled,2,0.6686835796329518,0.02967196501234702,2.884086104862212,0.056902902386018674,9.14341357367331,0.1753157403832972,0.15600067998375103,block,1027,False
LUNG,shipped,resnet50,patient,abs,2,0.6463723865621418,0.02771775126929097,2.40616893898091,0.0837393792858453,8.890197446723292,0.18111003247269342,0.1725175809651648,block,1027,False
LUNG,shipped,resnet50,patient,scaled,2,0.6768075992915049,0.0280907429762298,2.982593776924933,0.13882462340637433,9.23025318349396,0.1703471428487324,0.15284525785976272,block,1027,False
LUNG,shipped,resnet50,random,abs,2,0.9000702352567751,0.0008032387216438537,2.4873115151004486,0.007910304455987774,3.218472185138148,0.04911580301402862,0.05081396172919622,spot,1027,False
LUNG,shipped,resnet50,random,scaled,2,0.89923343720737,0.001081598787894019,3.049228304014454,0.005390165157689429,3.8466931609760833,0.051727145694446724,0.049039417098183394,spot,1027,False
