task,label_set,encoder,design,score,fold,calibration_unit,n_cal_draws,coverage_mean,coverage_sd_across_cal_draws,width_sd_across_cal_draws
CCRCC,shipped,resnet50,donor,abs,INT1,donor,3,0.7853997539975399,0.1477876608632803,0.21664554356802154
CCRCC,shipped,resnet50,donor,abs,INT10,donor,3,0.8049789880652211,0.04787793923066197,0.08472438923646261
CCRCC,shipped,resnet50,donor,abs,INT11,donor,3,0.863080843178133,0.054614828503116115,0.2575714604419136
CCRCC,shipped,resnet50,donor,abs,INT12,donor,3,0.8939444061566736,0.007845353616951689,0.20490861944874175
CCRCC,shipped,resnet50,donor,abs,INT13,donor,3,0.9158201422344575,0.015997478970906483,0.10087194608016155
CCRCC,shipped,resnet50,donor,abs,INT14,donor,3,0.970866578985825,0.007670751227335904,0.11071728592161797
CCRCC,shipped,resnet50,donor,abs,INT15,donor,3,0.9312456140350877,0.023750518044174728,0.14394947855265558
CCRCC,shipped,resnet50,donor,abs,INT16,donor,3,0.9385901434809732,0.014957385326761065,0.1228757191499919
CCRCC,shipped,resnet50,donor,abs,INT17,donor,3,0.9329019060901906,0.016097557554684616,0.11524901037785505
CCRCC,shipped,resnet50,donor,abs,INT18,donor,3,0.8728789420142421,0.046508642860203835,0.3753683823276168
CCRCC,shipped,resnet50,donor,abs,INT19,donor,3,0.9716127728375102,0.0033460622504740793,0.043259221037506304
CCRCC,shipped,resnet50,donor,abs,INT2,donor,3,0.9470077519379845,0.009494386805183453,0.16178062891245923
CCRCC,shipped,resnet50,donor,abs,INT20,donor,3,0.9624170096021949,0.004030280342083246,0.12338717090556646
CCRCC,shipped,resnet50,donor,abs,INT21,donor,3,0.920692797319933,0.030072364518490532,0.2881301575756368
CCRCC,shipped,resnet50,donor,abs,INT22,donor,3,0.8608897014015845,0.03464948141664828,0.030691661851712813
CCRCC,shipped,resnet50,donor,abs,INT23,donor,3,0.8645383806519452,0.03458013743037718,0.3107294894201824
CCRCC,shipped,resnet50,donor,abs,INT24,donor,3,0.9228011825572802,0.004847788288435111,0.08404053616301879
CCRCC,shipped,resnet50,donor,abs,INT3,donor,3,0.95715661850191,0.018444502384448558,0.2038560366625439
CCRCC,shipped,resnet50,donor,abs,INT4,donor,3,0.90763528539659,0.03289778183632593,0.13909087855837365
CCRCC,shipped,resnet50,donor,abs,INT5,donor,3,0.263282743114109,0.019784199377182277,0.08013673509859401
CCRCC,shipped,resnet50,donor,abs,INT6,donor,3,0.8732300357568534,0.06206067264360998,0.22525159836213543
CCRCC,shipped,resnet50,donor,abs,INT7,donor,3,0.8369615276607695,0.006174411765600043,0.08826252688553649
CCRCC,shipped,resnet50,donor,abs,INT8,donor,3,0.7218505216350266,0.027026733475444473,0.08162763742283662
CCRCC,shipped,resnet50,donor,abs,INT9,donor,3,0.8661910377358492,0.11238622502683858,0.29771154694422675
CCRCC,shipped,resnet50,donor,scaled,INT1,donor,3,0.9387146371463714,0.02849528310930581,0.2005555916062656
CCRCC,shipped,resnet50,donor,scaled,INT10,donor,3,0.8065187426458228,0.07985561296881906,0.12254839409199332
CCRCC,shipped,resnet50,donor,scaled,INT11,donor,3,0.8658003242992819,0.039800349696371244,0.2167384184314002
CCRCC,shipped,resnet50,donor,scaled,INT12,donor,3,0.9502412129565817,0.016030483912510666,0.3200794889738208
CCRCC,shipped,resnet50,donor,scaled,INT13,donor,3,0.8468471361933165,0.005194958878616076,0.06288781782657296
CCRCC,shipped,resnet50,donor,scaled,INT14,donor,3,0.9504559403770276,0.015426783181569065,0.13130555548783623
CCRCC,shipped,resnet50,donor,scaled,INT15,donor,3,0.9328353576248313,0.030273394700301035,0.312817986778113
CCRCC,shipped,resnet50,donor,scaled,INT16,donor,3,0.8913183614056978,0.004453914019410704,0.0030134017824526237
CCRCC,shipped,resnet50,donor,scaled,INT17,donor,3,0.8607940492794048,0.014620333717206096,0.04607388527425792
CCRCC,shipped,resnet50,donor,scaled,INT18,donor,3,0.8978338419803323,0.02605484215032893,0.34441593254054176
CCRCC,shipped,resnet50,donor,scaled,INT19,donor,3,0.9225127997844247,0.0036841618700914776,0.018714518691720687
CCRCC,shipped,resnet50,donor,scaled,INT2,donor,3,0.9435167958656331,0.02150504031171679,0.2955217435429582
CCRCC,shipped,resnet50,donor,scaled,INT20,donor,3,0.916570644718793,0.014904968223871941,0.09266613856672991
CCRCC,shipped,resnet50,donor,scaled,INT21,donor,3,0.9131443886097151,0.032919579278363885,0.28273416013008634
CCRCC,shipped,resnet50,donor,scaled,INT22,donor,3,0.8710350831374597,0.0306556853147891,0.25095109365233753
CCRCC,shipped,resnet50,donor,scaled,INT23,donor,3,0.8731132141605329,0.018076736480199612,0.27450905761139605
CCRCC,shipped,resnet50,donor,scaled,INT24,donor,3,0.8890716925351071,0.016281649647590803,0.16856420694821672
CCRCC,shipped,resnet50,donor,scaled,INT3,donor,3,0.9453911310413553,0.018476819744272337,0.155882392934284
CCRCC,shipped,resnet50,donor,scaled,INT4,donor,3,0.961235483073882,0.011505786350624783,0.057533185161897496
CCRCC,shipped,resnet50,donor,scaled,INT5,donor,3,0.32839797639123103,0.03604927744010889,0.1698411754570716
