encoder,task,label_set,design,fold,repeat,cal_draw,sigma_floor,frac_cal_at_floor,frac_test_at_floor,sigma_median_cal,sigma_median_test,sigma_min_raw_cal,score_p90_cal,score_p99_cal
resnet50,CCRCC,shipped,random,0,0,0,0.001,0.0001450313339301701,0.00011757661531762017,0.4357886590833644,0.43483414247546537,-0.12136680875507122,1.8762091694274379,3.7317606669589627
resnet50,CCRCC,shipped,random,0,1,0,0.001,0.0001414503133393017,0.00012084263240977627,0.4355012170506011,0.4356514959209321,-0.08303115300293734,1.8615057163335627,3.697389539313241
resnet50,CCRCC,shipped,random,0,2,0,0.001,0.00013786929274843331,0.00016221218224375374,0.43494515124034294,0.4356603048599721,-0.1256355203088545,1.876342487227414,3.7394976901752845
resnet50,CCRCC,shipped,random,0,3,0,0.001,0.00015577439570277528,0.00013935006259866093,0.4347447882237192,0.4355799740287573,-0.11640044621517265,1.8790770451639425,3.7724271380517282
resnet50,CCRCC,shipped,random,0,4,0,0.001,0.00011817367949865711,0.0001556801480594415,0.4347292852655106,0.43505482363685544,-0.08060023023178076,1.8745649289103896,3.7537084197158745
resnet50,CCRCC,shipped,random,1,0,0,0.001,0.00011824698839701426,0.0001217841376160755,0.4359623289167819,0.43560496259086195,-0.12797203902053444,1.86618920120625,3.670227963226881
resnet50,CCRCC,shipped,random,1,1,0,0.001,0.00014041829872145443,0.00018267620642411326,0.43466615329230307,0.4351496838116128,-0.13227647814306487,1.876045152797614,3.728703690318046
resnet50,CCRCC,shipped,random,1,2,0,0.001,0.00011233463897716355,0.00011873953417567361,0.43509386649011367,0.4363400611125029,-0.08189837881484818,1.8789095639399618,3.6979408069277167
resnet50,CCRCC,shipped,random,1,3,0,0.001,0.0001226812504619023,0.00014309636169888872,0.4349329297832373,0.43362543162079437,-0.13299294738881856,1.882625238860193,3.748161916712335
resnet50,CCRCC,shipped,random,1,4,0,0.001,0.00014041829872145443,0.00010656112041406607,0.4355391893171192,0.4361106855933916,-0.09531526786939742,1.8817229169149319,3.768576321667453
resnet50,CCRCC,shipped,random,2,0,0,0.001,0.00011029701410226108,0.00015619189289698773,0.4345096538962223,0.43410612319659503,-0.10088746943286414,1.8813312782495575,3.757375564801596
resnet50,CCRCC,shipped,random,2,1,0,0.001,0.00011029701410226108,0.00010598735589438453,0.43405198317754806,0.43681904897396673,-0.07763116457570846,1.874973299089281,3.698162157103773
resnet50,CCRCC,shipped,random,2,2,0,0.001,0.00010084298432206728,0.0001692078839717367,0.43447938477832226,0.4336942691765582,-0.08817661129357685,1.8771688302823055,3.7128542895745746
resnet50,CCRCC,shipped,random,2,3,0,0.001,0.0001276294020326164,0.00011528449237634808,0.4340525201670238,0.4353102747453276,-0.0955479318131992,1.8785119250091393,3.7338713046249095
resnet50,CCRCC,shipped,random,2,4,0,0.001,8.351059639171197e-05,9.669021941242097e-05,0.4353516298017661,0.4351716111384172,-0.0880660973058845,1.8651988417995724,3.6931438537554278
resnet50,CCRCC,shipped,random,3,0,0,0.001,0.00010283159463487333,9.547879809042404e-05,0.436179069677903,0.43535753524542037,-0.09311819862766813,1.8756575463405576,3.6658912069561316
resnet50,CCRCC,shipped,random,3,1,0,0.001,0.00012071535022354694,0.00010671159786576804,0.4339593386924828,0.43624908786446437,-0.12407785948667954,1.8721577642531184,3.7472515656760503
resnet50,CCRCC,shipped,random,3,2,0,0.001,0.00011177347242921013,0.00017410839651783207,0.4345411590643725,0.4353046022550559,-0.09674349674330474,1.8798951477022705,3.7342624600401453
resnet50,CCRCC,shipped,random,3,3,0,0.001,0.00014008941877794337,0.00012917719741645605,0.43616069837123606,0.43504877741407866,-0.13844710943935895,1.873040856099918,3.7305583344967337
resnet50,CCRCC,shipped,random,3,4,0,0.001,0.0001639344262295082,0.00013479359730412806,0.4350048880939942,0.4343607161682923,-0.10507269013638676,1.882112751498157,3.7550062412672913
resnet50,CCRCC,shipped,random,4,0,0,0.001,0.00012105926860025221,0.00013425549227013832,0.43551142982398316,0.43557888528570843,-0.11468464432680053,1.8735464520066238,3.7129955443391345
resnet50,CCRCC,shipped,random,4,1,0,0.001,7.734342160571668e-05,0.00011391375101708707,0.43556976347858267,0.43483050430334735,-0.06202138627199455,1.8633932912785796,3.6897839360776894
resnet50,CCRCC,shipped,random,4,2,0,0.001,0.00015973097940311055,0.00011526986710062382,0.43390615806452215,0.43443604005401515,-0.12863299745664314,1.8807392364251911,3.742641146669689
resnet50,CCRCC,shipped,random,4,3,0,0.001,0.00013787305590584278,0.00011662598318416057,0.4340023302928921,0.4352775778886635,-0.07768905758876865,1.8824208338984751,3.771686425965404
resnet50,CCRCC,shipped,random,4,4,0,0.001,0.00012442202606137033,0.00013832384052074858,0.4352168771627888,0.4357749360448072,-0.1485895760319258,1.864394289053985,3.6724875813981646
resnet50,CCRCC,shipped,random,5,0,0,0.001,0.00014590932777488276,0.000153716824786838,0.4341244888659734,0.43338249534360096,-0.12232829097399855,1.8801450201836543,3.769836400190607
resnet50,CCRCC,shipped,random,5,1,0,0.001,0.00011638005905853743,0.00011889035667107,0.43488178636289376,0.4351364235573444,-0.09500847777631477,1.8779229960816448,3.7219644461953942
resnet50,CCRCC,shipped,random,5,2,0,0.001,0.00011985409067222512,0.00011168488050918698,0.4350836629977676,0.43621198294694286,-0.09869331385751401,1.8694566835720137,3.719007090838429
resnet50,CCRCC,shipped,random,5,3,0,0.001,0.0001111690116380059,0.00015251591209319084,0.43526989690606216,0.4347444981622449,-0.07909915068521678,1.8795965108504205,3.7502268420940457
resnet50,CCRCC,shipped,random,5,4,0,0.001,0.00011811707486538128,0.00013330130899483607,0.43686365376533765,0.434506215095038,-0.1716489181719485,1.870802223436179,3.7076645049977635
resnet50,CCRCC,shipped,patient,0,-1,0,0.001,1.2838147638697845e-05,0.00010342387458494367,0.45622827195313753,0.3981685947536764,-0.04113677893409101,2.7993930283437107,5.237064195857888
resnet50,CCRCC,shipped,patient,0,-1,1,0.001,0.0007922180352291649,0.00040280877469925423,0.3994747712431037,0.4042545044221163,-0.38319827899772835,3.2925461243132554,7.4022177187839135
resnet50,CCRCC,shipped,patient,0,-1,2,0.001,0.00026696217196393494,0.0004430896521691797,0.3978365336807435,0.37882727824766615,-0.403501041408841,3.23404941378327,6.930558258298729
