file,bytes_identical,column,n_rows,n_rows_differing,max_abs_diff,max_rel_diff,sha256_a1,sha256_rerun,size_bytes_a1,size_bytes_rerun,n_rows_a1,n_rows_rerun,detail
a1_by_fold__resnet50__main.csv,False,width_mean,236.0,230.0,1.67971370146347e-09,7.764271532883499e-10,8fe9cab70dc407f2b7ef4d55f9aed8fc8bfce04d81c80ce96d45cc3ae773aa47,c0c44fc06ab7589b8874631fa36b69a97326b7fbd4dd81c393e1b4b1a7849504,33735,33732.0,,,numeric
a1_by_fold__resnet50__main.csv,False,interval_score,236.0,224.0,1.48965284552105e-09,5.304370083851206e-10,8fe9cab70dc407f2b7ef4d55f9aed8fc8bfce04d81c80ce96d45cc3ae773aa47,c0c44fc06ab7589b8874631fa36b69a97326b7fbd4dd81c393e1b4b1a7849504,33735,33732.0,,,numeric
a1_by_slide__resnet50__main.csv,False,width_mean,3590.0,3560.0,1.2729501897013051e-08,6.0157938681013046e-09,9b3205180d3e46e060e410de5d7a5a4c5453b4820dd8f4ff64e5bb65496e04de,b3558babebac2b83de5f219b22deee03721f77586f13db97b4f88448f0abadb6,567385,567427.0,,,numeric
a1_by_slide__resnet50__main.csv,False,interval_score,3590.0,3541.0,1.0743203660013023e-08,3.759968023049379e-09,9b3205180d3e46e060e410de5d7a5a4c5453b4820dd8f4ff64e5bb65496e04de,b3558babebac2b83de5f219b22deee03721f77586f13db97b4f88448f0abadb6,567385,567427.0,,,numeric
a1_by_task__resnet50__main.csv,False,width_mean,66.0,65.0,8.398464146353035e-10,3.996552552643848e-10,2ed41802d5b913fed4768d135d7fea623c1608c275f9284800312140afdded43,9d25af0166a44bdde8ed58d70047d19d39ace05fbad50f2a1ed0bab3972aa000,12332,12314.0,,,numeric
a1_by_task__resnet50__main.csv,False,width_sd,66.0,65.0,1.1877517025471462e-09,3.273027679911405e-08,2ed41802d5b913fed4768d135d7fea623c1608c275f9284800312140afdded43,9d25af0166a44bdde8ed58d70047d19d39ace05fbad50f2a1ed0bab3972aa000,12332,12314.0,,,numeric
a1_by_task__resnet50__main.csv,False,interval_score_mean,66.0,62.0,8.521210403955592e-10,2.847129264107823e-10,2ed41802d5b913fed4768d135d7fea623c1608c275f9284800312140afdded43,9d25af0166a44bdde8ed58d70047d19d39ace05fbad50f2a1ed0bab3972aa000,12332,12314.0,,,numeric
a1_cal_dispersion__resnet50__main.csv,False,width_sd_across_cal_draws,236.0,207.0,4.600198395821042e-09,7.394030302525184e-08,bc195cef8563a55fe9457d7914598e0fae04365b911840f864a034a387695ff2,b5f4a1180a6a643ee69a75a6fe779a787ac65e125275cd7088740bd57198f67b,24532,24534.0,,,numeric
a1_calibration_units__resnet50__main.csv,True,,,,,,19ea6a266635c582b08790ed82d5bb31288a3aa132fa5ad1121bdea00b1ba8fa,19ea6a266635c582b08790ed82d5bb31288a3aa132fa5ad1121bdea00b1ba8fa,71947,,,,byte-identical
a1_sigma_diagnostics__resnet50__main.csv,False,sigma_median_cal,394.0,391.0,2.1884061229826557e-10,5.293347345483769e-10,d5582fa99340eca0fcac83f558bef3de599894b63a6649fbe823a4090de90a19,0bd5ed5051643cb19da0734119eaf59c7f64dbf42cce36902068c577b8d6c097,72030,72031.0,,,numeric
a1_sigma_diagnostics__resnet50__main.csv,False,sigma_median_test,394.0,390.0,6.442809619144896e-10,1.846256949554065e-09,d5582fa99340eca0fcac83f558bef3de599894b63a6649fbe823a4090de90a19,0bd5ed5051643cb19da0734119eaf59c7f64dbf42cce36902068c577b8d6c097,72030,72031.0,,,numeric
a1_sigma_diagnostics__resnet50__main.csv,False,sigma_min_raw_cal,394.0,393.0,1.1151556011945729e-08,1.4071368593319007e-08,d5582fa99340eca0fcac83f558bef3de599894b63a6649fbe823a4090de90a19,0bd5ed5051643cb19da0734119eaf59c7f64dbf42cce36902068c577b8d6c097,72030,72031.0,,,numeric
a1_sigma_diagnostics__resnet50__main.csv,False,score_p90_cal,394.0,391.0,3.612252497120494e-09,1.8676464547386158e-09,d5582fa99340eca0fcac83f558bef3de599894b63a6649fbe823a4090de90a19,0bd5ed5051643cb19da0734119eaf59c7f64dbf42cce36902068c577b8d6c097,72030,72031.0,,,numeric
a1_sigma_diagnostics__resnet50__main.csv,False,score_p99_cal,394.0,393.0,2.910599221195298e-06,1.3327609147836028e-08,d5582fa99340eca0fcac83f558bef3de599894b63a6649fbe823a4090de90a19,0bd5ed5051643cb19da0734119eaf59c7f64dbf42cce36902068c577b8d6c097,72030,72031.0,,,numeric
h3_disjointness__resnet50__main.csv,True,,,,,,bc035a53c0c932c3fba4b7a58e97e422e45154049ddd4629207246e49046ad2a,bc035a53c0c932c3fba4b7a58e97e422e45154049ddd4629207246e49046ad2a,36908,,,,byte-identical
a1_by_fold__resnet50__slideout.csv,False,width_mean,62.0,61.0,6.461014390168884e-09,3.437305916371762e-09,5295f2f7905750bb6d41ae7c13d6dd4c54eb93727675416535824d6be46be21d,a337bc45005a384e592e11cbe414116f16731806ad379c21f57b0cd127792b5d,9264,9274.0,,,numeric
a1_by_fold__resnet50__slideout.csv,False,interval_score,62.0,62.0,1.2721192099718337e-08,2.9014537115623857e-09,5295f2f7905750bb6d41ae7c13d6dd4c54eb93727675416535824d6be46be21d,a337bc45005a384e592e11cbe414116f16731806ad379c21f57b0cd127792b5d,9264,9274.0,,,numeric
a1_by_slide__resnet50__slideout.csv,False,width_mean,186.0,186.0,1.904622082271601e-08,9.585536639100598e-09,b7274936dc0b48169a7169053b22cd7ef056cf5467ba432d79a4cbccf08da4b0,2af4d34a309446d287dec5af481886ec30df97d40326edd3ec49eb81f1ddd080,31478,31488.0,,,numeric
a1_by_slide__resnet50__slideout.csv,False,interval_score,186.0,185.0,3.9920139194293824e-08,9.798997027499434e-09,b7274936dc0b48169a7169053b22cd7ef056cf5467ba432d79a4cbccf08da4b0,2af4d34a309446d287dec5af481886ec30df97d40326edd3ec49eb81f1ddd080,31478,31488.0,,,numeric
a1_by_task__resnet50__slideout.csv,False,width_mean,6.0,6.0,6.207847569328351e-10,2.966229852256261e-10,936e2bfd2c48698b7036675eb09014b3e5ab4e42339d3489d1324d6aeedd7af4,1a1d08b1358d27b2955c3fe7e284bfd9f2a31ce3dd11571267281af6702c9e42,1282,1280.0,,,numeric
a1_by_task__resnet50__slideout.csv,False,width_sd,6.0,6.0,4.250150092977023e-10,3.8253015276122075e-09,936e2bfd2c48698b7036675eb09014b3e5ab4e42339d3489d1324d6aeedd7af4,1a1d08b1358d27b2955c3fe7e284bfd9f2a31ce3dd11571267281af6702c9e42,1282,1280.0,,,numeric
a1_by_task__resnet50__slideout.csv,False,interval_score_mean,6.0,6.0,2.5989965735107035e-10,9.617800280045231e-11,936e2bfd2c48698b7036675eb09014b3e5ab4e42339d3489d1324d6aeedd7af4,1a1d08b1358d27b2955c3fe7e284bfd9f2a31ce3dd11571267281af6702c9e42,1282,1280.0,,,numeric
a1_cal_dispersion__resnet50__slideout.csv,False,width_sd_across_cal_draws,62.0,62.0,6.406299407624161e-09,4.036515970534987e-08,ec1c84ee500ec399449f29a15b86b56d019278859b937b6c4199b3dbfa539e9f,dcd31d4bd2204ab534f17c17b8a57717571902e6a5e6e95d8e47d0733af8625d,7074,7071.0,,,numeric
a1_calibration_units__resnet50__slideout.csv,True,,,,,,c12c8efc7f2cf5bad65b12c8c93cac9d78dfd9ed28aa938ecde2fedcabefa555,c12c8efc7f2cf5bad65b12c8c93cac9d78dfd9ed28aa938ecde2fedcabefa555,16035,,,,byte-identical
a1_sigma_diagnostics__resnet50__slideout.csv,False,sigma_median_cal,93.0,93.0,8.106177951106019e-10,1.9979333331989577e-09,e42ff5272dd859ef044ef240cdc43b20f557c75235967e9a6ee69d768712fab8,fa0aa1412202d7228dda6406a02eb33e42621f49c93a73567090fe43a476ade6,17754,17751.0,,,numeric
a1_sigma_diagnostics__resnet50__slideout.csv,False,sigma_median_test,93.0,90.0,2.3452134123580493e-09,6.605720685220833e-09,e42ff5272dd859ef044ef240cdc43b20f557c75235967e9a6ee69d768712fab8,fa0aa1412202d7228dda6406a02eb33e42621f49c93a73567090fe43a476ade6,17754,17751.0,,,numeric
a1_sigma_diagnostics__resnet50__slideout.csv,False,sigma_min_raw_cal,93.0,93.0,6.086295190055324e-09,2.8943287526870377e-08,e42ff5272dd859ef044ef240cdc43b20f557c75235967e9a6ee69d768712fab8,fa0aa1412202d7228dda6406a02eb33e42621f49c93a73567090fe43a476ade6,17754,17751.0,,,numeric
a1_sigma_diagnostics__resnet50__slideout.csv,False,score_p90_cal,93.0,93.0,1.5010548359839504e-08,7.77145247518753e-09,e42ff5272dd859ef044ef240cdc43b20f557c75235967e9a6ee69d768712fab8,fa0aa1412202d7228dda6406a02eb33e42621f49c93a73567090fe43a476ade6,17754,17751.0,,,numeric
a1_sigma_diagnostics__resnet50__slideout.csv,False,score_p99_cal,93.0,93.0,1.900100343732447e-08,3.3833837616516888e-09,e42ff5272dd859ef044ef240cdc43b20f557c75235967e9a6ee69d768712fab8,fa0aa1412202d7228dda6406a02eb33e42621f49c93a73567090fe43a476ade6,17754,17751.0,,,numeric
h3_disjointness__resnet50__slideout.csv,True,,,,,,7f78d6ea1bc922c8f2f6436022b528cdeb1e43d7a00a0fc804db1a3e04140ea0,7f78d6ea1bc922c8f2f6436022b528cdeb1e43d7a00a0fc804db1a3e04140ea0,9599,,,,byte-identical
pergene__resnet50__main.parquet,False,width_mean,179500.0,46.0,9.5367431640625e-07,1.7940356209360607e-07,b470a11fe8d6a8729956fa6db2a63ab278fc47cb803069e9592b7d553bae9467,2849cedbd451caa7653c6f2e14a64eb460844a6f63dcc7e4fa4e04b851c6a069,4532652,4532656.0,,,numeric
pergene__resnet50__main.parquet,False,interval_score,179500.0,52.0,1.9073486328125e-06,1.1672927830606207e-07,b470a11fe8d6a8729956fa6db2a63ab278fc47cb803069e9592b7d553bae9467,2849cedbd451caa7653c6f2e14a64eb460844a6f63dcc7e4fa4e04b851c6a069,4532652,4532656.0,,,numeric
pergene__resnet50__main.parquet,False,q_alpha_reported,179500.0,88.0,4.76837158203125e-07,1.1876806165297588e-07,b470a11fe8d6a8729956fa6db2a63ab278fc47cb803069e9592b7d553bae9467,2849cedbd451caa7653c6f2e14a64eb460844a6f63dcc7e4fa4e04b851c6a069,4532652,4532656.0,,,numeric
pergene__resnet50__main.parquet,False,q_alpha_stored,179500.0,50.0,9.5367431640625e-07,4.22821360089469e-07,b470a11fe8d6a8729956fa6db2a63ab278fc47cb803069e9592b7d553bae9467,2849cedbd451caa7653c6f2e14a64eb460844a6f63dcc7e4fa4e04b851c6a069,4532652,4532656.0,,,numeric
pergene__resnet50__slideout.parquet,False,width_mean,9300.0,7.0,9.5367431640625e-07,2.2268768897834007e-07,4a1bb56a85491818308944881de9a85740f5dbc9f19b1d510971e232654acea6,150f9fe40c199008ef331b3ec917536692e82534e0021ff6c537186c09bb3489,364947,364947.0,,,numeric
pergene__resnet50__slideout.parquet,False,interval_score,9300.0,8.0,1.9073486328125e-06,2.1283762032641843e-07,4a1bb56a85491818308944881de9a85740f5dbc9f19b1d510971e232654acea6,150f9fe40c199008ef331b3ec917536692e82534e0021ff6c537186c09bb3489,364947,364947.0,,,numeric
pergene__resnet50__slideout.parquet,False,q_alpha_reported,9300.0,7.0,4.76837158203125e-07,2.2268768897834007e-07,4a1bb56a85491818308944881de9a85740f5dbc9f19b1d510971e232654acea6,150f9fe40c199008ef331b3ec917536692e82534e0021ff6c537186c09bb3489,364947,364947.0,,,numeric
pergene__resnet50__slideout.parquet,False,q_alpha_stored,9300.0,4.0,1.1920928955078125e-07,9.938581553714357e-08,4a1bb56a85491818308944881de9a85740f5dbc9f19b1d510971e232654acea6,150f9fe40c199008ef331b3ec917536692e82534e0021ff6c537186c09bb3489,364947,364947.0,,,numeric
