JobID|JobName|Account|Partition|NodeList|State|Elapsed|Timelimit|ReqCPUS|ReqMem|MaxRSS|Submit|Start|End
2285552|operon-33493fde|rc_htzhu_pi|spill|c151413|COMPLETED|00:18:48|00:30:00|4|16G||2026-09-23T22:14:33|2026-09-23T22:15:47|2026-09-23T22:34:35
2285552.batch|batch|rc_htzhu_pi||c151413|COMPLETED|00:18:48||4||4579800K|2026-09-23T22:15:47|2026-09-23T22:15:47|2026-09-23T22:34:35
2285552.extern|extern|rc_htzhu_pi||c151413|COMPLETED|00:18:48||4|||2026-09-23T22:15:47|2026-09-23T22:15:47|2026-09-23T22:34:35
2287400|operon-fc11a11c|rc_htzhu_pi|spill|c151604|FAILED|00:03:05|00:30:00|4|16G||2026-09-23T22:21:28|2026-09-23T22:22:19|2026-09-23T22:25:24
2287400.batch|batch|rc_htzhu_pi||c151604|FAILED|00:03:05||4||5265068K|2026-09-23T22:22:19|2026-09-23T22:22:19|2026-09-23T22:25:24
2287400.extern|extern|rc_htzhu_pi||c151604|COMPLETED|00:03:05||4|||2026-09-23T22:22:19|2026-09-23T22:22:19|2026-09-23T22:25:24
2288639|operon-b12ab0c0|rc_htzhu_pi|spill|c0903|COMPLETED|00:53:54|01:30:00|4|16G||2026-09-23T22:26:34|2026-09-23T22:28:18|2026-09-23T23:22:12
2288639.batch|batch|rc_htzhu_pi||c0903|COMPLETED|00:53:54||4||5358308K|2026-09-23T22:28:18|2026-09-23T22:28:18|2026-09-23T23:22:12
2288639.extern|extern|rc_htzhu_pi||c0903|COMPLETED|00:53:54||4|||2026-09-23T22:28:18|2026-09-23T22:28:18|2026-09-23T23:22:12
2288640|operon-89822d8a|rc_htzhu_pi|spill|c0926|COMPLETED|01:04:00|01:30:00|4|16G||2026-09-23T22:26:37|2026-09-23T22:28:18|2026-09-23T23:32:18
2288640.batch|batch|rc_htzhu_pi||c0926|COMPLETED|01:04:00||4||6377388K|2026-09-23T22:28:18|2026-09-23T22:28:18|2026-09-23T23:32:18
2288640.extern|extern|rc_htzhu_pi||c0926|COMPLETED|01:04:00||4|||2026-09-23T22:28:18|2026-09-23T22:28:18|2026-09-23T23:32:18
2288641|operon-716b3b04|rc_htzhu_pi|spill|c0516|COMPLETED|01:00:21|01:30:00|4|16G||2026-09-23T22:26:40|2026-09-23T22:28:18|2026-09-23T23:28:39
2288641.batch|batch|rc_htzhu_pi||c0516|COMPLETED|01:00:21||4||6384360K|2026-09-23T22:28:18|2026-09-23T22:28:18|2026-09-23T23:28:39
2288641.extern|extern|rc_htzhu_pi||c0516|COMPLETED|01:00:21||4|||2026-09-23T22:28:18|2026-09-23T22:28:18|2026-09-23T23:28:39
2288699|operon-8202dcf8|rc_htzhu_pi|spill|c0508|FAILED|00:00:09|01:30:00|4|16G||2026-09-23T22:27:03|2026-09-23T22:28:18|2026-09-23T22:28:27
2288699.batch|batch|rc_htzhu_pi||c0508|FAILED|00:00:09||4||275212K|2026-09-23T22:28:18|2026-09-23T22:28:18|2026-09-23T22:28:27
2288699.extern|extern|rc_htzhu_pi||c0508|COMPLETED|00:00:09||4|||2026-09-23T22:28:18|2026-09-23T22:28:18|2026-09-23T22:28:27
2289207|operon-afea1f5c|rc_htzhu_pi|spill|c151606|COMPLETED|00:02:39|01:30:00|4|16G||2026-09-23T22:29:12|2026-09-23T22:30:10|2026-09-23T22:32:49
2289207.batch|batch|rc_htzhu_pi||c151606|COMPLETED|00:02:39||4||6017572K|2026-09-23T22:30:10|2026-09-23T22:30:10|2026-09-23T22:32:49
2289207.extern|extern|rc_htzhu_pi||c151606|COMPLETED|00:02:39||4|||2026-09-23T22:30:10|2026-09-23T22:30:10|2026-09-23T22:32:49
2290678|operon-7ac4027d|rc_htzhu_pi|spill|c0414|COMPLETED|00:29:29|01:00:00|4|16G||2026-09-23T22:34:53|2026-09-23T22:37:11|2026-09-23T23:06:40
2290678.batch|batch|rc_htzhu_pi||c0414|COMPLETED|00:29:29||4||6368508K|2026-09-23T22:37:11|2026-09-23T22:37:11|2026-09-23T23:06:40
2290678.extern|extern|rc_htzhu_pi||c0414|COMPLETED|00:29:29||4|||2026-09-23T22:37:11|2026-09-23T22:37:11|2026-09-23T23:06:40
2291420|operon-05a43a92|rc_htzhu_pi|spill|c0405|FAILED|00:00:12|00:40:00|4|16G||2026-09-23T22:39:23|2026-09-23T22:41:57|2026-09-23T22:42:09
2291420.batch|batch|rc_htzhu_pi||c0405|FAILED|00:00:12||4||156208K|2026-09-23T22:41:57|2026-09-23T22:41:57|2026-09-23T22:42:09
2291420.extern|extern|rc_htzhu_pi||c0405|COMPLETED|00:00:12||4|||2026-09-23T22:41:57|2026-09-23T22:41:57|2026-09-23T22:42:09
2292518|operon-5e44fff8|rc_htzhu_pi|spill|c151418|COMPLETED|00:20:19|02:00:00|4|24G||2026-09-23T22:44:24|2026-09-23T23:10:49|2026-09-23T23:31:08
2292518.batch|batch|rc_htzhu_pi||c151418|COMPLETED|00:20:19||4||10342212K|2026-09-23T23:10:49|2026-09-23T23:10:49|2026-09-23T23:31:08
2292518.extern|extern|rc_htzhu_pi||c151418|COMPLETED|00:20:19||4|||2026-09-23T23:10:49|2026-09-23T23:10:49|2026-09-23T23:31:08
2292520|operon-b88520e3|rc_htzhu_pi|spill|c130601|COMPLETED|00:24:21|02:00:00|4|24G||2026-09-23T22:44:27|2026-09-23T23:11:46|2026-09-23T23:36:07
2292520.batch|batch|rc_htzhu_pi||c130601|COMPLETED|00:24:21||4||11770136K|2026-09-23T23:11:46|2026-09-23T23:11:46|2026-09-23T23:36:07
2292520.extern|extern|rc_htzhu_pi||c130601|COMPLETED|00:24:21||4|||2026-09-23T23:11:46|2026-09-23T23:11:46|2026-09-23T23:36:07
2292533|operon-106c78c1|rc_htzhu_pi|spill|c151412|COMPLETED|00:11:13|00:40:00|4|16G||2026-09-23T22:44:29|2026-09-23T22:56:39|2026-09-23T23:07:52
2292533.batch|batch|rc_htzhu_pi||c151412|COMPLETED|00:11:13||4||3019420K|2026-09-23T22:56:39|2026-09-23T22:56:39|2026-09-23T23:07:52
2292533.extern|extern|rc_htzhu_pi||c151412|COMPLETED|00:11:13||4|||2026-09-23T22:56:39|2026-09-23T22:56:39|2026-09-23T23:07:52
2292534|operon-c6606d9e|rc_htzhu_pi|spill|c151409|COMPLETED|00:22:27|02:00:00|4|24G||2026-09-23T22:44:30|2026-09-23T23:11:46|2026-09-23T23:34:13
2292534.batch|batch|rc_htzhu_pi||c151409|COMPLETED|00:22:27||4||11685976K|2026-09-23T23:11:46|2026-09-23T23:11:46|2026-09-23T23:34:13
2292534.extern|extern|rc_htzhu_pi||c151409|COMPLETED|00:22:27||4|||2026-09-23T23:11:46|2026-09-23T23:11:46|2026-09-23T23:34:13
2299026|operon-19b5c7c3|rc_htzhu_pi|spill|c151403|COMPLETED|00:00:02|00:10:00|1|2G||2026-09-23T23:08:53|2026-09-23T23:09:54|2026-09-23T23:09:56
2299026.batch|batch|rc_htzhu_pi||c151403|COMPLETED|00:00:02||1||3140K|2026-09-23T23:09:54|2026-09-23T23:09:54|2026-09-23T23:09:56
2299026.extern|extern|rc_htzhu_pi||c151403|COMPLETED|00:00:03||1|||2026-09-23T23:09:54|2026-09-23T23:09:54|2026-09-23T23:09:57
2301104|operon-93a664b4|rc_htzhu_pi|spill|c151417|FAILED|00:04:49|01:00:00|4|16G||2026-09-23T23:10:14|2026-09-23T23:10:49|2026-09-23T23:15:38
