document                                    claims verified  notfound  uncited
README.md                                      225      225         0        0
docs/deck_master_outline.md                    160      160         0        0
docs/hest_bench_issue_draft.md                  56       35        21        0
docs/HEST_replication_handoff.md                56       25        31        0
docs/HEST_replication_review.md                112       58        54        0
docs/r5_idc_provenance.md                       63       11        52        0
docs/README.md                                   0        0         0        0
docs/round1_final_stage_report.md              169      118        51        0
docs/round2_closeout_report.md                  11        9         2        0
docs/round2_execution_plan.md                   36       30         6        0
docs/round2_R0_R1_stage_report.md                -        -         - TIMEOUT/OOM
docs/round2_R3_stage_report.md                 257      158        99        0
docs/round2_R5_stage_report.md                 162       72        90        0
docs/round2_R8_stage_report.md                 144      133        11        0
docs/WAYS_OF_WORKING.md                         33       13        20        0
