slide,label,value,source_file,source_column_or_query
3,encoder-task cells compared with the live leaderboard,108.0,results/summary/discrepancy_table.csv,rows with compare_to_leaderboard true and a non-null diff_vs_leaderboard
3,mean absolute difference from the leaderboard,0.0002,results/summary/discrepancy_table.csv,mean |diff_vs_leaderboard|
3,largest absolute difference from the leaderboard,0.0155,results/summary/discrepancy_table.csv,max |diff_vs_leaderboard|
3,cells exceeding the 0.03 acceptance threshold,0.0,results/summary/discrepancy_table.csv,count |diff_vs_leaderboard| > 0.03
3,ResNet50 raw-ridge average minus the published Table A13 value,-0.040911111111111106,results/summary/discrepancy_table.csv,"mean diff_vs_leaderboard where head=raw_ridge, encoder=resnet50, config_role=replicates Table A13"
6,mean absolute per-task difference from the published Table A13,0.08942626262626262,results/summary/discrepancy_table.csv,mean |diff_vs_leaderboard| where config_role=replicates Table A13
6,largest per-task difference from the published Table A13,0.4632,results/summary/discrepancy_table.csv,max |diff_vs_leaderboard| where config_role=replicates Table A13
3,ResNet50 average over the nine paper tasks,0.3252,results/summary/results_encoder.csv,avg_paper9 where encoder=resnet50
3,H-Optimus-1 average over the nine paper tasks,0.4229,results/summary/results_encoder.csv,avg_paper9 where encoder=hoptimus1
5,between-encoder spread on the benchmark protocol,0.09770000000000001,results/summary/results_encoder.csv,max(avg_paper9) - min(avg_paper9)
5,best encoder average (H-Optimus-1),0.4229,results/summary/results_encoder.csv,max(avg_paper9)
5,worst encoder average (ResNet50),0.3252,results/summary/results_encoder.csv,min(avg_paper9)
4,COAD random-minus-patient gap,0.3172,results/round2/R3_splits/r3_per_task_terms.csv,"TOTAL random - patient, COAD"
4,smallest random-minus-patient gap among the other nine tasks,0.0504,results/round2/R3_splits/r3_per_task_terms.csv,min over tasks except COAD
4,largest random-minus-patient gap among the other nine tasks,0.1931,results/round2/R3_splits/r3_per_task_terms.csv,max over tasks except COAD
4,IDC random-minus-patient gap,0.121,results/round2/R3_splits/r3_per_task_terms.csv,"TOTAL random - patient, IDC"
11,"novel-slide term, multi-slide tasks",0.014766666666666666,results/round2/R3_splits/r3_per_task_terms.csv,mean of novel slide
11,"novel-patient term, multi-slide tasks",0.13570000000000002,results/round2/R3_splits/r3_per_task_terms.csv,"mean of same patient, other slide"
5,COAD novel-slide term standard deviation from zero,0.0022,results/round2/R3_splits/r3_per_task_terms.csv,"novel slide, COAD"
5,training-set size term,0.0126,results/round2/R3_splits/r3_decomposition_terms.csv,mean where term=training-set size
5,spatial adjacency term,0.0327,results/round2/R3_splits/r3_decomposition_terms.csv,"mean where term=spatial adjacency, size matched"
