head,encoder,task,pearson_mean,pearson_std,n_splits,leaderboard,diff_vs_leaderboard,config_role,compare_to_leaderboard
pca_ridge,conch_v1,CCRCC,0.218,0.0386,6,0.218,0.0,replicates Table 1 / leaderboard,True
pca_ridge,conch_v1,COAD,0.2488,0.0171,2,0.2489,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,conch_v1,HCC,0.0514,0.0284,2,,,replicates Table 1 / leaderboard,True
pca_ridge,conch_v1,IDC,0.5363,0.0972,4,0.5363,0.0,replicates Table 1 / leaderboard,True
pca_ridge,conch_v1,LUNG,0.5321,0.0168,2,0.5322,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,conch_v1,LYMPH_IDC,0.2507,0.0484,4,0.2507,0.0,replicates Table 1 / leaderboard,True
pca_ridge,conch_v1,PAAD,0.4467,0.0882,3,0.4468,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,conch_v1,PRAD,0.3548,0.014,2,0.3548,0.0,replicates Table 1 / leaderboard,True
pca_ridge,conch_v1,READ,0.1602,0.0742,2,0.1602,0.0,replicates Table 1 / leaderboard,True
pca_ridge,conch_v1,SKCM,0.5789,0.0747,2,0.5787,0.0002,replicates Table 1 / leaderboard,True
pca_ridge,conch_v15,CCRCC,0.2175,0.0423,6,0.2176,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,conch_v15,COAD,0.2802,0.0176,2,0.2802,0.0,replicates Table 1 / leaderboard,True
pca_ridge,conch_v15,HCC,0.0686,0.0239,2,,,replicates Table 1 / leaderboard,True
pca_ridge,conch_v15,IDC,0.544,0.0987,4,0.544,0.0,replicates Table 1 / leaderboard,True
pca_ridge,conch_v15,LUNG,0.5514,0.0073,2,0.5513,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,conch_v15,LYMPH_IDC,0.2699,0.0624,4,0.2699,0.0,replicates Table 1 / leaderboard,True
pca_ridge,conch_v15,PAAD,0.4569,0.0741,3,0.457,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,conch_v15,PRAD,0.3808,0.0147,2,0.3808,0.0,replicates Table 1 / leaderboard,True
pca_ridge,conch_v15,READ,0.1601,0.0916,2,0.16,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,conch_v15,SKCM,0.5518,0.0462,2,0.5517,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,ctranspath,CCRCC,0.2362,0.0484,6,0.2362,0.0,replicates Table 1 / leaderboard,True
pca_ridge,ctranspath,COAD,0.2382,0.066,2,0.2382,0.0,replicates Table 1 / leaderboard,True
pca_ridge,ctranspath,HCC,0.0523,0.0223,2,,,replicates Table 1 / leaderboard,True
pca_ridge,ctranspath,IDC,0.4994,0.049,4,0.4993,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,ctranspath,LUNG,0.5137,0.0426,2,0.5137,0.0,replicates Table 1 / leaderboard,True
pca_ridge,ctranspath,LYMPH_IDC,0.2408,0.0456,4,0.2409,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,ctranspath,PAAD,0.4315,0.0885,3,0.4314,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,ctranspath,PRAD,0.3551,0.0639,2,0.3551,0.0,replicates Table 1 / leaderboard,True
pca_ridge,ctranspath,READ,0.0969,0.1162,2,0.0968,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,ctranspath,SKCM,0.5097,0.1176,2,0.5097,0.0,replicates Table 1 / leaderboard,True
pca_ridge,gigapath,CCRCC,0.243,0.0359,6,0.243,0.0,replicates Table 1 / leaderboard,True
pca_ridge,gigapath,COAD,0.2992,0.0299,2,0.2992,0.0,replicates Table 1 / leaderboard,True
pca_ridge,gigapath,HCC,0.0708,0.0185,2,,,replicates Table 1 / leaderboard,True
pca_ridge,gigapath,IDC,0.5515,0.084,4,0.5515,0.0,replicates Table 1 / leaderboard,True
pca_ridge,gigapath,LUNG,0.541,0.0513,2,0.5412,-0.0002,replicates Table 1 / leaderboard,True
pca_ridge,gigapath,LYMPH_IDC,0.25,0.0582,4,0.25,0.0,replicates Table 1 / leaderboard,True
pca_ridge,gigapath,PAAD,0.4747,0.0588,3,0.4746,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,gigapath,PRAD,0.3698,0.0303,2,0.3699,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,gigapath,READ,0.1961,0.0874,2,0.1961,0.0,replicates Table 1 / leaderboard,True
pca_ridge,gigapath,SKCM,0.5621,0.0869,2,0.5619,0.0002,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus0,CCRCC,0.2677,0.0347,6,0.2676,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus0,COAD,0.3087,0.0003,2,0.3086,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus0,HCC,0.0792,0.008,2,,,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus0,IDC,0.5976,0.0985,4,0.5976,0.0,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus0,LUNG,0.559,0.046,2,0.559,0.0,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus0,LYMPH_IDC,0.2592,0.0467,4,0.2591,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus0,PAAD,0.4911,0.049,3,0.4911,0.0,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus0,PRAD,0.3848,0.0004,2,0.3848,0.0,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus0,READ,0.2216,0.0673,2,0.2216,0.0,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus0,SKCM,0.6455,0.0882,2,0.6454,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus1,CCRCC,0.2533,0.0412,6,0.2533,0.0,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus1,COAD,0.3195,0.0228,2,0.3195,0.0,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus1,HCC,0.085,0.0299,2,,,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus1,IDC,0.6024,0.093,4,0.6024,0.0,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus1,LUNG,0.578,0.017,2,0.5779,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus1,LYMPH_IDC,0.2774,0.0454,4,0.2774,0.0,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus1,PAAD,0.4965,0.0619,3,0.4964,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus1,PRAD,0.3782,0.017,2,0.3781,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus1,READ,0.242,0.0217,2,0.2421,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,hoptimus1,SKCM,0.6589,0.0679,2,0.6589,0.0,replicates Table 1 / leaderboard,True
pca_ridge,phikon,CCRCC,0.2423,0.0288,6,0.2423,0.0,replicates Table 1 / leaderboard,True
pca_ridge,phikon,COAD,0.2624,0.0024,2,0.2623,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,phikon,HCC,0.0603,0.0175,2,,,replicates Table 1 / leaderboard,True
pca_ridge,phikon,IDC,0.5327,0.1055,4,0.5327,0.0,replicates Table 1 / leaderboard,True
pca_ridge,phikon,LUNG,0.5466,0.0064,2,0.5466,0.0,replicates Table 1 / leaderboard,True
pca_ridge,phikon,LYMPH_IDC,0.2372,0.0528,4,0.2373,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,phikon,PAAD,0.4424,0.0852,3,0.4425,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,phikon,PRAD,0.3421,0.1085,2,0.342,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,phikon,READ,0.1532,0.1132,2,0.1532,0.0,replicates Table 1 / leaderboard,True
pca_ridge,phikon,SKCM,0.5356,0.0845,2,0.5355,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,resnet50,CCRCC,0.2252,0.0619,6,0.2252,0.0,replicates Table 1 / leaderboard,True
pca_ridge,resnet50,COAD,0.25,0.053,2,0.25,0.0,replicates Table 1 / leaderboard,True
pca_ridge,resnet50,HCC,0.0605,0.0518,2,,,replicates Table 1 / leaderboard,True
pca_ridge,resnet50,IDC,0.4738,0.0523,4,0.4739,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,resnet50,LUNG,0.4948,0.0135,2,0.4949,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,resnet50,LYMPH_IDC,0.2305,0.0533,4,0.2305,0.0,replicates Table 1 / leaderboard,True
pca_ridge,resnet50,PAAD,0.388,0.0934,3,0.388,0.0,replicates Table 1 / leaderboard,True
pca_ridge,resnet50,PRAD,0.3044,0.0445,2,0.3044,0.0,replicates Table 1 / leaderboard,True
pca_ridge,resnet50,READ,0.0783,0.0791,2,0.0783,0.0,replicates Table 1 / leaderboard,True
pca_ridge,resnet50,SKCM,0.4822,0.162,2,0.4821,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,uni_v1,CCRCC,0.24,0.0433,6,0.24,0.0,replicates Table 1 / leaderboard,True
pca_ridge,uni_v1,COAD,0.2616,0.0436,2,0.2614,0.0002,replicates Table 1 / leaderboard,True
pca_ridge,uni_v1,HCC,0.0784,0.0022,2,,,replicates Table 1 / leaderboard,True
pca_ridge,uni_v1,IDC,0.5735,0.0915,4,0.589,-0.0155,replicates Table 1 / leaderboard,True
pca_ridge,uni_v1,LUNG,0.5464,0.0318,2,0.5464,0.0,replicates Table 1 / leaderboard,True
pca_ridge,uni_v1,LYMPH_IDC,0.2559,0.0509,4,0.2559,0.0,replicates Table 1 / leaderboard,True
pca_ridge,uni_v1,PAAD,0.4807,0.0864,3,0.4807,0.0,replicates Table 1 / leaderboard,True
pca_ridge,uni_v1,PRAD,0.2943,0.1203,2,0.2943,0.0,replicates Table 1 / leaderboard,True
pca_ridge,uni_v1,READ,0.1836,0.0699,2,0.1836,0.0,replicates Table 1 / leaderboard,True
pca_ridge,uni_v1,SKCM,0.6346,0.0508,2,0.6346,0.0,replicates Table 1 / leaderboard,True
pca_ridge,uni_v2,CCRCC,0.264,0.0512,6,0.264,0.0,replicates Table 1 / leaderboard,True
pca_ridge,uni_v2,COAD,0.3016,0.0056,2,0.3015,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,uni_v2,HCC,0.0748,0.0069,2,,,replicates Table 1 / leaderboard,True
pca_ridge,uni_v2,IDC,0.5898,0.0938,4,0.5898,0.0,replicates Table 1 / leaderboard,True
pca_ridge,uni_v2,LUNG,0.5588,0.0186,2,0.5587,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,uni_v2,LYMPH_IDC,0.2728,0.0461,4,0.2727,0.0001,replicates Table 1 / leaderboard,True
pca_ridge,uni_v2,PAAD,0.5001,0.0486,3,0.5001,0.0,replicates Table 1 / leaderboard,True
pca_ridge,uni_v2,PRAD,0.3568,0.0699,2,0.3569,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,uni_v2,READ,0.2227,0.0532,2,0.2223,0.0004,replicates Table 1 / leaderboard,True
pca_ridge,uni_v2,SKCM,0.6612,0.0213,2,0.6606,0.0006,replicates Table 1 / leaderboard,True
pca_ridge,virchow,CCRCC,0.2586,0.0327,6,0.2586,0.0,replicates Table 1 / leaderboard,True
pca_ridge,virchow,COAD,0.3079,0.0004,2,0.3079,0.0,replicates Table 1 / leaderboard,True
pca_ridge,virchow,HCC,0.0832,0.0251,2,,,replicates Table 1 / leaderboard,True
pca_ridge,virchow,IDC,0.5846,0.109,4,0.5846,0.0,replicates Table 1 / leaderboard,True
pca_ridge,virchow,LUNG,0.5663,0.0373,2,0.5664,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,virchow,LYMPH_IDC,0.261,0.0442,4,0.261,0.0,replicates Table 1 / leaderboard,True
pca_ridge,virchow,PAAD,0.5159,0.0814,3,0.5159,0.0,replicates Table 1 / leaderboard,True
pca_ridge,virchow,PRAD,0.3378,0.0139,2,0.3378,0.0,replicates Table 1 / leaderboard,True
pca_ridge,virchow,READ,0.1981,0.0687,2,0.1981,0.0,replicates Table 1 / leaderboard,True
pca_ridge,virchow,SKCM,0.6242,0.0834,2,0.6243,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,virchow2,CCRCC,0.2719,0.0559,6,0.2719,0.0,replicates Table 1 / leaderboard,True
pca_ridge,virchow2,COAD,0.258,0.05,2,0.2581,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,virchow2,HCC,0.0942,0.0177,2,,,replicates Table 1 / leaderboard,True
pca_ridge,virchow2,IDC,0.5971,0.0968,4,0.5971,0.0,replicates Table 1 / leaderboard,True
pca_ridge,virchow2,LUNG,0.5684,0.0228,2,0.5685,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,virchow2,LYMPH_IDC,0.2568,0.0386,4,0.2568,0.0,replicates Table 1 / leaderboard,True
pca_ridge,virchow2,PAAD,0.4778,0.0861,3,0.4779,-0.0001,replicates Table 1 / leaderboard,True
pca_ridge,virchow2,PRAD,0.3529,0.0492,2,0.3529,0.0,replicates Table 1 / leaderboard,True
pca_ridge,virchow2,READ,0.2074,0.0759,2,0.2074,0.0,replicates Table 1 / leaderboard,True
pca_ridge,virchow2,SKCM,0.6398,0.0545,2,0.6402,-0.0004,replicates Table 1 / leaderboard,True
pca_xgb,resnet50,CCRCC,0.163,0.038,6,0.2252,-0.0622,A14 candidate - rejected,False
pca_xgb,resnet50,COAD,0.2577,0.0,2,0.25,0.0077,A14 candidate - rejected,False
pca_xgb,resnet50,HCC,0.0235,0.03,2,,,A14 candidate - rejected,False
