encoder,IDC,PRAD,PAAD,SKCM,COAD,READ,CCRCC,LUNG,LYMPH_IDC,HCC
hoptimus1,0.6024,0.3782,0.4965,0.6589,0.3195,0.242,0.2533,0.578,0.2774,0.085
hoptimus0,0.5976,0.3848,0.4911,0.6455,0.3087,0.2216,0.2677,0.559,0.2592,0.0792
uni_v2,0.5898,0.3568,0.5001,0.6612,0.3016,0.2227,0.264,0.5588,0.2728,0.0748
virchow,0.5846,0.3378,0.5159,0.6242,0.3079,0.1981,0.2586,0.5663,0.261,0.0832
virchow2,0.5971,0.3529,0.4778,0.6398,0.258,0.2074,0.2719,0.5684,0.2568,0.0942
gigapath,0.5515,0.3698,0.4747,0.5621,0.2992,0.1961,0.243,0.541,0.25,0.0708
uni_v1,0.5735,0.2943,0.4807,0.6346,0.2616,0.1836,0.24,0.5464,0.2559,0.0784
conch_v15,0.544,0.3808,0.4569,0.5518,0.2802,0.1601,0.2175,0.5514,0.2699,0.0686
conch_v1,0.5363,0.3548,0.4467,0.5789,0.2488,0.1602,0.218,0.5321,0.2507,0.0514
phikon,0.5327,0.3421,0.4424,0.5356,0.2624,0.1532,0.2423,0.5466,0.2372,0.0603
ctranspath,0.4994,0.3551,0.4315,0.5097,0.2382,0.0969,0.2362,0.5137,0.2408,0.0523
resnet50,0.4738,0.3044,0.388,0.4822,0.25,0.0783,0.2252,0.4948,0.2305,0.0605
