encoder,dim,pca_ridge,ridge_nopca,xgb_nopca,xgb_minus_ridge
hoptimus0,1536,0.415,0.2756,0.3955,-0.0195
uni_v2,1536,0.4142,0.2765,0.3933,-0.0209
virchow,2560,0.406,0.2654,0.3967,-0.0093
virchow2,2560,0.4033,0.2613,0.392,-0.0113
gigapath,1536,0.3875,0.2664,0.3692,-0.0183
uni_v1,1024,0.3856,0.2981,0.381,-0.0046
conch_v15,768,0.3792,0.3474,0.3725,-0.0067
conch_v1,512,0.3696,0.3543,0.3728,0.0032
phikon,768,0.3661,0.2974,0.3577,-0.0084
ctranspath,768,0.3468,0.2984,0.3463,-0.0005
resnet50,1024,0.3252,0.2843,0.3278,0.0026
