head,encoder,task,split,pearson
pca_ridge,conch_v1,CCRCC,0,0.1733
pca_ridge,conch_v1,CCRCC,1,0.2737
pca_ridge,conch_v1,CCRCC,2,0.1966
pca_ridge,conch_v1,CCRCC,3,0.1958
pca_ridge,conch_v1,CCRCC,4,0.2132
pca_ridge,conch_v1,CCRCC,5,0.2551
pca_ridge,conch_v1,COAD,0,0.2367
pca_ridge,conch_v1,COAD,1,0.2609
pca_ridge,conch_v1,HCC,0,0.0314
pca_ridge,conch_v1,HCC,1,0.0715
pca_ridge,conch_v1,IDC,0,0.4106
pca_ridge,conch_v1,IDC,1,0.5994
pca_ridge,conch_v1,IDC,2,0.5101
pca_ridge,conch_v1,IDC,3,0.6252
pca_ridge,conch_v1,LUNG,0,0.5202
pca_ridge,conch_v1,LUNG,1,0.544
pca_ridge,conch_v1,LYMPH_IDC,0,0.3093
pca_ridge,conch_v1,LYMPH_IDC,1,0.1937
pca_ridge,conch_v1,LYMPH_IDC,2,0.2631
pca_ridge,conch_v1,LYMPH_IDC,3,0.2366
pca_ridge,conch_v1,PAAD,0,0.3861
pca_ridge,conch_v1,PAAD,1,0.5479
pca_ridge,conch_v1,PAAD,2,0.4062
pca_ridge,conch_v1,PRAD,0,0.3647
pca_ridge,conch_v1,PRAD,1,0.3449
pca_ridge,conch_v1,READ,0,0.2127
pca_ridge,conch_v1,READ,1,0.1077
pca_ridge,conch_v1,SKCM,0,0.6317
pca_ridge,conch_v1,SKCM,1,0.5261
pca_ridge,conch_v15,CCRCC,0,0.1677
pca_ridge,conch_v15,CCRCC,1,0.2178
pca_ridge,conch_v15,CCRCC,2,0.1777
pca_ridge,conch_v15,CCRCC,3,0.2602
pca_ridge,conch_v15,CCRCC,4,0.2094
pca_ridge,conch_v15,CCRCC,5,0.2723
pca_ridge,conch_v15,COAD,0,0.2677
pca_ridge,conch_v15,COAD,1,0.2926
pca_ridge,conch_v15,HCC,0,0.0517
pca_ridge,conch_v15,HCC,1,0.0855
pca_ridge,conch_v15,IDC,0,0.421
pca_ridge,conch_v15,IDC,1,0.6001
pca_ridge,conch_v15,IDC,2,0.5115
pca_ridge,conch_v15,IDC,3,0.6434
pca_ridge,conch_v15,LUNG,0,0.5462
pca_ridge,conch_v15,LUNG,1,0.5565
pca_ridge,conch_v15,LYMPH_IDC,0,0.3416
pca_ridge,conch_v15,LYMPH_IDC,1,0.1976
pca_ridge,conch_v15,LYMPH_IDC,2,0.2957
pca_ridge,conch_v15,LYMPH_IDC,3,0.2447
pca_ridge,conch_v15,PAAD,0,0.4059
pca_ridge,conch_v15,PAAD,1,0.5419
pca_ridge,conch_v15,PAAD,2,0.4228
pca_ridge,conch_v15,PRAD,0,0.3912
pca_ridge,conch_v15,PRAD,1,0.3704
pca_ridge,conch_v15,READ,0,0.2249
pca_ridge,conch_v15,READ,1,0.0953
pca_ridge,conch_v15,SKCM,0,0.5844
pca_ridge,conch_v15,SKCM,1,0.5191
pca_ridge,ctranspath,CCRCC,0,0.1728
