task,gene,n,mean,var,zero_frac,fano,nb_alpha_mom,aic_pois,bic_pois,aic_nb,bic_nb,aic_zinb,bic_zinb,pois_converged,nb_converged,zinb_converged,delta_aic,delta_bic,delta_aic_overdisp,mean_depth,zinb_preferred,zinb_preferred_bic,nb_beats_poisson,both_converged
CCRCC,AKAP8,74220,0.6618835893290218,1.7711902433906654,0.6159660468876313,2.6759845265029045,2.5321439502706484,185511.39641481428,185520.6112037489,165223.8130313125,165242.2426091817,165225.93069932016,165253.575066124,True,True,True,-2.1176680076750927,-11.33245694229845,20287.5833835018,9947.404296875,False,False,True,True
CCRCC,BLVRB,74220,0.6796954998652655,1.8831350613494786,0.6494610617084344,2.770556906324624,2.604926627696664,195385.96358513876,195395.17837407338,165077.06682297168,165095.4964008409,165079.08421868033,165106.72858548418,True,True,True,-2.0173957086517476,-11.232184643275104,30308.896762167074,9947.404296875,False,False,True,True
CCRCC,BTF3,74220,1.3748181083265967,8.860371805662464,0.5677041228779305,6.444759311795177,3.9603488481995903,355896.166226155,355905.38101508963,223559.05159568947,223577.48117355868,223561.05678996857,223588.7011567724,True,True,True,-2.005194279103307,-11.219983213726664,132337.11463046554,9947.404296875,False,False,True,True
CCRCC,CD109,74220,1.0049986526542711,3.824130552821586,0.574184855834007,3.8051101289755884,2.7911580991348575,256590.54200146708,256599.7567904017,201485.91095446012,201504.34053232934,201488.00713665126,201515.6515034551,True,True,True,-2.0961821911332663,-11.310971125756623,55104.63104700696,9947.404296875,False,False,True,True
CCRCC,CD14,74220,1.647008892481811,9.874088656194923,0.45584748046348694,5.995164143477124,3.0328701722733955,363774.2267020972,363783.44149103184,254717.37366808334,254735.80324595256,254719.37903711683,254747.02340392067,True,True,True,-2.005369033489842,-11.220157968113199,109056.85303401388,9947.404296875,False,False,True,True
CCRCC,CHST15,74220,0.9920102398275398,4.8091224898236,0.5383319859876045,4.847855694170719,3.8788467494445085,256554.807378383,256564.02216731763,202426.44533173257,202444.8749096018,202428.47208578658,202456.11645259042,True,True,True,-2.0267540540080518,-11.241542988631409,54128.362046650436,9947.404296875,False,False,True,True
CCRCC,CIB1,74220,1.9312718943680949,27.212013338002016,0.4066828348154136,14.090203154385824,6.7780218790316376,462140.1835818209,462149.39837075555,271510.2617846519,271528.69136252115,271512.26341245347,271539.90777925734,True,True,True,-2.0016278015682474,-11.216416736191604,190629.92179716902,9947.404296875,False,False,True,True
CCRCC,CKB,74220,1.3578954459714363,10.866088511953283,0.5608191862031797,8.002154027536118,5.1566223661106605,355487.0742479456,355496.28903688025,224307.91860438298,224326.3481822522,224309.92319456284,224337.56756136668,True,True,True,-2.0045901798584964,-11.219379114481853,131179.15564356264,9947.404296875,False,False,True,True
CCRCC,CPD,74220,1.3950282942603072,10.47913829936515,0.5027755322015629,7.511774737817455,4.667844204027579,351265.4862928756,351274.7010818102,232870.23377188906,232888.66334975828,232872.25084784438,232899.89521464822,True,True,True,-2.0170759553147946,-11.231864889938151,118395.25252098654,9947.404296875,False,False,True,True
CCRCC,CPE,74220,5.700323362974939,163.6017002686548,0.3236189706278631,28.700424493685706,4.85944791721941,1155169.2902648456,1155178.5050537803,386551.6223991141,386570.0519769833,386553.62453459355,386581.2689013974,True,True,True,-2.002135479473509,-11.216924414096866,768617.6678657315,9947.404296875,False,False,True,True
CCRCC,DERL1,74220,1.5849501482080302,16.936167144741216,0.4686742118027486,10.685615042144711,6.110990338147494,393521.964498143,393531.1792870776,247762.1214456833,247780.5510235525,247764.17243034358,247791.81679714742,True,True,True,-2.050984660279937,-11.265773594903294,145759.8430524597,9947.404296875,False,False,True,True
CCRCC,DNAJB12,74220,0.6043654001616815,2.5626939949385954,0.6708973322554568,4.240305606927558,5.361500850413844,190494.04971059877,190503.2644995334,153860.9769950893,153879.4065729585,153862.97837908386,153890.6227458877,True,True,True,-2.001383994560456,-11.216172929183813,36633.07271550948,9947.404296875,False,False,True,True
CCRCC,EGFL7,74220,0.8838183777957423,3.8303017538869115,0.6078954459714363,4.333810939120487,3.772054330251727,244810.25224353003,244819.46703246466,187162.11236925784,187180.54194712706,187164.11352724527,187191.7578940491,True,True,True,-2.001157987426268,-11.215946922049625,57648.139874272194,9947.404296875,False,False,True,True
